,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,44, Private,74630, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,39, United-States, <=50K
1,63, ?,118348, 9th,9, Married-civ-spouse, ?, Husband, White, Male,0,127,39, United-States, >50K
2,39, Private,210393, Assoc-voc,12, Never-married, Prof-specialty, Not-in-family, White, Female,0,95,58, United-States, >50K
3,18, Private,246101, Prof-school,9, Never-married, Other-service, Own-child, White, Male,0,0,14, United-States, <=50K
4,39, Self-emp-not-inc,34014, Doctorate,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,42, United-States, <=50K
5,33, Self-emp-not-inc,85956, 9th,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,1996,0,49, Cambodia, <=50K
6,47, Private,301310, Doctorate,15, Married-civ-spouse, Handlers-cleaners, Wife, Other, Male,0,0,41, Laos, <=50K
7,41, State-gov,128388, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,713,44, Scotland, <=50K
8,36, Private,120189, HS-grad,11, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,48, United-States, <=50K
9,37, Private,53567, HS-grad,8, Divorced, Armed-Forces, Unmarried, Black, Female,0,0,35, United-States, <=50K
10,36, Private,220566, Assoc-acdm,12, Never-married, Protective-serv, Husband, Asian-Pac-Islander, Male,4771,0,41, United-States, >50K
11,35, Private,220624, Some-college,10, Married-civ-spouse, Priv-house-serv, Husband, White, Male,3705,534,49, United-States, <=50K
12,28, Private,95375, 9th,10, Never-married, Craft-repair, Not-in-family, White, Female,0,0,48, Trinadad&Tobago, >50K
13,44, ?,125346, Assoc-voc,11, Married-civ-spouse, ?, Husband, White, Male,2433,0,49, United-States, >50K
14,72, Self-emp-inc,297407, Some-college,10, Married-civ-spouse, Priv-house-serv, Husband, White, Male,10999,0,27, Trinadad&Tobago, >50K
15,34, Private,108899, Assoc-voc,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,87, Yugoslavia, >50K
16,27, Self-emp-not-inc,184477, 9th,8, Divorced, Prof-specialty, Unmarried, White, Female,0,0,32, United-States, <=50K
17,27, Private,53289, Some-college,10, Married-civ-spouse, ?, Husband, White, Female,0,1796,34, Trinadad&Tobago, <=50K
18,34, Private,299794, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,395,0,47, United-States, <=50K
19,56, Private,305300, 12th,6, Married-civ-spouse, Prof-specialty, Husband, White, Male,13,0,56, United-States, <=50K
20,35, Private,525566, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,138,50, Thailand, <=50K
21,41, Private,161162, Assoc-voc,10, Widowed, Machine-op-inspct, Not-in-family, White, Female,0,0,40, Thailand, <=50K
22,28, ?,408538, Masters,10, Divorced, ?, Own-child, White, Female,0,0,79, Outlying-US(Guam-USVI-etc), <=50K
23,54, Private,144564, Bachelors,13, Widowed, ?, Not-in-family, White, Female,0,177,46, United-States, <=50K
24,44, Self-emp-inc,102321, Preschool,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,2259,44, Ireland, >50K
25,36, Private,119369, Assoc-voc,9, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,43, United-States, >50K
26,35, Private,294379, Prof-school,14, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,72, Honduras, >50K
27,35, Self-emp-not-inc,246099, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,43, Trinadad&Tobago, <=50K
28,45, Private,31354, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,0,0,30, United-States, <=50K
29,22, Private,45323, 12th,8, Never-married, Exec-managerial, Not-in-family, White, Male,2397,0,51, United-States, <=50K
30,33, Private,121441, Assoc-voc,11, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,42, Trinadad&Tobago, <=50K
31,46, Private,124296, Doctorate,12, Married-civ-spouse, Other-service, Husband, White, Male,15297,0,49, Trinadad&Tobago, >50K
32,33, Local-gov,229523, Assoc-voc,11, Never-married, Other-service, Own-child, Black, Female,0,0,36, United-States, <=50K
33,49, Federal-gov,202968, Bachelors,5, Divorced, Transport-moving, Other-relative, White, Male,0,392,42, South, <=50K
34,49, Local-gov,217341, Assoc-acdm,8, Divorced, Machine-op-inspct, Unmarried, White, Female,0,296,48, Taiwan, <=50K
35,36, Private,424758, Doctorate,12, Never-married, Sales, Not-in-family, White, Female,3498,656,41, United-States, <=50K
36,38, Private,222725, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,42, United-States, >50K
37,27, Self-emp-inc,262915, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,34, Poland, <=50K
38,23, State-gov,12808, Masters,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,39, United-States, <=50K
39,42, Private,413503, Doctorate,13, Married-civ-spouse, ?, Husband, White, Male,0,0,35, Philippines, <=50K
40,30, Private,336339, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,39, Outlying-US(Guam-USVI-etc), <=50K
41,30, Local-gov,165065, Masters,8, Never-married, Prof-specialty, Unmarried, White, Female,0,0,53, United-States, <=50K
42,24, Local-gov,129081, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,149,0,39, United-States, <=50K
43,61, Local-gov,309316, Assoc-acdm,12, Divorced, Priv-house-serv, Husband, White, Male,4343,0,40, United-States, <=50K
