age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
30, Private,298928, Masters,16, Never-married, Handlers-cleaners, Not-in-family, White, Male,99999,0,45, United-States, >50K
29, Private,116046, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,37, South, >50K
53, Private,436898, Some-college,10, Married-civ-spouse, Tech-support, Wife, White, Male,0,0,53, United-States, >50K
30, Private,234018, HS-grad,9, Married-civ-spouse, Armed-Forces, Husband, White, Male,0,0,40, United-States, <=50K
56, Private,251168, 5th-6th,4, Married-civ-spouse, Prof-specialty, Husband, White, Male,424,0,40, United-States, <=50K
39, Private,344489, HS-grad,9, Divorced, Sales, Unmarried, White, Female,0,0,66, United-States, <=50K
54, State-gov,76873, Doctorate,14, Divorced, Other-service, Not-in-family, White, Female,0,0,40, United-States, >50K
41, Private,113171, HS-grad,9, Married-civ-spouse, Priv-house-serv, Husband, White, Male,8228,0,54, United-States, >50K
63, ?,259994, HS-grad,9, Married-civ-spouse, ?, Husband, Other, Male,1973,0,38, Peru, <=50K
59, Private,56067, 9th,5, Married-civ-spouse, Tech-support, Husband, White, Male,1125,0,41, United-States, <=50K
29, Private,407966, Preschool,8, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
41, Private,251962, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
31, Private,280631, HS-grad,13, Never-married, Sales, Not-in-family, White, Male,0,99,58, United-States, <=50K
17, Private,141044, Assoc-acdm,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,34, United-States, <=50K
27, Private,216830, Bachelors,13, Never-married, Priv-house-serv, Not-in-family, White, Female,0,0,49, United-States, <=50K
19, ?,235638, Masters,9, Never-married, ?, Own-child, Black, Male,0,0,30, Mexico, <=50K
44, Private,118928, 7th-8th,3, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,76, Laos, <=50K
54, Federal-gov,30698, HS-grad,12, Married-civ-spouse, Craft-repair, Husband, Black, Male,2291,0,55, United-States, >50K
31, Private,202364, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,44, United-States, >50K
18, Private,240704, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,25, United-States, <=50K
50, Private,264108, HS-grad,11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,218,976,41, Scotland, <=50K
44, Private,99845, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,335,31, United-States, <=50K
17, ?,88378, 11th,6, Never-married, Craft-repair, Own-child, Other, Male,0,960,40, Thailand, <=50K
25, Private,748798, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,42, United-States, <=50K
32, Private,79157, Masters,14, Never-married, Other-service, Not-in-family, White, Female,0,0,38, Puerto-Rico, <=50K
63, ?,49743, Assoc-voc,8, Married-civ-spouse, ?, Not-in-family, White, Male,0,328,47, United-States, <=50K
33, Private,341934, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,43, United-States, <=50K
33, Private,119751, Assoc-acdm,12, Never-married, Armed-Forces, Own-child, Black, Female,0,0,40, United-States, <=50K
27, Local-gov,215332, Doctorate,12, Married-civ-spouse, Protective-serv, Wife, Black, Male,0,0,23, United-States, <=50K
49, Self-emp-not-inc,159602, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,11310,0,28, United-States, <=50K
18, Private,239755, 11th,7, Never-married, Adm-clerical, Own-child, White, Male,0,0,7, Taiwan, <=50K
28, Private,326964, Some-college,10, Never-married, Handlers-cleaners, Unmarried, Black, Male,0,0,42, Iran, <=50K
35, Private,239998, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,26, United-States, <=50K
