,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,52, Private,48661, Bachelors,13.000901838619171, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,58, United-States, >50K
1,25, Private,206786, Some-college,10.002107094926606, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States, >50K
2,50, Self-emp-inc,292271, Prof-school,14.768302906076205, Married-civ-spouse, Prof-specialty, Husband, White, Male,14999,1986,50, United-States, >50K
3,28, Private,122349, HS-grad,9.004013950848261, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States, <=50K
4,30, Private,185245, Some-college,9.998546285289171, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,65, United-States, >50K
5,38, Private,97618, Some-college,10.00173383218988, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States, <=50K
6,23, Private,414779, Prof-school,15.163807596597344, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,36, United-States, <=50K
7,44, Private,326389, Prof-school,15.607690764154421, Divorced, Prof-specialty, Husband, Asian-Pac-Islander, Male,25235,0,50, China, >50K
8,30, Private,206215, Some-college,10.000508393588845, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States, <=50K
9,55, Private,308231, Bachelors,13.004009802296286, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,59, United-States, <=50K
10,53, Private,165241, Bachelors,13.001878011105822, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1980,50, United-States, >50K
11,21, Private,348364, Some-college,10.000179262359405, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male,0,0,84, United-States, <=50K
12,65, Private,132158, HS-grad,9.002787757611493, Widowed, Adm-clerical, Unmarried, White, Female,0,0,20, United-States, <=50K
13,42, Private,231601, Some-college,10.000627457025764, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,29, El-Salvador, <=50K
14,24, Private,114689, Bachelors,13.002284331559219, Never-married, Prof-specialty, Not-in-family, White, Female,5038,0,40, United-States, <=50K
15,52, Private,201910, Assoc-voc,10.982011465877594, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
16,46, Private,135232, 9th,3.55194519602377, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,38, United-States, <=50K
17,20, Private,93017, Bachelors,13.052636845721944, Never-married, Sales, Not-in-family, White, Female,0,0,5, United-States, <=50K
18,63, Self-emp-not-inc,137564, Assoc-voc,11.010695981800627, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
19,22, Private,112808, 10th,4.023011302613394, Married-civ-spouse, Other-service, Wife, White, Female,0,0,11, United-States, <=50K
20,51, Private,350257, Assoc-acdm,12.00382241738432, Divorced, Sales, Not-in-family, White, Female,0,0,65, United-States, <=50K
21,74, Federal-gov,844355, HS-grad,9.003854518052908, Married-civ-spouse, Adm-clerical, Husband, Black, Female,0,0,40, United-States, >50K
22,64, ?,152633, Assoc-voc,10.998421211179705, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
23,64, Private,165691, Bachelors,13.00151547669032, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Cambodia, <=50K
24,19, State-gov,217521, Assoc-acdm,12.013510471013408, Never-married, Adm-clerical, Own-child, White, Female,0,0,31, United-States, <=50K
25,32, Private,255583, Some-college,9.999413421194424, Married-civ-spouse, Craft-repair, Husband, White, Male,6089,0,40, United-States, >50K
26,74, Private,102809, HS-grad,9.002355916509607, Widowed, Other-service, Other-relative, White, Female,4419,0,40, United-States, <=50K
27,29, Private,227634, Some-college,10.00455103930782, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,0,0,53, United-States, <=50K
