age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
33, Local-gov,127455, Masters,13.997521709612785, Married-civ-spouse, Exec-managerial, Husband, White, Male,8873,0,50, United-States, >50K
41, Private,221854, Bachelors,13.003209131950632, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,1984,60, United-States, >50K
35, Private,142051, Some-college,10.000025919687094, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,28, United-States, <=50K
47, Private,223668, HS-grad,9.00033741785044, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, >50K
25, Private,358346, Bachelors,12.998747881711491, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, ?, <=50K
55, ?,187882, HS-grad,8.999097867794086, Married-civ-spouse, ?, Husband, White, Male,0,0,25, United-States, <=50K
29, Private,103756, HS-grad,11.725196748311596, Married-civ-spouse, Protective-serv, Wife, White, Female,0,0,26, United-States, <=50K
83, Self-emp-not-inc,260205, HS-grad,9.000709975603181, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,37, United-States, <=50K
62, Local-gov,86010, HS-grad,8.999461208643842, Married-civ-spouse, Adm-clerical, Husband, White, Male,8609,0,15, United-States, >50K
39, Private,166536, Bachelors,13.000621298114913, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
26, Private,146752, Bachelors,13.000483537020717, Married-civ-spouse, Prof-specialty, Husband, White, Male,7456,0,45, United-States, >50K
46, Private,350204, HS-grad,9.000625640456935, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States, >50K
55, Self-emp-not-inc,356553, Masters,14.002945958288914, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,83, United-States, <=50K
44, Private,328344, HS-grad,8.999070072189816, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,79, United-States, <=50K
19, Private,173473, 11th,7.012613367355411, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Guatemala, <=50K
24, Local-gov,350289, HS-grad,8.999160090751834, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K
46, Local-gov,314919, Some-college,9.995229321427841, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, <=50K
33, Private,94642, HS-grad,8.999755912115418, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K
28, Federal-gov,532667, Bachelors,13.000384485879474, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, Italy, <=50K
39, Private,297494, Masters,14.021180271877634, Married-civ-spouse, Sales, Husband, White, Male,14848,0,50, United-States, >50K
23, Local-gov,474837, HS-grad,8.999453644001555, Separated, Other-service, Not-in-family, White, Male,0,0,40, Mexico, <=50K
63, Private,170572, 7th-8th,13.995637553892104, Divorced, Priv-house-serv, Not-in-family, White, Male,0,0,20, United-States, <=50K
22, Private,113955, Some-college,9.999618896551514, Never-married, Farming-fishing, Other-relative, White, Male,0,0,40, United-States, <=50K
65, Private,118384, HS-grad,8.999925673039616, Widowed, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private,296597, HS-grad,8.999463507498103, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, <=50K
37, Private,181966, Bachelors,13.00100036655721, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
47, Private,43289, Some-college,10.000356527054874, Separated, Transport-moving, Not-in-family, White, Male,0,0,37, Iran, <=50K
39, Self-emp-inc,157130, Doctorate,15.851524637707664, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, Germany, >50K
22, Self-emp-not-inc,137847, Bachelors,12.999553198038418, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,21, United-States, <=50K
17, Private,83161, Some-college,10.000490098210946, Never-married, Sales, Own-child, Asian-Pac-Islander, Male,0,0,21, Philippines, <=50K
40, Private,338344, Assoc-acdm,11.814611781556188, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
58, Federal-gov,151233, Masters,13.998256278678229, Married-civ-spouse, Prof-specialty, Husband, White, Male,7070,0,40, United-States, >50K
60, Private,180673, Assoc-voc,11.00768158464271, Married-civ-spouse, Other-service, Husband, White, Male,0,0,20, United-States, >50K
41, Private,233406, HS-grad,8.999782457617988, Divorced, Sales, Not-in-family, White, Male,0,0,45, United-States, <=50K
43, Private,219033, Prof-school,15.86001921531324, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
22, Private,174097, Some-college,10.000025159885531, Never-married, Other-service, Not-in-family, White, Male,0,0,22, United-States, <=50K
47, Local-gov,178753, HS-grad,8.99972920258738, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,21, United-States, >50K
59, Self-emp-not-inc,216118, HS-grad,8.999238160687181, Divorced, Sales, Unmarried, White, Male,0,0,25, United-States, <=50K
46, Private,73493, HS-grad,8.998469155762066, Divorced, Other-service, Unmarried, White, Female,0,0,21, United-States, <=50K
37, Private,215076, Some-college,10.013535850195074, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States, <=50K
47, Private,175043, Bachelors,12.99928513229458, Divorced, Other-service, Unmarried, Asian-Pac-Islander, Female,0,0,27, United-States, <=50K
52, Private,174033, Masters,13.998891501788858, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,55, United-States, >50K
74, Private,172219, Some-college,9.999259758679026, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
46, Self-emp-not-inc,173099, Some-college,10.000346119832422, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, <=50K
81, ?,60196, HS-grad,8.998848334506855, Married-civ-spouse, ?, Wife, White, Female,0,0,5, United-States, >50K
23, State-gov,54875, Bachelors,12.99892375083202, Never-married, Other-service, Own-child, White, Female,0,0,24, United-States, <=50K
29, Private,393979, HS-grad,9.009605364602141, Separated, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
47, Self-emp-inc,89501, 10th,5.9413477358781295, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
48, Private,150080, Bachelors,13.000192246514358, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,8927,0,40, United-States, >50K
26, State-gov,197796, Bachelors,12.999779580473747, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
67, Self-emp-inc,258098, Bachelors,12.999949575658666, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States, >50K
33, Private,103482, Some-college,10.000273408473872, Married-civ-spouse, Handlers-cleaners, Other-relative, Asian-Pac-Islander, Male,0,0,40, China, >50K
44, Private,249622, Some-college,9.999990949732325, Separated, Craft-repair, Not-in-family, White, Male,0,0,50, Japan, <=50K
42, Private,217789, HS-grad,8.998676547418254, Widowed, Exec-managerial, Wife, White, Female,0,0,50, United-States, >50K
58, State-gov,288017, Some-college,10.000722211404987, Married-civ-spouse, Other-service, Husband, White, Male,0,1369,40, United-States, >50K
26, Private,332073, 7th-8th,3.79855989930077, Never-married, Craft-repair, Own-child, White, Male,0,0,40, Mexico, <=50K
41, Self-emp-not-inc,260859, Bachelors,12.942390031333565, Never-married, Craft-repair, Not-in-family, White, Female,0,0,45, United-States, <=50K
40, Private,123952, Assoc-acdm,11.488092856837063, Divorced, Adm-clerical, Unmarried, White, Female,0,0,28, United-States, <=50K
27, ?,250274, HS-grad,8.99854071923085, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
18, ?,164435, HS-grad,8.999572613981153, Never-married, ?, Own-child, White, Female,0,0,13, Canada, <=50K
49, Self-emp-not-inc,157887, Some-college,10.000068995987418, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,55, United-States, >50K
49, Private,118313, Assoc-voc,9.986734910205547, Divorced, Tech-support, Unmarried, White, Female,0,0,56, United-States, <=50K
20, Private,266702, 1st-4th,3.1203790464453616, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Mexico, <=50K
36, Private,40133, HS-grad,8.998571945093293, Never-married, Other-service, Not-in-family, White, Male,0,0,37, United-States, <=50K
53, Private,121659, HS-grad,8.998396078683633, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,45, United-States, <=50K
31, Federal-gov,43757, HS-grad,8.998880175259027, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
40, Private,98370, Bachelors,13.00189739181246, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,74, United-States, >50K
36, Private,200091, Bachelors,13.00005145755185, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
17, Private,113380, 11th,7.001472214888349, Never-married, Sales, Own-child, White, Female,0,0,34, United-States, <=50K
45, Self-emp-inc,159184, Prof-school,15.645855690855509, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1600,60, United-States, >50K
56, Local-gov,225614, Bachelors,13.00087932278226, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
43, Federal-gov,108519, HS-grad,11.242627920397736, Married-civ-spouse, Craft-repair, Husband, White, Male,4952,0,50, United-States, >50K
35, Private,148852, Bachelors,13.00006739516512, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
40, Private,256518, Bachelors,12.999442138506483, Never-married, Adm-clerical, Not-in-family, White, Male,0,2337,45, United-States, >50K
43, Private,163956, Bachelors,13.001428918810987, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1992,50, United-States, >50K
32, Private,319194, Some-college,10.001392254690701, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
44, Federal-gov,53035, Some-college,10.000032762797426, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K
45, Private,180404, 11th,6.958732772021008, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, ?, >50K
36, Private,150951, Bachelors,12.999591102185931, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,73, United-States, >50K
39, Private,74232, Some-college,10.000248549595337, Divorced, Adm-clerical, Unmarried, White, Female,0,0,37, United-States, <=50K
37, Federal-gov,292575, HS-grad,8.999013093392234, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
56, Private,207050, 9th,4.474407844196392, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
29, Private,197312, Some-college,10.000240026340531, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,49, United-States, >50K
50, Private,412945, HS-grad,8.999506288712102, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1544,60, United-States, <=50K
61, Private,39764, 10th,6.009147980806693, Divorced, Other-service, Not-in-family, White, Female,0,0,19, United-States, <=50K
44, Federal-gov,275719, Assoc-acdm,11.872331622677914, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
31, Private,565930, Bachelors,13.000398009560943, Separated, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, >50K
30, Private,343082, HS-grad,8.99908559838253, Never-married, Transport-moving, Own-child, White, Female,0,0,45, United-States, <=50K
83, ?,88240, HS-grad,8.999669997141938, Married-civ-spouse, ?, Husband, White, Male,0,0,2, United-States, >50K
63, Local-gov,171702, Some-college,9.999401546539099, Widowed, Protective-serv, Not-in-family, White, Male,0,0,40, United-States, <=50K
28, State-gov,144377, HS-grad,8.999174078925503, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,46, Philippines, <=50K
23, Private,65709, HS-grad,8.999153460251478, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States, <=50K
31, Private,210345, Some-college,9.99931278597326, Divorced, Adm-clerical, Unmarried, White, Female,0,0,46, United-States, <=50K
38, ?,282356, HS-grad,8.99820420118576, Never-married, ?, Not-in-family, White, Female,0,0,34, England, <=50K
30, Local-gov,223837, Bachelors,12.999560837743903, Never-married, Other-service, Not-in-family, Black, Male,0,0,33, Haiti, <=50K
62, Private,19691, HS-grad,8.998510072609065, Widowed, Other-service, Unmarried, White, Female,0,0,34, United-States, <=50K
36, Private,206389, HS-grad,8.998880086022814, Never-married, Adm-clerical, Own-child, White, Female,2344,0,34, United-States, <=50K
61, Private,79631, Some-college,10.00015499814921, Divorced, Adm-clerical, Own-child, White, Male,0,0,37, United-States, <=50K
40, Private,186878, HS-grad,8.998646818249183, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40, United-States, <=50K
61, Private,45226, HS-grad,9.00356553145058, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
53, ?,418063, HS-grad,8.99965054132021, Divorced, ?, Own-child, Black, Male,0,0,40, United-States, <=50K
31, Private,123223, HS-grad,9.000378227721837, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
