,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,32, Private,241258, Assoc-voc,11, Divorced, Armed-Forces, Not-in-family, White, Male,9,0,37, Trinadad&Tobago, <=50K
1,35, Private,260114, 10th,12, Never-married, Tech-support, Not-in-family, White, Male,4,0,37, Trinadad&Tobago, <=50K
2,62, Self-emp-not-inc,104743, HS-grad,10, Married-civ-spouse, Craft-repair, Husband, White, Male,3,0,49, Trinadad&Tobago, <=50K
3,42, Private,61066, Assoc-voc,13, Never-married, Other-service, Not-in-family, White, Female,6,0,40, Trinadad&Tobago, <=50K
4,19, Private,117494, 10th,6, Never-married, Other-service, Own-child, White, Female,7,0,20, Trinadad&Tobago, <=50K
5,59, Private,325385, Assoc-acdm,10, Married-civ-spouse, ?, Wife, White, Female,0,0,40, United-States, >50K
6,35, Private,139634, Assoc-voc,13, Divorced, Exec-managerial, Not-in-family, White, Female,7,1830,48, Trinadad&Tobago, <=50K
7,28, Private,182299, Masters,14, Never-married, Priv-house-serv, Not-in-family, White, Female,0,0,37, Trinadad&Tobago, >50K
8,46, Private,164908, Prof-school,10, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,1,0,40, Trinadad&Tobago, <=50K
9,29, Private,44273, Prof-school,9, Never-married, Protective-serv, Not-in-family, White, Male,4,0,33, United-States, <=50K
10,49, Self-emp-inc,109718, Assoc-voc,12, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, Trinadad&Tobago, <=50K
11,20, Private,108880, 10th,7, Married-civ-spouse, Tech-support, Husband, White, Male,4,0,37, Trinadad&Tobago, <=50K
12,57, Federal-gov,89839, Assoc-voc,12, Married-civ-spouse, Priv-house-serv, Husband, White, Male,5,0,33, United-States, >50K
13,49, ?,1047906, Assoc-acdm,14, Married-civ-spouse, ?, Wife, White, Female,6,0,39, United-States, >50K
14,20, ?,372266, Some-college,10, Never-married, ?, Own-child, Black, Male,0,0,23, Trinadad&Tobago, <=50K
15,45, Private,113658, Bachelors,13, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,2,0,48, Trinadad&Tobago, <=50K
16,28, Private,286709, Assoc-voc,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0,1812,59, United-States, >50K
17,53, Private,150830, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,4,0,48, Trinadad&Tobago, <=50K
18,27, State-gov,165642, Prof-school,10, Divorced, Craft-repair, Own-child, White, Female,0,0,39, ?, <=50K
19,24, Local-gov,281728, Some-college,10, Never-married, Tech-support, Own-child, White, Male,0,0,29, Trinadad&Tobago, <=50K
20,36, Private,110691, HS-grad,9, Separated, ?, Unmarried, White, Female,7,0,42, United-States, <=50K
21,46, Private,195985, Assoc-voc,13, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,40, England, >50K
22,36, Private,190128, Doctorate,9, Divorced, Adm-clerical, Husband, Black, Female,2,0,39, Trinadad&Tobago, <=50K
23,62, Private,467377, Doctorate,8, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,7,0,39, United-States, <=50K
24,40, Federal-gov,118961, Doctorate,9, Married-spouse-absent, ?, Unmarried, White, Male,6,0,40, Trinadad&Tobago, <=50K
25,50, Private,185831, Prof-school,10, Married-civ-spouse, ?, Wife, White, Female,0,0,69, United-States, >50K
26,19, Local-gov,290129, HS-grad,9, Never-married, Farming-fishing, Other-relative, White, Female,7,0,40, Trinadad&Tobago, <=50K
27,43, Private,172944, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, Trinadad&Tobago, <=50K
28,77, Private,122911, Masters,14, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,48, Trinadad&Tobago, >50K
29,40, Private,438894, Assoc-voc,12, Divorced, Prof-specialty, Not-in-family, White, Male,7,0,49, Trinadad&Tobago, >50K
30,48, Private,175305, 5th-6th,3, Married-civ-spouse, Other-service, Other-relative, White, Male,0,0,36, Trinadad&Tobago, <=50K
31,52, Private,359166, 5th-6th,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,20, Trinadad&Tobago, >50K
32,31, Self-emp-not-inc,305232, HS-grad,14, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,50, ?, <=50K
33,54, Private,135170, Doctorate,14, Separated, Exec-managerial, Not-in-family, White, Female,99098,0,40, ?, >50K
34,40, Private,295068, Assoc-voc,10, Married-civ-spouse, Protective-serv, Husband, White, Male,2,0,40, Trinadad&Tobago, >50K
35,31, Private,211024, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,3,0,41, Trinadad&Tobago, <=50K
36,45, Private,209310, Some-college,10, Never-married, ?, Husband, White, Male,0,0,39, United-States, <=50K
37,50, Local-gov,221346, Assoc-voc,12, Divorced, Protective-serv, Unmarried, Black, Female,2,0,40, Trinadad&Tobago, <=50K
38,60, Private,239464, Doctorate,8, Divorced, Exec-managerial, Not-in-family, White, Male,6,0,49, Trinadad&Tobago, <=50K
39,23, Private,216512, 11th,7, Divorced, Tech-support, Unmarried, Black, Female,3,0,40, England, <=50K
40,20, Private,100947, Some-college,10, Never-married, Other-service, Own-child, White, Female,4,0,24, Trinadad&Tobago, <=50K
41,43, Local-gov,45156, Doctorate,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,4,1818,50, Trinadad&Tobago, >50K
42,33, Self-emp-not-inc,125136, Assoc-voc,12, Married-civ-spouse, Sales, Husband, White, Male,14795,0,49, Trinadad&Tobago, >50K
43,24, Federal-gov,122913, HS-grad,13, Never-married, ?, Own-child, White, Female,5,0,40, Trinadad&Tobago, <=50K
44,56, Private,122736, HS-grad,14, Married-civ-spouse, Priv-house-serv, Husband, White, Male,7583,0,48, United-States, >50K
45,48, Private,353223, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Husband, Other, Male,4,0,39, United-States, >50K
46,58, Private,348644, Doctorate,8, Widowed, Protective-serv, Unmarried, White, Female,9,0,40, United-States, <=50K
47,69, Private,73995, Prof-school,9, Divorced, Machine-op-inspct, Not-in-family, Black, Female,2,0,18, Trinadad&Tobago, <=50K
48,52, Private,195850, Masters,14, Married-civ-spouse, Priv-house-serv, Wife, White, Female,3,1840,47, Trinadad&Tobago, >50K
49,28, Private,50938, Bachelors,13, Never-married, Protective-serv, Not-in-family, White, Male,3059,0,49, Trinadad&Tobago, <=50K
50,69, Private,125401, Prof-school,10, Married-civ-spouse, Craft-repair, Husband, White, Male,1,0,55, Trinadad&Tobago, >50K
51,39, Self-emp-not-inc,185069, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Unmarried, Black, Female,2,1819,40, Trinadad&Tobago, >50K
52,35, Private,267434, Doctorate,9, Married-civ-spouse, Tech-support, Husband, White, Male,7,0,40, United-States, <=50K
53,55, Private,364647, Prof-school,6, Never-married, Protective-serv, Not-in-family, White, Male,2,0,11, Trinadad&Tobago, <=50K
54,52, Private,271989, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,49, United-States, <=50K
55,28, Private,311153, Some-college,10, Never-married, Priv-house-serv, Other-relative, White, Male,2,1832,36, Trinadad&Tobago, <=50K
56,35, Federal-gov,383831, Assoc-voc,13, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,49, Trinadad&Tobago, >50K
57,22, Private,181167, Prof-school,9, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,39, Philippines, <=50K
58,20, ?,584603, Some-college,10, Married-civ-spouse, ?, Husband, White, Male,0,0,22, Trinadad&Tobago, >50K
