age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
30, Self-emp-inc,92254, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female,0,1781,25, Trinadad&Tobago, <=50K
27, Private,198728, Doctorate,8, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,49, Trinadad&Tobago, <=50K
31, Private,186968, Doctorate,8, Divorced, Transport-moving, Not-in-family, White, Female,0,0,19, Trinadad&Tobago, <=50K
18, Private,307991, Assoc-voc,12, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, Trinadad&Tobago, <=50K
62, Local-gov,348826, Masters,14, Widowed, Prof-specialty, Unmarried, White, Male,3,0,42, Trinadad&Tobago, <=50K
38, Private,150481, Doctorate,9, Married-civ-spouse, Craft-repair, Husband, White, Male,8,0,40, Trinadad&Tobago, <=50K
24, Local-gov,176463, Prof-school,9, Never-married, Adm-clerical, Unmarried, White, Female,0,0,39, Trinadad&Tobago, <=50K
52, State-gov,286407, HS-grad,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,59, Trinadad&Tobago, <=50K
30, Private,39960, Assoc-voc,12, Divorced, Exec-managerial, Unmarried, White, Male,8,0,39, Trinadad&Tobago, <=50K
55, Private,156847, HS-grad,8, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,42, Trinadad&Tobago, <=50K
58, Private,32262, Doctorate,8, Married-civ-spouse, Tech-support, Husband, White, Male,5,0,36, Trinadad&Tobago, >50K
59, Private,256868, Doctorate,8, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,54, Trinadad&Tobago, <=50K
40, Self-emp-inc,436712, Assoc-voc,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,4,0,49, Trinadad&Tobago, >50K
23, Private,317819, HS-grad,4, Never-married, Sales, Not-in-family, White, Male,3,0,20, Trinadad&Tobago, <=50K
34, Private,171099, Doctorate,8, Married-civ-spouse, Craft-repair, Husband, Black, Male,3523,0,40, Cambodia, <=50K
18, Private,220777, 10th,9, Never-married, Handlers-cleaners, Own-child, White, Female,0,0,40, Trinadad&Tobago, <=50K
23, Private,190627, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,39, Trinadad&Tobago, <=50K
54, Private,273739, Prof-school,9, Divorced, Other-service, Not-in-family, White, Male,0,0,48, United-States, <=50K
25, Self-emp-not-inc,101005, HS-grad,9, Divorced, Farming-fishing, Unmarried, White, Male,0,0,39, Trinadad&Tobago, <=50K
26, Private,187666, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,2,0,40, Trinadad&Tobago, <=50K
23, Private,218702, HS-grad,9, Divorced, Craft-repair, Own-child, White, Male,0,0,49, Trinadad&Tobago, <=50K
17, Private,105314, Assoc-voc,11, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,9, Trinadad&Tobago, <=50K
37, Private,138269, Assoc-voc,9, Married-spouse-absent, Sales, Not-in-family, White, Female,0,0,36, Trinadad&Tobago, <=50K
31, Private,200439, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,42, Trinadad&Tobago, <=50K
54, Federal-gov,40271, Prof-school,10, Married-civ-spouse, Protective-serv, Wife, White, Male,0,0,42, Trinadad&Tobago, >50K
17, Private,143780, 10th,8, Never-married, Other-service, Not-in-family, White, Female,0,0,29, Trinadad&Tobago, <=50K
27, Private,263023, Prof-school,8, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
30, Private,264159, Masters,12, Separated, Adm-clerical, Not-in-family, White, Female,0,0,34, Trinadad&Tobago, <=50K
25, Private,355262, Doctorate,8, Married-civ-spouse, Adm-clerical, Wife, Black, Female,0,0,40, Trinadad&Tobago, <=50K
18, Private,147047, 10th,6, Never-married, Sales, Own-child, White, Male,12,0,36, Trinadad&Tobago, <=50K
61, Private,125674, 5th-6th,3, Married-civ-spouse, Sales, Husband, White, Male,3,0,40, Trinadad&Tobago, <=50K
66, Private,229742, Prof-school,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,5,1816,40, Canada, >50K
40, ?,204055, 5th-6th,3, Married-civ-spouse, ?, Husband, Amer-Indian-Eskimo, Male,1,90,40, Mexico, <=50K
48, Local-gov,204544, Bachelors,12, Never-married, Exec-managerial, Husband, White, Male,0,1814,40, Trinadad&Tobago, <=50K
23, Private,119553, HS-grad,8, Divorced, Other-service, Own-child, Black, Male,0,0,39, Trinadad&Tobago, <=50K
