,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,27, Private,147061, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, >50K
1,68, State-gov,79359, HS-grad,9, Married-civ-spouse, Priv-house-serv, Husband, White, Male,2174,0,40, United-States, <=50K
2,33, Private,130700, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K
3,59, Self-emp-not-inc,167494, HS-grad,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,29879,0,25, United-States, >50K
4,50, Self-emp-not-inc,234739, Bachelors,13, Divorced, Sales, Not-in-family, White, Male,0,0,8, United-States, <=50K
5,35, Local-gov,80491, Some-college,10, Separated, Handlers-cleaners, Unmarried, White, Female,0,1902,36, United-States, <=50K
6,31, Private,192406, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, >50K
7,56, Private,188393, Assoc-voc,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K
8,41, Private,136010, Masters,14, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
9,50, Private,146755, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,55, United-States, >50K
10,27, ?,165790, HS-grad,9, Married-civ-spouse, ?, Own-child, Black, Female,0,0,20, United-States, <=50K
11,17, Federal-gov,1117718, Some-college,16, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,0,0,99, ?, <=50K
12,75, Private,246632, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,31, ?, <=50K
13,44, Private,186884, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
14,48, Self-emp-not-inc,118558, Assoc-voc,12, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States, <=50K
15,31, Local-gov,161473, Prof-school,14, Separated, Handlers-cleaners, Unmarried, White, Female,0,0,40, United-States, <=50K
16,36, ?,450252, Some-college,10, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
17,27, Private,744885, 1st-4th,6, Never-married, Other-service, Not-in-family, White, Female,0,0,20, United-States, <=50K
18,27, Private,83652, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
19,52, Federal-gov,204344, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,40, United-States, >50K
20,90, Self-emp-inc,13492, 10th,1, Separated, Prof-specialty, Unmarried, White, Male,0,3175,99, Vietnam, >50K
21,58, Private,138081, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States, >50K
22,45, Private,200107, Masters,14, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,7298,0,55, United-States, >50K
23,28, ?,104807, HS-grad,9, Married-civ-spouse, ?, Wife, White, Female,0,0,40, United-States, <=50K
24,24, Private,55382, 10th,6, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
25,33, Local-gov,329966, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
26,45, Local-gov,84460, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,1733,40, United-States, >50K
27,46, Private,193097, Masters,14, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,0,0,40, Jamaica, >50K
28,57, Private,187380, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
29,27, Private,340334, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States, <=50K
30,56, ?,255229, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K
31,45, Private,120059, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
32,46, Private,121283, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K
33,53, Local-gov,186271, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States, <=50K
34,20, Private,260066, HS-grad,9, Never-married, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
35,32, Private,98668, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K
36,63, Self-emp-not-inc,180232, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
37,52, Federal-gov,77620, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, >50K
38,26, Private,100544, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,50, United-States, >50K
39,43, State-gov,43705, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,50, United-States, <=50K
40,32, ?,346957, HS-grad,9, Married-civ-spouse, ?, Wife, White, Female,0,0,40, United-States, <=50K
41,40, Local-gov,114030, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States, >50K
42,45, Private,118463, HS-grad,9, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K
43,24, Self-emp-inc,236047, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
