,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,41, Private,245163, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
1,31, Self-emp-not-inc,33862, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7298,0,40, United-States, >50K
2,21, Local-gov,33608, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,23, United-States, <=50K
3,42, Federal-gov,278322, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, United-States, >50K
4,27, Private,203776, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
5,32, Private,125461, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,42, United-States, >50K
6,21, Private,183789, HS-grad,9, Never-married, Sales, Unmarried, White, Male,0,0,43, United-States, <=50K
7,17, Private,101859, 10th,6, Never-married, Sales, Own-child, White, Female,0,0,30, United-States, <=50K
8,49, State-gov,288055, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,52, United-States, >50K
9,35, Private,281099, 10th,6, Married-civ-spouse, Other-service, Other-relative, White, Female,0,0,38, El-Salvador, <=50K
10,38, Private,318310, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, >50K
11,38, Private,357943, Assoc-voc,11, Never-married, Sales, Unmarried, White, Female,0,0,38, United-States, <=50K
12,38, Private,186445, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,42, United-States, <=50K
13,25, Private,247006, Some-college,10, Divorced, Protective-serv, Not-in-family, White, Male,2174,0,60, United-States, <=50K
14,29, Private,213229, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States, >50K
15,19, Private,358748, 9th,5, Never-married, Other-service, Not-in-family, White, Female,0,0,27, United-States, <=50K
16,53, Local-gov,133720, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K
17,47, Private,119204, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,44, United-States, <=50K
18,19, Private,29720, Some-college,10, Never-married, Prof-specialty, Own-child, White, Female,0,0,20, United-States, <=50K
19,34, Private,206297, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States, <=50K
20,34, Private,100192, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,30, United-States, <=50K
21,20, Private,358046, HS-grad,9, Never-married, Prof-specialty, Own-child, White, Female,0,0,20, United-States, <=50K
22,52, Private,138819, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K
23,28, Private,108674, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K
24,42, Self-emp-not-inc,142069, 10th,6, Divorced, Transport-moving, Unmarried, White, Male,0,0,50, United-States, <=50K
25,45, Private,124692, HS-grad,9, Widowed, Sales, Unmarried, White, Female,0,0,15, United-States, <=50K
26,41, State-gov,201395, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
27,38, Private,117561, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K
28,65, Local-gov,163655, 7th-8th,4, Widowed, Exec-managerial, Not-in-family, Black, Female,0,0,40, United-States, <=50K
29,52, Self-emp-not-inc,103948, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, >50K
30,29, Private,170172, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States, <=50K
31,25, Local-gov,193348, Some-college,10, Never-married, Adm-clerical, Unmarried, Other, Male,0,0,72, United-States, <=50K
32,26, Federal-gov,52327, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,10520,0,55, United-States, >50K
33,23, Private,278609, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, Puerto-Rico, <=50K
34,28, Self-emp-not-inc,125933, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
35,55, Private,173858, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
36,27, Private,110061, Assoc-voc,11, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
37,36, Self-emp-not-inc,167787, Masters,14, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
38,19, Private,149809, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K
39,73, Self-emp-inc,217833, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,40, United-States, >50K
40,23, Private,96978, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male,0,0,40, Mexico, <=50K
41,77, Self-emp-not-inc,78177, 1st-4th,2, Widowed, Other-service, Not-in-family, Black, Female,0,0,25, United-States, <=50K
42,37, Private,244945, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
43,25, Private,191808, HS-grad,9, Never-married, Sales, Own-child, White, Male,0,0,28, United-States, <=50K
44,33, Private,151043, Some-college,10, Never-married, Adm-clerical, Not-in-family, Black, Male,14084,0,45, United-States, >50K
45,23, ?,193090, 7th-8th,4, Never-married, ?, Own-child, White, Male,0,0,35, United-States, <=50K
46,32, Self-emp-not-inc,119719, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,55, Portugal, <=50K
47,45, Private,360684, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K
48,49, Self-emp-not-inc,377770, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,35, United-States, <=50K
