,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,49, Private,114326, HS-grad,8, Married-civ-spouse, Other-service, Husband, White, Male,0,0,59, United-States, >50K
1,50, Private,114772, Some-college,9, Married-civ-spouse, Armed-Forces, Husband, White, Male,0,0,39, Trinadad&Tobago, >50K
2,42, Self-emp-inc,181100, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
3,32, Private,197044, 10th,6, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
4,38, Self-emp-inc,100223, HS-grad,10, Married-civ-spouse, Protective-serv, Husband, White, Male,10,0,13, Trinadad&Tobago, >50K
5,32, Private,153844, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,44, Trinadad&Tobago, <=50K
6,38, Private,190983, Bachelors,12, Divorced, Prof-specialty, Not-in-family, White, Male,0,0,44, France, <=50K
7,32, Private,194499, HS-grad,8, Married-civ-spouse, Exec-managerial, Husband, White, Male,1,0,40, Trinadad&Tobago, >50K
8,20, Private,459982, HS-grad,9, Never-married, ?, Own-child, White, Female,0,0,40, United-States, <=50K
9,66, Self-emp-not-inc,97389, 7th-8th,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,62, Trinadad&Tobago, <=50K
10,58, Private,383050, Doctorate,6, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,49, United-States, <=50K
11,38, Private,237342, Doctorate,8, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,34, Ireland, <=50K
12,37, Private,303059, Masters,14, Divorced, Priv-house-serv, Not-in-family, White, Male,2,0,40, Trinadad&Tobago, <=50K
13,57, Private,162037, Assoc-voc,12, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,52, United-States, >50K
14,37, Private,124691, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,49, Philippines, <=50K
15,56, Private,32095, HS-grad,9, Divorced, Protective-serv, Unmarried, White, Female,0,0,58, United-States, <=50K
16,30, Private,252854, Assoc-voc,11, Never-married, ?, Own-child, White, Male,0,0,44, Trinadad&Tobago, <=50K
17,60, Private,118838, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,33, United-States, >50K
18,67, Private,118729, HS-grad,9, Widowed, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K
19,50, Private,122629, Some-college,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Trinadad&Tobago, >50K
20,46, Private,123558, 7th-8th,4, Never-married, Machine-op-inspct, Other-relative, White, Female,0,0,40, United-States, <=50K
21,24, Private,39264, Some-college,9, Never-married, ?, Unmarried, White, Female,0,0,33, Trinadad&Tobago, <=50K
22,29, Private,207656, Assoc-voc,12, Never-married, Sales, Unmarried, Black, Male,1,0,40, Trinadad&Tobago, <=50K
23,38, Private,189501, Bachelors,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,44, Trinadad&Tobago, <=50K
24,37, Local-gov,118872, Assoc-voc,12, Married-civ-spouse, Priv-house-serv, Husband, White, Male,0,0,64, Trinadad&Tobago, <=50K
25,28, Self-emp-not-inc,119394, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, Trinadad&Tobago, <=50K
26,57, Private,199621, Doctorate,8, Divorced, Machine-op-inspct, Not-in-family, Black, Male,0,0,40, United-States, <=50K
27,25, ?,238305, 10th,9, Never-married, ?, Own-child, White, Male,0,0,39, Trinadad&Tobago, <=50K
28,44, State-gov,119921, Prof-school,9, Divorced, Priv-house-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K
29,49, Private,104871, Doctorate,8, Married-civ-spouse, Armed-Forces, Husband, White, Male,0,0,36, United-States, >50K
30,19, Self-emp-not-inc,196902, HS-grad,9, Never-married, Priv-house-serv, Own-child, White, Female,0,0,19, Trinadad&Tobago, <=50K
31,43, State-gov,111215, Some-college,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,39, Trinadad&Tobago, >50K
32,23, Private,185129, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, United-States, <=50K
33,44, Self-emp-not-inc,114802, Doctorate,4, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,76, United-States, <=50K
34,43, Private,184792, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,2,0,58, United-States, <=50K
35,47, Self-emp-inc,36890, HS-grad,6, Married-civ-spouse, Armed-Forces, Husband, White, Male,0,0,50, Trinadad&Tobago, <=50K
36,57, Private,235991, Doctorate,8, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,39, Mexico, <=50K
37,23, Private,197608, Prof-school,9, Never-married, Other-service, Own-child, White, Male,3,0,39, United-States, <=50K
38,24, Private,100501, HS-grad,8, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K
39,52, Self-emp-inc,94657, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,1,0,59, United-States, <=50K
40,19, Private,196771, HS-grad,13, Married-civ-spouse, Other-service, Unmarried, Black, Female,0,0,33, United-States, <=50K
41,59, Private,516668, HS-grad,9, Never-married, Craft-repair, Other-relative, Black, Male,0,0,39, Trinadad&Tobago, <=50K
42,35, Self-emp-not-inc,187618, Prof-school,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, Trinadad&Tobago, <=50K
43,36, Private,42701, HS-grad,9, Never-married, Tech-support, Not-in-family, White, Male,0,0,40, Trinadad&Tobago, <=50K
44,38, Private,115480, HS-grad,8, Married-civ-spouse, Craft-repair, Husband, Black, Female,0,0,39, United-States, >50K
45,57, Private,48161, Assoc-voc,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,49, United-States, <=50K
46,38, Private,189586, HS-grad,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
47,54, Private,108990, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, Trinadad&Tobago, <=50K
48,49, Private,289464, HS-grad,8, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, >50K
49,51, Private,107103, HS-grad,8, Married-civ-spouse, ?, Unmarried, White, Male,1,0,40, United-States, <=50K
50,43, Private,90609, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White, Female,1,0,40, Trinadad&Tobago, <=50K
51,32, Private,181033, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,45, Trinadad&Tobago, <=50K
52,19, Private,128575, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,39, Trinadad&Tobago, <=50K
53,30, Self-emp-inc,194191, Assoc-voc,12, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,61, Trinadad&Tobago, <=50K
54,19, Self-emp-inc,193638, HS-grad,9, Never-married, Armed-Forces, Own-child, White, Male,0,0,24, Trinadad&Tobago, <=50K
55,25, Private,237436, 5th-6th,10, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,39, United-States, <=50K
56,43, Private,102388, Some-college,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,39, United-States, <=50K
57,24, Private,195220, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Own-child, White, Female,0,0,19, Trinadad&Tobago, <=50K
58,33, Self-emp-not-inc,370283, Doctorate,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,56, Trinadad&Tobago, <=50K
59,43, Self-emp-not-inc,37121, Some-college,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Trinadad&Tobago, <=50K
60,32, Private,164429, Prof-school,9, Never-married, Other-service, Own-child, White, Female,5,0,31, Trinadad&Tobago, <=50K
61,19, ?,237106, Some-college,9, Never-married, ?, Own-child, White, Male,0,0,34, Trinadad&Tobago, <=50K
62,32, Private,100294, HS-grad,8, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,0,0,50, United-States, <=50K
63,48, Private,43961, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,4, United-States, <=50K
64,56, Private,180815, Bachelors,8, Married-civ-spouse, Armed-Forces, Husband, White, Male,0,0,40, United-States, >50K
65,31, Private,162810, Some-college,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,3,0,69, Trinadad&Tobago, >50K
66,28, Self-emp-not-inc,46873, HS-grad,12, Divorced, Exec-managerial, Not-in-family, White, Male,23335,0,35, United-States, >50K
67,24, Private,352849, Bachelors,13, Never-married, Protective-serv, Own-child, White, Female,0,0,34, Trinadad&Tobago, <=50K
68,60, Local-gov,294124, 7th-8th,4, Married-civ-spouse, Priv-house-serv, Husband, Black, Male,0,0,40, United-States, <=50K
69,49, Self-emp-not-inc,241784, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,59, Trinadad&Tobago, <=50K
70,51, ?,104495, HS-grad,8, Married-civ-spouse, ?, Husband, White, Male,0,0,40, Trinadad&Tobago, >50K
71,38, State-gov,110580, Assoc-voc,12, Never-married, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
72,31, Federal-gov,244454, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K
73,23, State-gov,303984, Prof-school,9, Never-married, Exec-managerial, Not-in-family, White, Male,3,0,63, Trinadad&Tobago, <=50K
74,23, Private,235033, HS-grad,8, Married-civ-spouse, ?, Husband, White, Male,2,0,55, United-States, <=50K
75,59, ?,223285, Some-college,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, Trinadad&Tobago, >50K
76,19, Private,39620, Some-college,10, Never-married, Exec-managerial, Own-child, White, Female,0,0,34, United-States, <=50K
77,24, Private,37651, HS-grad,9, Never-married, Other-service, Unmarried, Amer-Indian-Eskimo, Female,0,0,39, Trinadad&Tobago, <=50K
78,49, Private,356178, Doctorate,9, Never-married, Armed-Forces, Not-in-family, White, Male,0,0,40, United-States, <=50K
79,57, Private,98205, HS-grad,8, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, >50K
