age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,admin.,divorced,secondary,no,2532,yes,no,cellular,11,may,230,1,195,7,other,1
1,blue-collar,married,primary,no,1516,no,no,cellular,8,jul,77,1,-1,0,unknown,1
1,management,married,unknown,no,1059,no,no,cellular,22,apr,269,3,-1,0,unknown,1
1,student,single,secondary,no,-1055,no,no,cellular,13,aug,243,2,-1,0,unknown,1
1,management,married,secondary,no,2496,yes,yes,cellular,11,apr,654,2,-1,0,unknown,1
1,admin.,married,secondary,no,296,yes,no,telephone,28,jul,252,1,-1,0,unknown,1
1,admin.,single,secondary,no,136,yes,no,cellular,10,oct,127,8,-1,0,unknown,1
1,blue-collar,single,tertiary,no,743,yes,no,cellular,21,feb,51,1,-1,0,unknown,2
1,blue-collar,single,secondary,no,3543,no,no,cellular,22,jan,414,2,-1,0,unknown,2
1,blue-collar,single,primary,no,276,yes,no,cellular,9,may,259,2,-1,0,unknown,1
1,housemaid,married,tertiary,no,358,yes,no,cellular,6,may,108,3,-1,0,unknown,1
1,admin.,married,secondary,no,396,yes,no,cellular,16,apr,113,1,-1,0,unknown,1
1,admin.,married,secondary,no,-427,yes,no,unknown,8,may,396,1,-1,0,unknown,1
1,retired,married,secondary,no,1438,yes,no,cellular,7,jul,277,2,-1,0,unknown,1
1,admin.,married,secondary,no,1148,yes,no,unknown,15,jun,246,4,-1,0,unknown,1
1,admin.,married,secondary,no,-878,yes,no,cellular,18,apr,647,4,-1,0,unknown,1
1,management,divorced,tertiary,no,203,yes,no,cellular,29,jul,47,18,-1,0,unknown,1
1,entrepreneur,married,tertiary,no,73,no,no,cellular,9,may,435,1,290,3,failure,1
1,management,divorced,secondary,no,-139,no,no,cellular,9,dec,100,1,-1,0,unknown,1
1,technician,single,secondary,no,492,yes,no,unknown,11,may,183,1,-1,0,unknown,1
0,retired,married,secondary,no,2311,no,no,telephone,10,dec,288,1,111,0,unknown,2
1,management,single,tertiary,no,4855,no,no,cellular,19,nov,183,2,-1,0,unknown,1
1,admin.,divorced,primary,no,-545,yes,no,unknown,17,may,162,2,-1,0,unknown,1
1,admin.,married,tertiary,no,1144,yes,no,telephone,10,jul,137,3,-1,0,unknown,1
1,blue-collar,married,primary,no,1909,yes,no,cellular,15,aug,365,2,-1,0,unknown,1
1,retired,married,tertiary,no,12176,yes,no,cellular,19,nov,340,1,-1,0,unknown,1
1,unemployed,married,secondary,no,-313,no,yes,cellular,20,oct,171,1,111,3,other,1
0,unknown,married,secondary,no,238,no,no,unknown,28,mar,321,4,-1,0,unknown,1
1,blue-collar,married,primary,no,1966,yes,no,cellular,13,nov,173,4,298,8,failure,1
1,blue-collar,married,secondary,no,559,yes,yes,unknown,28,may,291,2,-1,0,unknown,1
1,retired,married,tertiary,no,3602,yes,no,cellular,20,mar,657,1,-1,0,unknown,2
1,entrepreneur,married,secondary,no,532,yes,no,cellular,10,mar,19,4,227,2,other,1
1,housemaid,married,primary,no,-164,yes,no,unknown,29,mar,94,9,-1,0,unknown,1
0,entrepreneur,married,primary,no,-2282,no,no,telephone,7,jun,319,1,-1,0,unknown,1
1,blue-collar,married,primary,no,2268,yes,no,unknown,20,jun,171,5,-1,0,unknown,1
1,housemaid,single,secondary,no,11374,yes,no,cellular,1,jun,97,1,26,0,unknown,1
1,self-employed,married,primary,no,976,no,no,telephone,10,nov,276,1,281,0,other,1
1,admin.,married,secondary,no,2578,no,no,cellular,29,aug,36,2,-1,0,unknown,1
0,management,single,primary,no,131,no,no,cellular,2,jan,117,1,-1,0,unknown,1
1,admin.,married,primary,no,781,yes,no,cellular,16,mar,309,3,-1,0,unknown,1
1,admin.,married,secondary,no,637,no,no,unknown,10,jun,248,1,-1,0,unknown,1
1,admin.,married,secondary,no,1379,yes,no,cellular,18,nov,148,2,-1,0,unknown,1
1,technician,single,secondary,no,6827,yes,no,telephone,6,feb,34,2,-1,0,unknown,1
0,services,single,secondary,no,2113,yes,yes,cellular,15,may,275,3,67,0,unknown,1
1,entrepreneur,married,secondary,no,467,yes,no,cellular,13,mar,406,1,232,3,failure,1
1,technician,divorced,secondary,no,680,yes,no,cellular,14,jan,421,3,-1,0,unknown,2
1,admin.,divorced,secondary,no,3640,yes,no,unknown,2,jun,537,2,-1,0,unknown,1
1,management,married,primary,no,291,no,no,cellular,26,jan,152,3,-1,0,unknown,1
1,management,married,tertiary,no,96,yes,yes,cellular,16,jul,202,1,-1,0,unknown,1
1,blue-collar,single,primary,no,230,no,no,unknown,13,mar,751,7,-1,0,unknown,1
1,self-employed,married,primary,no,4657,yes,no,unknown,10,mar,239,11,-1,0,unknown,1
1,management,single,tertiary,no,3477,no,yes,cellular,18,may,161,1,-1,0,unknown,1
1,technician,single,secondary,no,1711,no,no,unknown,14,mar,616,1,-1,0,unknown,2
1,management,single,tertiary,no,1082,yes,yes,cellular,28,jul,949,9,-1,0,unknown,1
1,services,married,secondary,no,2482,yes,no,cellular,13,jan,251,1,21,2,failure,1
1,services,married,secondary,no,496,yes,no,cellular,18,mar,548,2,-1,0,unknown,1
1,blue-collar,married,secondary,no,1446,no,no,telephone,17,jan,12,4,-1,0,unknown,1
1,management,divorced,tertiary,no,247,no,no,telephone,2,jan,461,3,-1,0,unknown,1
1,blue-collar,single,primary,no,577,yes,no,unknown,12,jan,165,1,-1,0,unknown,1
1,retired,married,primary,no,802,no,no,cellular,3,dec,155,2,310,4,other,1
1,housemaid,married,tertiary,no,277,yes,no,cellular,23,apr,674,4,-1,0,unknown,2
1,admin.,married,tertiary,no,5569,yes,no,cellular,26,aug,213,2,-1,0,unknown,1
1,services,married,secondary,no,5150,no,no,telephone,20,jun,209,2,103,5,unknown,1
1,services,single,tertiary,no,947,yes,no,cellular,11,mar,223,4,361,0,failure,2
1,housemaid,single,tertiary,no,7,no,no,cellular,15,aug,55,2,-1,0,unknown,1
1,technician,divorced,secondary,no,417,yes,no,unknown,21,jun,242,1,-1,0,unknown,1
1,blue-collar,married,primary,no,7095,no,no,cellular,15,aug,248,15,35,0,unknown,2
1,blue-collar,single,tertiary,no,502,yes,no,cellular,1,feb,161,3,-1,0,unknown,1
0,self-employed,married,primary,no,1029,no,no,cellular,3,jul,105,1,-1,0,unknown,2
0,housemaid,married,tertiary,no,45,no,yes,cellular,28,jul,279,1,-1,0,unknown,1
0,retired,married,secondary,no,-802,no,no,cellular,23,aug,74,2,-1,0,unknown,1
1,technician,single,primary,no,14270,yes,no,cellular,17,aug,117,1,-1,0,unknown,1
1,services,single,secondary,no,-74,no,yes,unknown,30,may,471,2,21,0,unknown,2
1,student,married,tertiary,no,-79,no,no,unknown,17,jun,188,2,-1,0,unknown,1
1,retired,married,secondary,no,116,yes,no,unknown,31,mar,131,2,-1,0,unknown,1
1,student,single,secondary,no,18,no,no,unknown,14,may,225,1,-1,0,unknown,1
1,blue-collar,single,secondary,no,693,no,no,cellular,24,dec,54,16,-1,0,unknown,1
1,blue-collar,single,secondary,no,14925,no,no,cellular,10,aug,106,2,-1,0,unknown,1
1,blue-collar,single,tertiary,no,238,no,yes,cellular,11,jul,427,1,-1,0,unknown,1
1,admin.,married,secondary,no,1980,yes,no,unknown,19,may,80,2,-1,0,unknown,1
1,admin.,married,tertiary,no,3635,yes,no,cellular,14,apr,605,2,295,0,failure,1
1,housemaid,single,tertiary,no,421,no,no,cellular,29,aug,24,22,-1,0,unknown,1
1,services,divorced,secondary,no,4013,no,yes,cellular,19,may,413,2,-1,0,unknown,1
1,retired,married,secondary,no,34,no,no,cellular,18,aug,236,5,-1,0,unknown,1
1,entrepreneur,single,tertiary,no,6901,yes,no,cellular,25,mar,183,1,133,2,other,1
1,admin.,single,primary,no,1611,no,yes,cellular,11,jul,189,16,-1,0,unknown,1
1,management,married,tertiary,no,-82,yes,no,unknown,24,may,179,5,-1,0,unknown,1
1,blue-collar,married,secondary,no,1075,no,yes,telephone,24,jul,224,9,-1,0,unknown,1
1,management,married,primary,no,-1978,no,yes,cellular,14,mar,784,2,-1,0,unknown,1
1,self-employed,married,secondary,no,200,yes,no,cellular,16,jul,6,4,-1,0,unknown,1
1,housemaid,married,secondary,no,556,yes,no,unknown,14,may,53,13,-1,0,unknown,1
1,admin.,married,secondary,no,9263,yes,no,unknown,29,may,187,3,-1,0,unknown,1
1,student,single,tertiary,no,273,yes,no,cellular,9,may,102,1,285,2,failure,1
1,blue-collar,married,secondary,no,548,yes,no,unknown,12,may,52,1,-1,0,unknown,1
1,housemaid,married,secondary,no,155,yes,yes,cellular,6,mar,81,2,-1,0,unknown,1
0,entrepreneur,divorced,unknown,no,7824,yes,no,cellular,5,jul,355,3,-1,0,unknown,2
1,admin.,single,tertiary,no,974,no,no,cellular,10,feb,168,1,-1,0,unknown,1
1,entrepreneur,married,tertiary,no,166,no,no,cellular,25,apr,499,5,-1,0,unknown,1
1,housemaid,divorced,secondary,no,466,no,no,telephone,20,jun,45,2,-1,0,unknown,1
1,blue-collar,married,primary,no,6024,yes,no,unknown,24,mar,91,1,-1,0,unknown,1
0,retired,married,secondary,no,442,no,no,cellular,5,feb,131,1,-1,0,unknown,1
1,student,divorced,unknown,no,507,yes,no,unknown,31,may,57,1,-1,0,unknown,1
1,student,married,secondary,no,2708,no,yes,cellular,4,dec,237,1,-1,0,unknown,1
1,entrepreneur,married,primary,no,1800,no,no,cellular,8,jul,230,6,-1,0,unknown,1
1,admin.,divorced,primary,no,3646,no,no,cellular,11,aug,311,3,-1,0,unknown,1
1,blue-collar,single,secondary,no,509,yes,no,cellular,16,may,245,1,-1,0,unknown,1
1,management,married,tertiary,no,362,yes,no,cellular,10,may,91,3,-1,0,unknown,1
1,services,married,secondary,no,832,yes,no,cellular,7,jan,191,2,-1,0,unknown,1
1,self-employed,married,secondary,no,-189,yes,no,unknown,26,may,63,1,-1,0,unknown,1
1,unemployed,single,tertiary,no,4754,yes,no,unknown,10,may,139,1,-1,0,unknown,2
0,admin.,married,secondary,no,-309,yes,no,unknown,19,may,100,1,-1,0,unknown,1
1,blue-collar,married,unknown,no,-39,yes,no,cellular,29,apr,191,3,82,2,failure,1
1,self-employed,single,tertiary,no,531,yes,no,unknown,7,may,476,1,-1,0,unknown,1
1,student,married,tertiary,no,68,no,no,cellular,18,aug,108,2,-1,0,unknown,1
1,admin.,single,secondary,no,2456,no,no,cellular,17,feb,823,1,143,0,success,1
1,retired,married,secondary,no,156,yes,no,cellular,12,nov,66,2,387,2,failure,1
1,technician,single,primary,no,-181,yes,no,cellular,10,jun,287,1,-1,0,unknown,1
1,housemaid,married,tertiary,no,844,no,no,cellular,5,aug,80,2,-1,0,unknown,1
1,technician,married,secondary,no,3546,no,no,cellular,19,aug,387,5,-1,0,unknown,1
1,management,single,secondary,no,-318,no,yes,cellular,27,feb,57,1,-1,0,unknown,1
1,retired,single,primary,no,5421,no,no,unknown,14,jun,255,4,-1,0,unknown,1
1,retired,married,tertiary,no,1843,yes,yes,cellular,1,dec,144,1,225,2,failure,1
1,technician,married,tertiary,no,213,no,no,telephone,16,aug,138,4,-1,0,unknown,2
1,retired,married,primary,no,-3860,no,no,cellular,16,apr,472,1,0,0,unknown,2
1,student,married,tertiary,no,1245,yes,yes,cellular,7,jul,169,2,-1,0,unknown,1
1,retired,married,secondary,no,286,yes,no,cellular,26,jan,304,1,-1,0,unknown,1
1,admin.,married,secondary,no,10196,yes,no,unknown,14,mar,478,5,-1,0,unknown,1
1,retired,married,unknown,no,-151,yes,no,unknown,16,mar,11,22,-1,0,unknown,1
1,admin.,divorced,secondary,no,61,yes,no,unknown,13,jun,261,1,-1,0,unknown,1
1,retired,single,tertiary,no,9658,yes,no,telephone,20,may,1293,5,-1,0,unknown,1
1,services,married,tertiary,no,121,no,no,cellular,22,aug,138,4,-1,0,unknown,1
1,blue-collar,married,secondary,no,492,yes,no,unknown,23,mar,176,1,-1,0,unknown,1
1,entrepreneur,married,primary,no,-1299,yes,no,cellular,8,feb,99,2,9,1,unknown,1
0,retired,married,secondary,no,2515,no,no,telephone,13,apr,226,1,90,0,unknown,2
1,admin.,single,secondary,yes,48,yes,no,unknown,7,may,135,2,-1,0,unknown,1
1,retired,married,secondary,no,-1525,no,yes,cellular,21,nov,163,1,-1,0,unknown,1
1,housemaid,divorced,unknown,no,3284,no,yes,unknown,6,jun,128,2,-1,0,unknown,1
1,housemaid,single,secondary,no,1233,no,no,cellular,18,nov,146,2,110,5,failure,1
1,services,married,tertiary,no,-9,no,yes,unknown,3,jul,111,1,-1,0,unknown,1
1,self-employed,married,secondary,no,6,no,no,unknown,5,jun,264,4,-1,0,unknown,1
1,technician,married,secondary,no,370,yes,no,cellular,7,aug,356,2,-1,0,unknown,1
1,self-employed,married,tertiary,no,496,yes,yes,cellular,27,nov,44,2,-1,0,unknown,1
1,management,married,primary,no,1937,no,no,unknown,18,jun,573,6,-1,0,unknown,1
1,admin.,married,unknown,no,500,yes,no,unknown,15,may,340,12,-1,0,unknown,1
1,admin.,single,secondary,no,410,yes,no,cellular,28,jul,218,9,-1,0,unknown,1
1,housemaid,single,secondary,no,891,yes,no,unknown,7,jun,185,2,-1,0,unknown,1
1,admin.,single,secondary,no,682,yes,yes,unknown,25,jun,126,4,-1,0,unknown,1
1,admin.,single,secondary,no,247,yes,yes,unknown,26,jul,431,14,-1,0,unknown,1
1,entrepreneur,married,tertiary,no,140,yes,no,cellular,29,jan,205,2,-1,0,unknown,1
1,management,single,tertiary,no,108,no,no,cellular,12,aug,408,3,-1,0,unknown,1
1,management,single,tertiary,no,3324,no,yes,cellular,28,aug,73,17,-1,0,unknown,1
1,student,divorced,tertiary,no,231,no,no,cellular,28,feb,201,2,-1,0,unknown,1
1,self-employed,divorced,secondary,no,-136,no,no,cellular,13,jul,115,2,196,5,success,1
1,self-employed,married,secondary,no,1389,no,no,cellular,26,aug,133,8,-1,0,unknown,1
1,unemployed,single,tertiary,no,2349,yes,no,unknown,19,may,154,1,-1,0,unknown,1
1,entrepreneur,married,unknown,no,8517,yes,no,cellular,8,mar,42,1,-1,0,unknown,1
1,student,married,secondary,no,-347,no,yes,telephone,12,apr,24,5,-1,0,unknown,1
1,blue-collar,married,secondary,no,-128,yes,no,unknown,11,may,484,5,-1,0,unknown,2
1,self-employed,single,tertiary,no,-129,no,no,cellular,25,sep,389,1,-1,0,unknown,2
1,management,divorced,tertiary,no,2150,yes,no,cellular,10,aug,433,5,-1,0,unknown,1
1,management,divorced,secondary,no,-1004,no,yes,cellular,9,jul,490,4,-1,0,unknown,1
1,student,divorced,unknown,no,1425,no,yes,telephone,7,jan,79,5,-1,0,unknown,1
1,management,married,primary,no,-646,no,no,unknown,15,jun,243,4,-1,0,unknown,1
0,entrepreneur,married,secondary,no,8429,no,no,cellular,24,dec,220,2,183,3,success,2
1,student,married,secondary,no,143,yes,yes,cellular,22,jan,220,2,-1,0,unknown,1
1,blue-collar,married,primary,no,-797,yes,no,cellular,17,mar,115,2,226,1,failure,1
1,retired,divorced,tertiary,no,151,yes,yes,cellular,31,jul,54,5,-1,0,unknown,1
1,admin.,single,secondary,no,491,no,no,cellular,30,feb,315,2,-1,0,unknown,1
1,unemployed,married,secondary,no,839,yes,no,cellular,9,feb,653,1,-1,0,unknown,1
1,blue-collar,married,secondary,no,3272,yes,no,cellular,20,jan,533,2,-1,0,unknown,1
1,retired,married,tertiary,no,66,yes,no,unknown,30,mar,50,10,-1,0,unknown,1
1,management,single,secondary,no,837,yes,no,unknown,26,may,112,2,-1,0,unknown,1
1,self-employed,single,secondary,no,496,yes,no,cellular,13,may,236,2,-1,0,unknown,1
1,self-employed,single,secondary,no,4617,yes,no,unknown,22,may,183,1,-1,0,unknown,1
1,blue-collar,married,tertiary,no,6489,yes,no,unknown,6,jun,69,2,-1,0,unknown,1
1,student,married,secondary,no,-129,no,no,unknown,15,may,183,2,-1,0,unknown,1
1,entrepreneur,married,tertiary,no,-80,yes,no,cellular,7,jan,238,1,309,3,failure,1
1,self-employed,married,primary,no,-10,yes,no,unknown,10,may,900,1,-1,0,unknown,1
1,technician,single,tertiary,no,887,no,no,cellular,21,nov,294,1,-1,0,unknown,1
1,self-employed,married,tertiary,no,1189,yes,no,unknown,10,mar,529,5,-1,0,unknown,1
1,technician,married,tertiary,no,135,yes,no,unknown,15,may,469,2,-1,0,unknown,1
1,blue-collar,married,unknown,no,1947,yes,no,unknown,26,may,71,2,-1,0,unknown,1
1,student,married,primary,no,19,yes,yes,cellular,14,apr,222,4,-1,0,unknown,1
1,retired,married,unknown,no,43,yes,no,unknown,28,mar,104,15,-1,0,unknown,1
1,blue-collar,married,secondary,no,472,yes,no,unknown,31,mar,209,3,14,0,unknown,1
1,self-employed,single,tertiary,no,92,no,no,cellular,4,jul,392,1,174,3,failure,2
1,admin.,married,secondary,no,277,yes,no,unknown,17,jun,294,1,-1,0,unknown,1
1,housemaid,married,secondary,no,5804,no,no,unknown,16,jul,72,4,-1,0,unknown,1
1,admin.,married,primary,no,625,no,yes,cellular,11,jul,334,1,-1,0,unknown,1
1,management,single,tertiary,no,559,yes,no,cellular,19,jan,154,3,-1,0,unknown,1
1,housemaid,married,tertiary,no,1241,yes,no,cellular,13,nov,176,3,245,0,failure,1
0,services,divorced,secondary,no,6113,no,no,telephone,11,jun,214,7,-1,0,unknown,2
1,self-employed,married,primary,no,480,no,no,unknown,4,jun,215,1,-1,0,unknown,1
1,admin.,married,primary,no,1808,yes,no,cellular,2,mar,180,2,-1,0,unknown,1
1,technician,married,tertiary,no,8231,yes,no,cellular,23,dec,169,2,272,3,other,1
1,housemaid,single,tertiary,no,2740,no,no,cellular,7,aug,844,5,-1,0,unknown,2
1,self-employed,married,primary,no,1426,yes,no,cellular,15,may,434,1,243,0,failure,1
0,admin.,married,primary,no,-32,yes,no,unknown,30,may,159,5,-1,0,unknown,1
1,management,married,primary,no,1641,no,no,unknown,16,jun,123,3,-1,0,unknown,1
1,admin.,married,secondary,no,12487,yes,no,cellular,24,mar,244,1,118,5,failure,1
1,admin.,married,secondary,no,14394,yes,no,cellular,18,nov,123,1,-1,0,unknown,1
1,technician,married,secondary,no,3424,no,no,unknown,16,jun,111,5,-1,0,unknown,1
1,blue-collar,married,primary,no,516,no,yes,unknown,21,jun,175,1,-1,0,unknown,1
1,services,single,secondary,no,9611,no,yes,unknown,4,may,364,2,-1,0,unknown,1
1,admin.,married,secondary,no,373,yes,no,unknown,14,may,424,2,-1,0,unknown,1
1,entrepreneur,divorced,secondary,no,-77,yes,no,cellular,16,apr,135,2,-1,0,unknown,1
1,management,married,tertiary,no,245,yes,no,cellular,19,jul,479,6,-1,0,unknown,1
1,services,divorced,secondary,no,296,no,no,unknown,20,jun,380,2,-1,0,unknown,1
1,management,married,secondary,no,3982,no,no,unknown,8,jun,684,2,-1,0,unknown,1
1,entrepreneur,married,tertiary,no,2077,yes,no,telephone,21,jan,1301,2,-1,0,unknown,1
1,management,divorced,tertiary,no,3857,yes,no,unknown,23,mar,167,1,-1,0,unknown,1
1,self-employed,married,tertiary,no,415,yes,no,unknown,17,jul,17,16,-1,0,unknown,1
1,services,single,tertiary,no,3603,yes,no,unknown,15,jun,302,1,-1,0,unknown,1
1,entrepreneur,married,primary,yes,-115,no,yes,cellular,3,jul,429,1,-1,0,unknown,1
1,management,married,secondary,no,3702,no,no,cellular,23,jul,12,2,-1,0,unknown,1
1,admin.,married,secondary,no,1653,yes,no,cellular,11,jul,168,1,-1,0,unknown,1
0,management,married,tertiary,no,1182,no,no,cellular,25,aug,314,2,-1,0,unknown,1
1,admin.,married,primary,no,-11,no,no,cellular,27,dec,50,7,-1,0,unknown,1
1,services,married,secondary,no,234,yes,no,unknown,1,may,122,3,-1,0,unknown,1
1,unemployed,married,secondary,no,1832,yes,no,unknown,27,mar,44,4,-1,0,unknown,1
1,entrepreneur,married,tertiary,no,-497,yes,no,cellular,10,jun,101,3,-1,0,unknown,1
1,services,married,tertiary,no,1524,no,no,cellular,26,dec,262,13,-1,0,unknown,1
1,admin.,married,secondary,no,1322,yes,yes,unknown,19,jul,111,11,-1,0,unknown,1
1,retired,married,secondary,no,325,yes,no,unknown,18,jul,49,3,-1,0,unknown,1
1,unknown,married,tertiary,no,2691,yes,yes,cellular,8,may,235,1,-1,0,unknown,1
1,admin.,single,secondary,no,-5539,no,no,unknown,10,jul,357,1,-1,0,unknown,1
1,housemaid,married,secondary,no,185,yes,no,cellular,7,jan,257,3,-1,0,unknown,1
1,blue-collar,married,secondary,no,-143,yes,no,telephone,17,apr,1228,2,125,2,unknown,2
1,housemaid,single,tertiary,no,4341,no,no,cellular,19,nov,269,2,-1,0,unknown,1
1,technician,married,tertiary,no,-454,yes,no,telephone,25,jul,20,5,-1,0,unknown,1
1,housemaid,married,secondary,no,-128,no,yes,cellular,11,jan,596,5,-1,0,unknown,1
1,retired,single,tertiary,no,-327,yes,yes,cellular,3,nov,146,1,59,1,failure,1
1,blue-collar,married,unknown,no,54,yes,no,unknown,14,may,187,10,-1,0,unknown,1
1,student,married,secondary,no,97,yes,no,unknown,12,may,134,1,-1,0,unknown,1
1,entrepreneur,single,tertiary,no,-283,yes,no,cellular,18,may,283,4,-1,0,unknown,1
1,services,married,tertiary,no,-16,no,no,cellular,26,may,281,1,-1,0,unknown,1
1,housemaid,single,secondary,no,53,no,yes,cellular,11,jan,158,4,-1,0,unknown,1
1,technician,divorced,secondary,no,2098,no,no,cellular,8,jul,186,1,-1,0,unknown,2
1,housemaid,married,secondary,no,9133,no,yes,cellular,17,nov,178,1,-1,0,unknown,1
1,services,married,secondary,no,458,no,yes,telephone,5,feb,252,4,-1,0,unknown,1
1,services,single,tertiary,no,360,yes,no,cellular,17,may,437,2,-1,0,unknown,1
1,unknown,married,secondary,no,3939,no,no,cellular,7,jul,68,3,-1,0,unknown,1
1,management,married,tertiary,no,1259,no,no,telephone,7,mar,97,1,183,3,success,1
1,housemaid,single,unknown,no,-534,yes,no,cellular,11,may,295,2,354,1,failure,1
1,housemaid,single,tertiary,no,-126,yes,no,cellular,12,aug,303,3,-1,0,unknown,1
0,retired,married,secondary,no,262,yes,yes,cellular,17,may,232,2,367,2,success,1
1,management,married,secondary,no,-313,yes,no,cellular,5,may,157,1,278,2,failure,1
1,services,married,secondary,no,2847,no,no,cellular,18,mar,1613,2,237,0,success,2
1,admin.,divorced,secondary,no,2134,yes,no,unknown,28,may,268,7,-1,0,unknown,1
1,self-employed,married,secondary,no,1214,yes,no,cellular,16,nov,896,2,-1,0,unknown,2
1,self-employed,married,tertiary,no,4628,yes,no,cellular,6,mar,24,2,285,3,failure,1
1,blue-collar,married,primary,no,257,yes,no,cellular,8,feb,212,3,-1,0,unknown,2
1,housemaid,married,primary,no,3421,yes,no,unknown,2,jul,1390,1,-1,0,unknown,2
1,technician,single,secondary,no,2313,yes,no,cellular,3,aug,47,3,-1,0,unknown,1
1,services,divorced,secondary,no,843,no,no,cellular,20,aug,407,4,-1,0,unknown,1
