age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,admin.,married,primary,no,2453,yes,no,cellular,14,may,635,1,197,2,success,2
1,entrepreneur,married,secondary,no,115,no,yes,cellular,8,may,174,5,181,4,failure,1
1,technician,married,secondary,no,718,yes,yes,cellular,17,nov,584,1,152,3,other,1
1,services,married,secondary,no,212,yes,no,cellular,8,may,99,2,344,0,unknown,1
1,blue-collar,married,primary,no,3984,yes,no,cellular,12,may,531,1,297,3,failure,1
1,management,married,tertiary,no,755,yes,no,cellular,4,nov,1481,3,325,1,other,2
0,services,married,secondary,no,2308,yes,no,cellular,12,may,765,1,351,2,failure,2
1,technician,divorced,secondary,no,-21,yes,no,cellular,3,feb,371,5,259,3,failure,1
0,management,divorced,secondary,no,1195,no,no,cellular,27,oct,297,1,175,1,success,2
0,retired,divorced,tertiary,no,816,yes,no,cellular,18,may,248,1,173,1,failure,1
1,technician,single,secondary,no,1711,yes,no,cellular,14,jul,265,7,-1,0,unknown,2
1,technician,married,secondary,no,-381,yes,yes,cellular,5,may,222,2,278,8,failure,1
1,technician,single,secondary,no,866,yes,no,cellular,17,nov,161,2,344,2,failure,1
1,admin.,married,secondary,no,-77,yes,no,cellular,13,may,136,2,367,1,failure,1
1,services,married,secondary,no,810,no,no,cellular,28,jan,253,3,21,5,other,1
1,technician,married,secondary,no,393,yes,no,cellular,27,sep,610,1,513,1,success,2
1,management,divorced,secondary,no,92,no,no,cellular,11,aug,333,2,-1,0,unknown,2
1,management,married,tertiary,no,897,yes,yes,cellular,20,apr,149,3,90,1,failure,1
1,technician,married,unknown,no,1374,no,no,cellular,29,jul,1264,1,-1,0,unknown,1
1,blue-collar,married,secondary,no,380,yes,no,cellular,13,may,360,2,375,7,success,2
1,retired,married,secondary,no,158,no,yes,cellular,13,may,298,2,-1,0,unknown,2
1,admin.,married,secondary,no,341,yes,no,cellular,2,feb,729,2,291,6,other,2
1,technician,single,secondary,no,246,yes,no,cellular,14,may,203,2,367,1,failure,1
1,blue-collar,married,secondary,no,76,yes,no,cellular,6,jun,2225,1,95,1,failure,2
1,technician,married,secondary,no,1328,yes,yes,cellular,13,may,248,1,345,1,failure,1
1,admin.,married,secondary,no,4800,yes,no,cellular,13,may,373,1,107,1,failure,1
1,blue-collar,married,secondary,no,5298,yes,no,cellular,17,apr,362,3,305,5,failure,1
1,student,single,secondary,no,120,yes,no,cellular,7,jun,676,2,79,5,success,2
1,technician,divorced,tertiary,no,1038,yes,no,telephone,7,may,534,1,358,0,failure,1
1,student,single,secondary,no,71,yes,no,cellular,14,may,109,7,-1,0,unknown,1
0,entrepreneur,single,primary,no,301,no,no,cellular,28,jan,273,1,159,2,failure,1
1,technician,married,tertiary,no,1114,no,no,cellular,12,may,191,2,100,4,failure,2
1,technician,single,secondary,no,1484,no,no,cellular,3,sep,466,2,97,5,success,2
1,management,married,tertiary,no,1313,no,no,cellular,9,jun,174,2,112,2,success,1
1,technician,married,tertiary,no,128,no,no,cellular,30,dec,381,3,-1,0,unknown,2
1,blue-collar,married,primary,no,101,yes,no,cellular,7,may,110,1,344,2,other,1
1,blue-collar,married,primary,no,271,yes,yes,cellular,7,may,208,2,359,2,failure,1
1,retired,married,secondary,no,6375,yes,no,cellular,18,may,88,5,296,7,failure,1
1,technician,married,secondary,no,309,no,no,cellular,6,may,106,1,274,5,failure,1
0,retired,single,primary,no,-46,no,yes,cellular,29,jan,208,4,93,1,success,1
1,admin.,single,secondary,no,248,no,no,cellular,8,apr,470,3,180,9,failure,2
1,admin.,divorced,secondary,no,-83,yes,yes,cellular,10,feb,415,2,228,3,other,1
1,management,married,tertiary,no,14258,no,no,cellular,16,aug,906,5,-1,0,unknown,2
1,management,divorced,tertiary,no,54,yes,yes,cellular,16,jul,600,3,93,2,failure,2
1,self-employed,married,primary,no,2824,no,no,cellular,10,jul,162,1,-1,0,unknown,2
1,self-employed,married,secondary,no,936,yes,no,cellular,6,may,345,3,357,2,failure,1
1,student,single,tertiary,no,256,yes,no,cellular,20,apr,44,5,-1,1,other,1
1,management,single,tertiary,no,2361,yes,yes,cellular,18,may,184,3,345,2,other,1
1,entrepreneur,married,tertiary,no,922,yes,yes,telephone,19,nov,582,1,187,1,failure,2
1,management,single,tertiary,no,1441,yes,no,cellular,13,aug,190,7,98,2,other,1
1,technician,married,secondary,no,1828,yes,no,cellular,21,nov,50,1,179,1,failure,1
1,student,single,tertiary,no,213,yes,no,cellular,18,may,57,3,366,4,other,1
1,management,single,tertiary,no,1522,no,no,cellular,3,jul,661,2,14,7,success,2
1,management,married,tertiary,no,2767,yes,no,cellular,30,apr,307,2,-1,1,unknown,2
1,management,married,tertiary,no,2597,no,no,cellular,15,jun,340,1,77,8,success,2
