,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,1,housemaid,married,tertiary,yes,-35,no,no,telephone,3,dec,105,1,-1,0,unknown,1
1,1,housemaid,single,secondary,no,925,yes,no,cellular,20,apr,294,3,270,1,other,1
2,1,student,married,secondary,no,4963,no,no,cellular,21,may,163,4,192,1,other,1
3,1,blue-collar,single,primary,no,355,no,no,cellular,22,mar,244,3,-1,0,unknown,1
4,1,housemaid,single,tertiary,no,856,yes,no,unknown,11,mar,480,1,0,0,unknown,1
5,1,student,married,tertiary,no,1216,yes,no,cellular,28,may,271,5,-1,0,unknown,1
6,1,admin.,married,secondary,no,7062,yes,no,cellular,18,may,279,1,0,0,unknown,1
7,1,student,divorced,tertiary,no,28,no,no,cellular,25,apr,100,16,0,0,unknown,1
8,1,self-employed,married,secondary,no,-32,no,yes,unknown,2,jul,91,3,-1,0,unknown,1
9,1,admin.,married,secondary,no,513,yes,no,unknown,22,mar,46,5,-1,0,unknown,1
10,1,admin.,single,secondary,no,1224,no,no,cellular,9,jul,248,2,-1,0,unknown,1
11,1,technician,married,primary,no,1107,no,no,cellular,2,dec,488,1,0,0,unknown,2
12,1,management,divorced,tertiary,no,377,no,no,unknown,4,apr,121,2,0,0,unknown,1
13,1,admin.,married,secondary,no,255,yes,yes,unknown,6,may,149,1,0,0,unknown,1
14,1,student,divorced,secondary,no,1698,yes,yes,unknown,24,mar,415,1,0,0,unknown,1
15,1,student,single,tertiary,no,1263,yes,no,unknown,24,mar,266,5,-1,0,unknown,1
16,0,admin.,divorced,unknown,no,428,no,no,cellular,12,mar,270,1,187,1,other,1
17,1,entrepreneur,married,primary,no,12970,no,no,cellular,11,mar,362,1,341,4,failure,2
18,1,student,single,secondary,no,230,yes,no,cellular,12,aug,50,5,0,0,unknown,1
19,1,student,married,secondary,no,456,yes,yes,unknown,14,may,552,1,0,0,unknown,1
20,1,student,married,secondary,no,442,no,no,cellular,12,jan,200,2,0,0,unknown,1
21,1,management,married,secondary,no,4005,yes,no,cellular,19,oct,219,1,182,2,failure,2
22,1,housemaid,single,tertiary,no,2196,yes,no,unknown,5,mar,289,1,0,0,unknown,1
23,1,management,married,tertiary,no,57,no,no,unknown,28,jul,83,16,-1,0,unknown,1
24,1,services,married,primary,no,2501,no,yes,cellular,20,jul,43,2,-1,0,unknown,1
25,1,student,married,secondary,no,118,no,no,cellular,28,jan,270,24,-1,0,unknown,1
26,1,housemaid,married,tertiary,no,25,yes,no,unknown,29,mar,112,1,0,0,unknown,1
27,1,services,married,secondary,no,1546,yes,no,unknown,30,may,132,8,0,0,unknown,1
28,1,housemaid,married,tertiary,no,482,yes,no,cellular,6,dec,181,1,247,3,failure,1
29,1,entrepreneur,married,primary,no,2999,no,no,cellular,17,jan,112,1,-1,0,unknown,1
30,1,housemaid,married,tertiary,no,311,no,no,unknown,20,jul,169,4,-1,0,unknown,1
31,1,student,married,secondary,no,5810,no,no,cellular,14,may,116,1,0,0,unknown,2
32,1,management,married,primary,no,7286,no,no,cellular,28,feb,89,1,134,0,unknown,1
33,1,retired,married,primary,no,2251,no,no,cellular,19,apr,142,1,0,0,unknown,1
34,1,housemaid,married,primary,no,1884,no,no,telephone,11,apr,115,15,0,0,unknown,1
35,1,housemaid,single,tertiary,no,2507,yes,no,unknown,12,mar,398,2,-1,0,unknown,1
36,1,student,married,secondary,no,-671,yes,yes,telephone,9,jan,51,1,-1,0,unknown,1
37,1,self-employed,divorced,unknown,no,-31,no,no,cellular,3,jul,502,3,0,0,unknown,2
38,0,management,married,unknown,no,1778,no,no,telephone,17,apr,87,1,145,1,unknown,1
39,1,management,single,tertiary,no,980,yes,no,unknown,3,may,53,1,-1,0,unknown,1
40,1,admin.,married,secondary,no,3888,yes,no,cellular,9,mar,240,2,-1,0,unknown,1
41,1,admin.,married,primary,no,1110,yes,no,unknown,6,mar,1005,1,-1,0,unknown,2
42,0,services,single,secondary,no,1789,no,no,cellular,12,nov,400,1,97,5,success,2
43,1,blue-collar,married,secondary,no,83,yes,no,telephone,15,may,157,3,0,0,unknown,1
44,1,self-employed,divorced,secondary,no,-60,no,no,unknown,11,jul,227,2,-1,0,unknown,1
45,1,student,married,tertiary,no,-20,no,no,cellular,18,apr,57,2,0,0,unknown,1
46,1,admin.,divorced,primary,no,-120,no,no,cellular,12,jan,573,1,435,0,failure,2
47,1,retired,single,secondary,no,1766,yes,no,unknown,20,jul,371,4,-1,0,unknown,1
48,1,housemaid,single,tertiary,no,137,no,no,cellular,7,jan,287,1,272,1,failure,1
49,1,housemaid,divorced,tertiary,no,27,yes,no,unknown,3,jul,210,1,-1,0,unknown,2
50,1,housemaid,married,unknown,no,5388,no,no,unknown,5,jul,103,1,0,0,unknown,1
51,1,housemaid,single,secondary,no,0,no,no,cellular,7,nov,120,1,0,2,other,2
52,1,housemaid,single,tertiary,yes,4256,yes,no,cellular,18,nov,673,2,194,1,failure,1
53,1,housemaid,married,secondary,no,29,no,no,telephone,29,jan,96,5,0,0,unknown,1
54,1,self-employed,married,secondary,no,1301,yes,no,cellular,12,apr,202,1,0,0,unknown,1
55,1,admin.,single,secondary,no,31,no,yes,cellular,16,apr,186,1,27,0,unknown,2
56,1,blue-collar,married,secondary,no,-851,yes,no,telephone,21,may,165,2,360,1,other,1
57,1,housemaid,married,tertiary,no,-13,yes,no,unknown,10,mar,1132,1,0,0,unknown,1
58,0,retired,married,tertiary,no,1994,no,no,telephone,7,oct,275,3,99,10,success,2
59,1,management,divorced,tertiary,no,1217,no,no,cellular,12,apr,84,2,195,3,success,1
60,1,admin.,married,primary,no,8,yes,no,unknown,20,apr,463,1,-1,0,unknown,1
61,1,technician,single,tertiary,no,490,no,no,cellular,8,aug,107,6,0,0,unknown,1
