age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,admin.,married,secondary,no,76,yes,no,unknown,22,may,104,1,-1,0,unknown,1
1,management,single,tertiary,no,588,yes,no,unknown,8,may,67,1,0,0,unknown,1
1,technician,divorced,secondary,no,23,yes,no,unknown,6,mar,184,1,0,0,unknown,1
1,admin.,single,secondary,no,2240,no,yes,cellular,28,jan,208,1,-1,0,unknown,2
1,blue-collar,married,secondary,no,5,no,no,unknown,3,jun,148,1,0,0,unknown,1
1,housemaid,married,secondary,no,2621,no,no,unknown,15,jun,296,4,0,0,unknown,1
1,student,married,secondary,no,45,yes,no,unknown,28,mar,801,3,0,0,unknown,1
1,blue-collar,married,tertiary,no,1649,yes,no,cellular,7,apr,691,1,0,0,unknown,1
1,blue-collar,single,secondary,no,2373,yes,no,cellular,13,may,79,2,-1,0,unknown,1
1,unemployed,single,secondary,no,689,no,no,cellular,14,aug,269,2,-1,0,unknown,1
1,technician,single,tertiary,no,159,no,no,telephone,3,dec,71,1,95,1,success,2
1,management,single,tertiary,no,1276,yes,no,unknown,18,may,279,2,0,0,unknown,1
1,admin.,married,primary,no,345,yes,no,unknown,22,mar,65,1,0,0,unknown,1
1,blue-collar,married,primary,no,478,yes,yes,cellular,1,dec,195,1,186,0,other,1
1,technician,single,secondary,no,5722,yes,no,cellular,10,jun,14,3,0,0,unknown,1
1,housemaid,married,tertiary,no,-75,yes,no,unknown,19,mar,167,3,-1,0,unknown,1
1,admin.,married,secondary,no,962,yes,no,unknown,23,may,320,1,-1,0,unknown,1
1,self-employed,single,secondary,no,504,yes,no,cellular,5,feb,21,1,-1,0,unknown,1
1,blue-collar,divorced,primary,no,1382,yes,no,unknown,15,may,398,3,0,0,unknown,1
1,admin.,single,secondary,no,230,yes,yes,cellular,27,jul,765,1,0,0,unknown,2
1,student,single,secondary,no,578,yes,no,cellular,29,feb,316,7,190,0,other,1
1,self-employed,married,secondary,no,77,yes,no,unknown,29,may,83,7,-1,0,unknown,1
1,student,single,secondary,no,2687,no,no,cellular,12,apr,63,2,-1,0,unknown,1
1,blue-collar,married,tertiary,no,442,yes,no,cellular,20,may,348,3,-1,0,unknown,1
1,retired,divorced,secondary,no,4950,no,no,cellular,17,nov,679,2,-1,0,unknown,2
1,admin.,married,secondary,no,3815,yes,no,cellular,17,may,833,2,-1,0,unknown,2
1,technician,single,tertiary,no,108,yes,yes,cellular,26,may,223,1,353,2,failure,1
1,technician,single,tertiary,no,862,yes,no,cellular,26,jul,274,1,-1,0,unknown,1
1,blue-collar,divorced,tertiary,no,-4,yes,no,cellular,1,feb,133,1,-1,0,unknown,1
1,blue-collar,married,secondary,no,930,yes,no,unknown,27,may,293,1,0,0,unknown,1
1,blue-collar,married,primary,no,940,yes,no,cellular,20,mar,286,1,-1,0,unknown,1
1,retired,married,secondary,no,1826,no,yes,telephone,29,jan,81,3,-1,0,unknown,1
1,entrepreneur,married,tertiary,no,68,no,no,cellular,31,jan,453,1,-1,0,unknown,1
1,blue-collar,married,secondary,no,144,yes,no,cellular,26,apr,388,5,-1,0,unknown,1
1,services,single,secondary,no,2659,yes,no,cellular,13,mar,173,2,359,4,failure,1
1,admin.,married,secondary,no,5125,yes,no,unknown,13,mar,116,1,0,0,unknown,1
1,student,married,tertiary,no,422,yes,no,cellular,15,nov,643,1,90,1,other,2
1,blue-collar,divorced,secondary,no,155,yes,no,cellular,13,may,367,2,0,0,unknown,1
0,self-employed,married,secondary,no,1207,yes,no,unknown,15,may,19,7,0,0,unknown,1
1,housemaid,married,tertiary,no,468,no,no,cellular,13,aug,62,3,-1,0,unknown,1
0,management,married,secondary,no,134,no,no,telephone,26,oct,37,1,-1,0,unknown,1
1,management,married,tertiary,no,20,no,no,unknown,23,aug,564,7,0,0,unknown,1
0,student,married,unknown,no,5379,no,no,cellular,22,apr,55,2,0,0,unknown,1
0,student,married,secondary,yes,200,no,no,cellular,26,aug,570,4,0,0,unknown,1
1,management,married,secondary,no,-25,yes,no,unknown,27,may,27,1,0,0,unknown,1
1,blue-collar,married,secondary,yes,269,yes,yes,cellular,3,jul,166,3,0,0,unknown,1
1,blue-collar,married,secondary,no,4459,yes,no,unknown,6,may,330,3,0,0,unknown,1
1,blue-collar,married,secondary,no,1247,no,no,unknown,22,may,278,7,-1,0,unknown,1
1,admin.,divorced,secondary,no,2764,yes,yes,cellular,11,may,62,2,358,3,failure,1
1,student,single,secondary,no,1061,no,no,cellular,15,apr,36,1,-1,0,unknown,1
1,student,married,secondary,no,181,no,no,cellular,28,aug,82,5,0,0,unknown,1
0,management,married,secondary,no,1001,no,yes,cellular,19,aug,334,4,0,0,unknown,1
1,housemaid,married,tertiary,no,-17,yes,no,cellular,13,aug,571,4,0,0,unknown,1
1,student,married,secondary,no,564,no,no,cellular,13,feb,174,1,94,2,success,2
1,admin.,married,primary,no,59,no,no,telephone,26,dec,260,1,0,0,unknown,2
1,admin.,married,unknown,no,4020,no,no,cellular,21,feb,202,21,-1,0,unknown,1
1,housemaid,divorced,tertiary,no,-2,yes,yes,telephone,20,nov,63,4,-1,0,unknown,1
1,admin.,married,secondary,no,1027,yes,no,unknown,16,may,105,3,-1,0,unknown,1
1,student,single,secondary,no,5323,no,no,cellular,16,nov,138,2,70,4,failure,1
1,student,single,secondary,no,2589,no,no,cellular,10,apr,136,1,-1,0,unknown,2
1,student,married,secondary,no,5812,yes,no,unknown,11,may,489,1,0,0,unknown,1
0,admin.,married,secondary,no,482,no,no,cellular,4,jan,586,1,0,0,unknown,1
1,blue-collar,married,secondary,no,813,yes,yes,cellular,7,may,382,1,-1,0,unknown,1
1,admin.,married,secondary,no,841,yes,no,unknown,25,may,51,22,349,0,failure,1
1,admin.,divorced,primary,no,8314,no,no,cellular,29,feb,619,5,-1,0,unknown,2
1,technician,married,tertiary,no,5410,yes,no,unknown,17,may,771,2,-1,0,unknown,2
1,housemaid,married,secondary,no,3545,no,yes,cellular,8,apr,332,1,339,1,failure,2
1,technician,single,secondary,no,240,no,no,cellular,1,feb,197,2,0,0,unknown,1
1,management,single,tertiary,no,1643,yes,no,cellular,1,dec,66,2,244,1,failure,1
0,management,married,primary,no,601,no,yes,cellular,26,jul,77,4,-1,0,unknown,1
1,admin.,single,primary,no,153,yes,no,cellular,18,jul,776,2,-1,0,unknown,1
1,housemaid,single,tertiary,no,17,no,yes,cellular,9,jan,151,1,-1,0,unknown,1
0,admin.,married,secondary,no,702,no,no,telephone,3,feb,109,1,-1,0,unknown,2
0,admin.,divorced,primary,no,937,yes,no,cellular,16,mar,304,1,337,0,failure,1
1,management,single,secondary,no,2496,no,no,telephone,20,aug,125,5,97,2,success,2
1,housemaid,married,tertiary,no,-24,no,no,cellular,14,jul,0,1,-1,0,unknown,1
1,admin.,married,secondary,no,136,no,no,cellular,12,aug,39,1,0,0,unknown,1
1,admin.,married,secondary,no,5946,no,no,cellular,20,may,399,1,0,0,unknown,2
1,admin.,married,secondary,no,233,yes,no,cellular,31,jan,879,2,-1,0,unknown,1
0,management,married,secondary,no,823,no,no,cellular,15,apr,138,5,-1,0,unknown,1
0,student,single,secondary,no,636,no,no,telephone,3,dec,60,2,0,0,unknown,1
1,management,married,secondary,no,758,no,no,unknown,18,jun,181,2,0,0,unknown,1
1,self-employed,divorced,secondary,no,217,no,yes,cellular,19,nov,79,2,-1,0,unknown,1
1,blue-collar,married,secondary,no,658,yes,no,unknown,14,may,364,2,-1,0,unknown,1
1,management,divorced,secondary,no,30,yes,yes,cellular,27,jul,115,1,347,1,failure,1
1,admin.,married,primary,no,6241,yes,no,cellular,19,nov,76,1,-1,0,unknown,1
0,student,single,unknown,no,2869,no,no,cellular,26,jul,295,1,93,0,unknown,2
1,student,divorced,secondary,no,29,yes,yes,cellular,12,may,139,2,-1,0,unknown,1
1,retired,married,primary,no,352,no,no,cellular,3,jul,182,3,-1,0,success,2
1,self-employed,married,secondary,no,7781,yes,no,unknown,14,jun,170,1,0,0,unknown,1
1,housemaid,married,primary,no,4792,no,no,telephone,18,jul,317,3,-1,0,unknown,1
1,management,married,tertiary,no,156,no,no,cellular,2,jun,73,2,171,1,failure,1
1,student,married,secondary,no,2066,yes,no,unknown,5,may,89,2,-1,0,unknown,1
1,blue-collar,married,primary,no,505,yes,no,cellular,9,may,96,1,0,0,unknown,1
1,housemaid,married,primary,no,650,no,no,cellular,12,jan,341,1,-1,0,unknown,1
1,blue-collar,married,tertiary,no,-32,yes,no,cellular,6,feb,160,1,330,1,failure,1
1,management,single,tertiary,no,769,no,no,cellular,4,feb,71,1,179,1,success,2
0,self-employed,divorced,primary,no,152,yes,no,unknown,8,may,104,1,-1,0,unknown,1
1,management,married,tertiary,no,2575,no,no,unknown,28,jan,322,11,-1,0,unknown,1
1,management,married,secondary,no,274,yes,no,unknown,26,mar,129,1,-1,0,unknown,1
1,admin.,divorced,primary,no,61,yes,no,cellular,9,nov,44,1,-1,0,unknown,1
0,student,single,secondary,no,180,no,yes,telephone,10,feb,257,2,-1,0,unknown,2
1,housemaid,married,tertiary,no,215,no,no,cellular,27,jan,159,1,0,0,unknown,1
1,student,married,secondary,no,149,no,no,cellular,27,aug,7,3,0,0,unknown,1
0,management,married,secondary,no,2594,no,no,cellular,13,aug,30,2,0,0,unknown,1
1,housemaid,single,secondary,no,1025,yes,no,unknown,21,may,159,1,0,0,unknown,1
1,management,married,secondary,no,638,no,no,cellular,14,jan,328,22,-1,0,unknown,1
1,technician,single,secondary,no,2443,yes,no,unknown,7,may,81,2,0,0,unknown,1
1,self-employed,married,secondary,no,5729,no,no,cellular,20,nov,144,2,-1,0,unknown,1
1,admin.,married,primary,no,808,yes,no,cellular,22,apr,262,1,-1,0,unknown,1
1,unemployed,single,secondary,no,110,no,yes,cellular,22,jul,113,3,0,0,unknown,1
1,student,divorced,secondary,no,113,no,no,cellular,21,may,34,1,-1,0,unknown,1
1,housemaid,married,tertiary,no,276,no,no,cellular,1,nov,292,1,96,1,failure,1
1,student,married,tertiary,no,54,no,no,cellular,7,apr,225,1,0,1,unknown,2
1,entrepreneur,divorced,tertiary,no,-3,yes,no,cellular,5,jul,107,2,-1,0,unknown,1
1,admin.,single,primary,no,539,yes,no,cellular,7,mar,83,1,-1,0,unknown,1
1,admin.,single,secondary,no,225,yes,no,cellular,11,apr,43,1,-1,0,unknown,2
0,self-employed,divorced,unknown,no,1566,no,no,cellular,28,oct,55,2,98,1,failure,1
1,admin.,single,tertiary,no,142,no,yes,cellular,13,jul,140,2,-1,0,unknown,1
1,technician,single,secondary,no,49,yes,no,unknown,6,mar,386,1,-1,0,unknown,1
0,management,married,secondary,no,50,no,yes,cellular,1,feb,1047,1,248,1,success,1
1,housemaid,married,secondary,no,1007,no,no,cellular,20,nov,136,1,-1,0,unknown,1
1,housemaid,single,tertiary,no,-6,yes,no,cellular,27,jan,57,1,-1,0,unknown,1
1,technician,single,secondary,no,43,yes,no,unknown,27,may,81,5,0,0,unknown,1
1,admin.,single,secondary,no,795,no,no,cellular,11,jul,312,4,-1,0,unknown,1
1,entrepreneur,married,primary,no,2829,no,no,cellular,13,aug,81,3,-1,0,unknown,1
1,services,married,secondary,no,2532,yes,no,cellular,20,may,185,1,337,6,failure,1
1,housemaid,married,tertiary,no,57,yes,no,unknown,3,jan,108,2,-1,0,unknown,1
1,admin.,married,secondary,no,11105,yes,no,telephone,18,apr,138,2,184,0,failure,1
1,admin.,married,primary,no,109,yes,no,unknown,13,may,518,1,0,0,unknown,1
1,management,single,secondary,no,49,yes,no,unknown,8,mar,62,3,0,0,unknown,1
1,blue-collar,married,secondary,no,463,yes,no,cellular,21,may,324,1,-1,0,unknown,1
1,blue-collar,single,secondary,no,790,yes,no,cellular,11,aug,229,1,96,1,failure,2
1,student,divorced,secondary,no,4898,yes,no,cellular,30,jan,414,7,-1,0,unknown,1
1,admin.,married,primary,no,475,yes,no,cellular,2,feb,206,1,-1,0,unknown,1
1,management,divorced,tertiary,no,-152,yes,no,cellular,2,dec,214,2,0,0,success,1
1,blue-collar,divorced,secondary,no,1812,yes,yes,cellular,18,nov,124,1,-1,0,unknown,1
1,housemaid,single,tertiary,no,397,yes,no,cellular,22,jul,308,1,-1,0,unknown,1
1,self-employed,married,secondary,no,1548,yes,no,cellular,21,may,371,5,333,1,failure,1
1,technician,married,secondary,no,572,yes,no,unknown,13,may,42,1,-1,0,unknown,1
1,admin.,married,primary,no,765,no,yes,cellular,11,aug,392,1,0,0,unknown,1
1,admin.,married,primary,no,167,no,no,cellular,19,apr,316,11,-1,0,unknown,1
1,admin.,single,secondary,no,689,yes,no,unknown,5,mar,150,4,0,0,unknown,1
1,management,married,primary,no,635,yes,no,cellular,28,jan,72,3,-1,0,unknown,1
1,housemaid,married,tertiary,no,865,yes,no,cellular,14,jan,71,3,-1,0,unknown,1
1,housemaid,single,secondary,no,88,yes,no,unknown,25,may,333,2,359,9,failure,1
1,housemaid,divorced,tertiary,no,2,no,no,cellular,18,feb,63,1,119,3,failure,1
1,housemaid,single,tertiary,no,129,no,no,cellular,14,may,101,1,180,6,success,1
1,blue-collar,married,unknown,no,1108,yes,no,unknown,21,jun,323,1,0,0,unknown,1
1,admin.,married,secondary,no,1079,yes,no,cellular,21,aug,165,1,-1,0,unknown,1
1,student,single,secondary,no,700,yes,no,unknown,4,jun,205,3,0,0,unknown,1
1,admin.,married,primary,no,14,no,no,cellular,22,aug,324,5,0,0,unknown,1
1,admin.,divorced,secondary,no,4921,no,yes,cellular,7,jul,721,1,-1,0,unknown,2
1,housemaid,married,tertiary,no,7568,no,no,cellular,9,aug,46,7,183,2,success,1
1,student,married,tertiary,no,665,no,no,unknown,24,jun,0,1,0,0,unknown,1
1,housemaid,single,tertiary,no,1907,yes,yes,cellular,24,nov,45,11,-1,0,unknown,1
