,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,0,retired,married,secondary,no,3875,no,no,cellular,8,aug,126,1,-1,0,unknown,1
1,1,management,single,tertiary,no,105,yes,no,cellular,18,apr,345,2,120,2,failure,1
2,1,unemployed,married,secondary,no,1019,no,no,cellular,6,feb,199,7,-1,0,unknown,1
3,1,services,married,secondary,no,79,yes,yes,unknown,9,may,68,2,-1,0,unknown,1
4,1,blue-collar,married,unknown,no,-308,yes,no,unknown,30,may,87,2,-1,0,unknown,1
5,1,technician,divorced,secondary,no,4,no,no,cellular,28,aug,17,14,-1,0,unknown,1
6,1,blue-collar,married,primary,no,-473,yes,yes,unknown,9,may,244,1,-1,0,unknown,1
7,1,technician,single,secondary,no,513,no,yes,cellular,11,jul,78,1,-1,0,unknown,1
8,0,management,married,tertiary,no,8226,no,no,cellular,14,aug,327,5,171,5,success,1
9,1,management,married,tertiary,no,2307,yes,no,cellular,14,jul,168,1,-1,0,unknown,2
10,1,unemployed,single,primary,no,327,no,no,cellular,28,jul,262,4,-1,0,unknown,1
11,1,self-employed,married,tertiary,no,1477,no,no,unknown,8,may,510,2,-1,0,unknown,1
12,1,management,single,tertiary,no,1197,yes,no,cellular,18,apr,1179,2,-1,0,unknown,2
13,1,technician,single,tertiary,no,5444,no,no,unknown,22,may,149,1,-1,0,unknown,1
14,1,admin.,married,secondary,no,31,yes,no,unknown,27,may,150,1,-1,0,unknown,1
15,1,blue-collar,married,primary,no,49,yes,no,cellular,20,jul,46,23,-1,0,unknown,1
16,1,blue-collar,married,secondary,no,4,no,no,cellular,30,jul,64,2,-1,0,unknown,1
17,1,self-employed,married,primary,no,1866,no,no,cellular,2,sep,186,1,188,5,success,1
18,1,admin.,married,tertiary,no,1211,yes,no,unknown,16,may,227,5,-1,0,unknown,1
19,1,blue-collar,married,secondary,no,311,yes,no,unknown,15,may,105,5,-1,0,unknown,1
20,1,services,married,secondary,no,0,yes,no,cellular,26,jul,29,2,-1,0,unknown,1
21,1,blue-collar,married,secondary,no,630,yes,no,cellular,31,jul,29,9,-1,0,unknown,1
22,1,admin.,married,secondary,no,2396,yes,no,unknown,29,may,924,2,-1,0,unknown,2
23,1,management,married,primary,no,99,yes,no,cellular,8,may,157,2,-1,0,unknown,1
24,1,technician,married,secondary,no,661,yes,no,cellular,5,apr,491,2,258,2,failure,1
25,1,blue-collar,single,primary,no,1801,yes,no,cellular,8,may,895,1,-1,0,unknown,2
26,1,self-employed,married,tertiary,no,1817,no,no,cellular,30,apr,564,1,-1,0,unknown,2
27,1,management,single,tertiary,no,768,yes,no,cellular,2,nov,106,2,94,7,failure,1
28,1,management,married,tertiary,no,1045,yes,no,cellular,3,feb,154,1,-1,0,unknown,1
29,0,retired,divorced,primary,no,47,no,no,telephone,12,feb,285,1,-1,0,unknown,1
30,1,blue-collar,married,secondary,no,292,yes,yes,telephone,29,jul,264,2,-1,0,unknown,1
31,1,technician,single,tertiary,no,8959,no,no,cellular,21,nov,98,1,-1,0,unknown,1
32,1,technician,married,secondary,no,2116,yes,no,cellular,16,jul,709,1,-1,0,unknown,1
33,1,management,single,tertiary,no,-4,no,no,unknown,8,may,129,4,-1,0,unknown,1
34,1,technician,married,secondary,no,560,no,no,cellular,3,may,305,2,136,4,failure,2
35,1,blue-collar,married,secondary,no,609,yes,yes,cellular,5,may,233,1,337,2,failure,1
36,1,technician,married,secondary,no,0,yes,no,cellular,14,jul,183,2,-1,0,unknown,1
37,1,services,single,secondary,no,274,yes,no,cellular,6,may,201,1,-1,0,unknown,1
38,1,management,single,tertiary,no,215,yes,no,cellular,26,aug,245,2,-1,0,unknown,1
39,1,blue-collar,married,primary,no,1286,yes,no,telephone,19,apr,307,3,279,1,failure,1
40,1,retired,single,tertiary,no,201,no,no,cellular,24,jul,154,2,-1,0,unknown,1
41,1,technician,married,secondary,no,1550,yes,no,unknown,29,may,121,6,-1,0,unknown,1
42,1,services,married,secondary,no,308,yes,no,unknown,13,may,1437,6,-1,0,unknown,2
43,1,blue-collar,divorced,primary,no,2610,yes,no,cellular,21,nov,490,2,174,1,failure,1
44,1,admin.,single,secondary,no,707,no,yes,cellular,4,feb,208,1,-1,0,unknown,2
45,1,blue-collar,married,primary,no,850,yes,no,unknown,3,jun,92,1,-1,0,unknown,1
46,1,blue-collar,single,primary,no,0,yes,no,unknown,26,may,581,5,-1,0,unknown,1
47,1,technician,single,tertiary,no,-4,yes,no,cellular,5,may,117,2,-1,0,unknown,1
48,1,blue-collar,married,tertiary,no,1407,no,no,unknown,5,jun,7,1,-1,0,unknown,1
49,1,housemaid,married,primary,no,119,no,no,cellular,6,aug,276,4,-1,0,unknown,1
50,0,retired,married,secondary,no,2002,no,no,cellular,3,feb,391,2,-1,0,unknown,1
51,1,technician,married,secondary,no,0,yes,yes,cellular,21,sep,175,2,182,7,failure,2
52,1,technician,single,tertiary,no,701,no,no,unknown,19,jun,305,3,-1,0,unknown,1
53,1,self-employed,married,secondary,no,2025,no,yes,cellular,28,feb,275,1,182,5,failure,1
54,1,technician,married,secondary,no,12846,no,no,cellular,7,aug,718,2,-1,0,unknown,1
55,1,technician,divorced,secondary,no,3143,yes,no,cellular,25,jul,68,3,-1,0,unknown,1
56,1,blue-collar,married,secondary,no,9868,yes,no,unknown,9,may,108,1,-1,0,unknown,1
57,1,services,single,tertiary,no,133,no,no,cellular,12,aug,86,4,-1,0,unknown,1
58,1,housemaid,divorced,primary,no,411,no,no,cellular,28,jan,119,1,-1,0,unknown,1
59,1,blue-collar,married,primary,no,91,yes,no,unknown,2,jun,16,1,-1,0,unknown,1
60,1,management,single,tertiary,no,1357,no,no,cellular,8,aug,381,1,125,2,failure,2
61,1,retired,married,primary,no,291,yes,no,cellular,29,jan,51,1,-1,0,unknown,1
62,1,management,married,tertiary,no,11070,no,no,cellular,18,nov,174,2,-1,0,unknown,1
63,1,blue-collar,single,primary,no,-465,yes,no,unknown,27,may,169,1,-1,0,unknown,1
64,1,management,single,tertiary,no,2,no,no,cellular,19,nov,119,1,248,2,other,1
65,1,blue-collar,divorced,secondary,no,54,no,no,cellular,31,jul,211,1,-1,0,unknown,1
66,1,services,single,secondary,no,138,yes,no,cellular,8,may,202,1,-1,0,unknown,1
67,1,blue-collar,married,primary,no,253,yes,no,cellular,16,may,95,2,-1,0,unknown,1
68,1,technician,married,secondary,no,1027,yes,no,cellular,5,feb,315,2,-1,0,unknown,1
69,1,retired,married,tertiary,no,1006,no,no,cellular,16,nov,610,2,-1,0,unknown,1
70,1,management,married,primary,no,4300,yes,no,cellular,5,aug,243,2,-1,0,unknown,1
71,1,technician,married,secondary,no,576,no,no,cellular,2,aug,76,1,-1,0,unknown,1
72,1,blue-collar,single,secondary,no,-244,no,no,cellular,29,jul,383,2,-1,0,unknown,1
73,0,retired,single,tertiary,no,1730,no,no,telephone,1,jan,346,2,110,7,failure,1
74,1,admin.,divorced,secondary,no,28,yes,yes,unknown,28,may,208,3,-1,0,unknown,1
75,1,blue-collar,married,secondary,no,64,yes,no,cellular,19,apr,248,1,334,3,other,1
76,1,technician,divorced,secondary,no,0,no,no,unknown,20,jun,212,7,-1,0,unknown,1
77,1,technician,married,secondary,no,148,no,no,unknown,12,jun,22,1,-1,0,unknown,1
78,1,blue-collar,married,primary,no,4651,yes,no,cellular,20,apr,192,2,190,16,other,1
79,1,technician,single,tertiary,no,464,yes,no,cellular,13,may,460,3,174,10,success,2
80,1,management,married,secondary,no,2986,yes,no,cellular,9,apr,445,1,-1,0,unknown,1
81,1,blue-collar,single,secondary,no,-82,yes,no,cellular,6,may,218,1,-1,0,unknown,1
82,1,blue-collar,single,unknown,no,0,no,no,unknown,18,jun,49,10,-1,0,unknown,1
83,1,management,single,tertiary,no,1465,yes,no,cellular,21,nov,26,2,-1,0,unknown,1
84,1,blue-collar,married,secondary,no,89,yes,no,unknown,26,may,916,4,-1,0,unknown,1
85,1,admin.,married,secondary,no,739,yes,no,cellular,18,may,160,3,-1,0,unknown,1
86,1,management,divorced,secondary,no,916,no,no,cellular,28,jul,491,2,-1,0,unknown,1
87,1,management,married,primary,no,306,yes,no,unknown,20,may,13,1,-1,0,unknown,1
88,1,blue-collar,married,primary,no,0,no,no,cellular,4,aug,317,3,-1,0,unknown,1
89,1,services,married,secondary,no,691,yes,no,unknown,5,jun,183,2,-1,0,unknown,1
90,1,retired,single,secondary,no,0,yes,no,cellular,17,nov,73,1,-1,0,unknown,1
91,1,blue-collar,single,primary,yes,-442,yes,no,unknown,30,may,119,2,-1,0,unknown,1
92,1,admin.,single,secondary,no,648,yes,yes,cellular,30,jul,150,16,-1,0,unknown,1
93,1,blue-collar,married,secondary,no,0,yes,yes,cellular,10,may,769,4,263,2,failure,1
94,1,admin.,married,secondary,no,-308,yes,yes,unknown,22,may,404,4,-1,0,unknown,1
95,1,management,single,tertiary,no,996,no,no,cellular,2,feb,955,2,-1,0,unknown,1
96,1,technician,married,tertiary,no,1643,yes,no,cellular,17,nov,105,1,-1,0,unknown,1
97,1,unemployed,married,secondary,no,0,yes,no,cellular,31,jul,95,7,-1,0,unknown,1
98,1,technician,married,secondary,no,374,no,no,cellular,30,jul,254,1,-1,0,unknown,1
99,1,management,married,tertiary,no,772,no,no,cellular,13,may,152,1,-1,0,unknown,2
100,1,blue-collar,married,primary,no,747,no,no,unknown,18,jun,79,5,-1,0,unknown,1
101,1,technician,married,secondary,no,320,no,no,cellular,2,feb,363,2,200,1,failure,1
102,1,technician,single,secondary,no,1242,yes,no,unknown,27,may,279,2,-1,0,unknown,1
103,1,management,single,tertiary,no,-85,yes,yes,unknown,20,may,253,3,-1,0,unknown,1
104,1,management,married,tertiary,no,1836,yes,no,cellular,11,jul,571,1,-1,0,unknown,1
105,0,retired,married,secondary,no,678,no,no,cellular,10,aug,148,2,-1,0,unknown,1
106,1,management,married,tertiary,no,258,yes,no,cellular,20,nov,153,4,-1,0,unknown,1
107,1,blue-collar,single,secondary,no,3252,yes,yes,cellular,20,nov,410,1,-1,0,unknown,2
108,0,management,married,tertiary,no,6392,yes,no,cellular,17,may,642,2,-1,0,unknown,2
109,1,services,married,secondary,no,1249,yes,no,cellular,29,jul,326,1,-1,0,unknown,1
110,1,services,divorced,secondary,no,367,yes,no,cellular,13,may,406,2,-1,0,unknown,1
111,1,management,single,tertiary,no,1250,no,no,cellular,26,aug,62,2,-1,0,unknown,1
112,1,technician,married,tertiary,no,273,no,no,cellular,20,nov,693,2,-1,0,unknown,1
113,1,management,single,secondary,no,200,yes,no,cellular,18,nov,107,1,-1,0,unknown,1
114,1,management,married,secondary,no,398,no,no,cellular,21,aug,82,2,-1,0,unknown,1
115,1,services,married,secondary,no,1510,yes,no,cellular,20,apr,274,4,-1,0,unknown,1
116,1,admin.,married,secondary,no,0,no,no,cellular,18,nov,134,3,-1,0,unknown,1
117,1,services,married,secondary,no,16,yes,no,telephone,8,may,248,2,253,12,other,1
118,1,blue-collar,married,secondary,no,93,yes,yes,cellular,31,jul,8,19,-1,0,unknown,1
119,1,admin.,married,secondary,no,907,yes,yes,unknown,22,may,342,2,-1,0,unknown,1
120,1,retired,married,tertiary,no,884,no,no,cellular,20,nov,19,3,-1,0,unknown,1
121,1,admin.,married,secondary,no,2562,no,no,cellular,19,nov,501,1,-1,0,unknown,1
122,1,management,married,tertiary,no,471,yes,yes,cellular,19,nov,86,1,112,2,failure,1
123,1,technician,single,secondary,no,180,no,no,cellular,22,aug,525,4,-1,0,unknown,1
124,1,management,married,secondary,no,737,yes,no,cellular,8,aug,82,4,-1,0,unknown,1
125,1,management,divorced,tertiary,no,241,no,no,cellular,17,may,89,2,181,2,failure,1
126,1,blue-collar,married,primary,no,48,yes,no,unknown,25,may,122,6,-1,0,unknown,1
127,1,blue-collar,married,secondary,no,4197,yes,no,cellular,14,may,221,1,360,1,failure,1
128,1,management,married,tertiary,no,659,yes,no,cellular,30,jul,22,2,-1,0,unknown,1
129,1,management,married,secondary,no,457,no,no,unknown,10,jun,104,2,-1,0,unknown,1
130,1,management,single,tertiary,no,763,no,no,cellular,16,jun,239,1,-1,0,unknown,1
131,1,admin.,married,tertiary,no,331,yes,no,cellular,6,feb,345,1,-1,0,unknown,1
132,1,services,married,tertiary,no,258,no,no,unknown,6,may,143,1,-1,0,unknown,1
133,1,services,single,unknown,no,221,no,no,cellular,12,jul,203,1,181,1,success,2
134,1,entrepreneur,married,tertiary,no,2436,yes,no,cellular,4,apr,404,2,94,3,failure,1
135,1,admin.,married,secondary,no,132,no,no,cellular,30,apr,567,1,-1,0,unknown,2
136,1,blue-collar,married,primary,no,559,yes,no,unknown,27,may,563,6,-1,0,unknown,1
137,1,technician,single,tertiary,no,142,no,no,cellular,20,aug,299,4,-1,0,unknown,1
138,1,blue-collar,married,tertiary,no,1535,yes,no,cellular,12,may,25,1,-1,0,unknown,1
139,1,management,married,tertiary,no,332,yes,no,cellular,8,aug,167,4,-1,0,unknown,1
140,1,management,married,tertiary,no,569,no,no,cellular,12,nov,363,1,128,1,success,2
141,1,management,married,tertiary,no,9376,no,no,unknown,21,may,199,3,-1,0,unknown,1
142,1,admin.,married,secondary,no,260,no,no,cellular,11,apr,44,4,263,1,failure,1
143,1,technician,single,tertiary,no,102,no,no,cellular,22,aug,77,2,-1,0,unknown,1
144,1,services,divorced,secondary,no,547,yes,no,unknown,15,may,203,2,-1,0,unknown,1
145,1,blue-collar,married,unknown,no,300,yes,no,cellular,13,jul,319,1,-1,0,unknown,2
146,0,self-employed,married,primary,no,4391,no,no,cellular,26,apr,163,1,156,1,success,1
147,1,services,single,secondary,no,785,yes,yes,cellular,11,may,370,2,-1,0,unknown,1
148,1,management,divorced,secondary,no,923,yes,no,cellular,18,may,257,4,251,2,failure,1
149,1,technician,married,tertiary,no,366,no,no,cellular,20,jun,186,2,177,1,other,1
150,0,management,married,tertiary,no,349,yes,yes,cellular,1,jun,137,1,181,1,failure,1
151,1,blue-collar,married,tertiary,no,678,yes,no,cellular,18,nov,59,1,-1,0,unknown,1
152,1,blue-collar,married,secondary,no,1255,no,no,cellular,21,jul,164,9,-1,0,unknown,1
153,1,unemployed,married,tertiary,no,25,yes,no,unknown,14,may,83,4,-1,0,unknown,1
154,1,technician,single,secondary,no,120,no,no,cellular,13,aug,237,2,396,1,failure,1
155,1,admin.,married,secondary,no,2033,yes,no,unknown,8,may,275,2,-1,0,unknown,1
156,1,blue-collar,married,primary,no,540,yes,no,cellular,5,feb,259,1,-1,0,unknown,1
157,1,blue-collar,divorced,primary,no,647,yes,no,unknown,5,may,112,2,-1,0,unknown,1
158,1,unknown,married,secondary,no,3075,no,no,unknown,7,jun,53,6,-1,0,unknown,1
159,1,technician,married,secondary,no,210,no,no,cellular,28,aug,49,4,-1,0,unknown,1
160,1,blue-collar,married,secondary,no,216,yes,no,cellular,22,jul,699,2,-1,0,unknown,1
161,1,management,divorced,tertiary,no,-661,yes,yes,cellular,29,jan,94,2,184,1,failure,1
162,1,technician,married,secondary,no,370,yes,no,unknown,30,may,294,2,-1,0,unknown,1
163,1,management,married,tertiary,no,1769,no,no,cellular,18,aug,173,6,-1,0,unknown,2
164,1,technician,married,secondary,no,0,no,no,cellular,2,feb,157,2,237,5,failure,1
165,1,blue-collar,single,secondary,no,10858,no,no,cellular,9,aug,128,2,-1,0,unknown,1
166,1,technician,married,secondary,no,74,no,yes,cellular,15,aug,272,2,-1,0,unknown,1
167,1,technician,single,secondary,no,542,no,yes,cellular,29,jul,398,2,-1,0,unknown,1
168,1,technician,single,tertiary,no,-339,yes,no,cellular,14,may,332,3,349,3,failure,1
169,1,management,married,secondary,no,80,yes,no,unknown,21,may,311,2,-1,0,unknown,1
170,1,blue-collar,married,primary,no,-89,yes,no,cellular,30,jul,387,5,-1,0,unknown,1
171,1,blue-collar,single,secondary,no,99,no,no,cellular,30,apr,211,1,-1,0,unknown,2
172,1,management,single,tertiary,no,6529,no,no,cellular,21,nov,158,2,-1,0,unknown,1
173,1,entrepreneur,single,primary,no,1780,no,no,unknown,19,jun,378,1,-1,0,unknown,1
174,1,blue-collar,married,secondary,no,198,yes,no,unknown,19,jun,377,1,-1,0,unknown,1
