age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,technician,single,secondary,no,244,yes,no,cellular,14,aug,88,2,286,1,failure,1
0,services,single,primary,no,22,no,no,telephone,15,apr,716,1,-1,0,unknown,1
1,technician,married,secondary,no,522,yes,yes,cellular,21,nov,47,4,181,2,failure,1
1,unknown,single,secondary,no,434,no,no,cellular,3,jul,313,1,-1,0,unknown,1
1,blue-collar,married,unknown,no,105,no,no,unknown,6,may,609,2,-1,0,unknown,1
1,technician,married,secondary,no,0,no,no,cellular,22,aug,463,2,-1,0,unknown,2
1,self-employed,married,tertiary,no,0,no,no,unknown,9,may,133,1,-1,0,unknown,1
1,admin.,divorced,secondary,no,819,no,no,telephone,7,jul,101,1,-1,0,unknown,1
1,management,married,tertiary,no,112,no,no,cellular,16,aug,110,1,-1,0,unknown,1
1,blue-collar,married,secondary,no,265,no,no,cellular,7,jul,417,1,-1,0,unknown,1
1,management,single,tertiary,no,435,yes,no,cellular,5,may,172,1,-1,0,unknown,1
1,services,divorced,tertiary,no,9326,yes,no,cellular,16,apr,416,2,-1,0,unknown,1
1,admin.,married,secondary,no,379,yes,no,cellular,16,may,514,3,-1,0,unknown,2
1,management,married,tertiary,no,3023,yes,no,cellular,15,apr,92,2,-1,0,unknown,1
1,blue-collar,married,secondary,no,309,yes,yes,cellular,5,jul,89,2,199,1,failure,1
1,technician,married,tertiary,no,2185,yes,yes,cellular,21,dec,225,8,140,9,other,1
1,blue-collar,married,primary,no,1101,no,no,cellular,4,feb,71,7,181,6,success,1
1,services,single,secondary,no,5150,yes,no,unknown,26,may,34,1,-1,0,unknown,1
1,blue-collar,single,secondary,no,0,yes,no,unknown,18,jun,27,1,-1,0,unknown,1
1,technician,married,secondary,no,-181,no,no,cellular,20,nov,147,1,-1,0,unknown,1
1,blue-collar,married,primary,no,22,no,no,cellular,11,jul,879,2,-1,0,unknown,1
1,services,married,secondary,no,198,no,yes,cellular,4,feb,355,2,-1,0,unknown,2
1,blue-collar,married,tertiary,no,313,yes,yes,unknown,11,may,222,6,-1,0,unknown,1
1,technician,single,primary,no,315,no,no,cellular,2,feb,101,1,-1,0,unknown,1
1,technician,single,tertiary,no,128,no,no,cellular,22,jun,820,4,-1,0,unknown,2
1,blue-collar,married,secondary,no,0,yes,no,cellular,14,may,205,2,-1,0,unknown,1
1,technician,single,tertiary,no,678,yes,no,cellular,14,may,808,1,196,4,failure,1
1,management,divorced,secondary,no,453,no,no,telephone,27,jul,116,3,-1,0,unknown,1
1,management,married,tertiary,no,5409,yes,no,unknown,28,may,857,3,-1,0,unknown,1
1,technician,single,secondary,no,788,yes,no,unknown,9,may,209,11,-1,0,unknown,1
1,management,married,tertiary,no,0,yes,no,cellular,16,may,50,2,-1,0,unknown,1
1,management,married,tertiary,no,276,no,no,cellular,26,sep,690,1,-1,0,unknown,2
1,technician,divorced,secondary,no,215,yes,no,cellular,30,jul,180,3,-1,0,unknown,1
1,blue-collar,married,primary,no,2586,no,no,cellular,21,aug,31,13,-1,0,unknown,1
1,blue-collar,married,secondary,no,223,yes,no,cellular,20,jul,1188,1,-1,0,unknown,2
1,admin.,married,secondary,no,6034,yes,no,cellular,17,jul,139,1,-1,0,unknown,1
1,management,married,tertiary,no,4554,yes,no,unknown,17,may,234,2,-1,0,unknown,1
1,retired,single,tertiary,no,423,yes,yes,cellular,9,may,488,1,350,1,failure,1
1,blue-collar,divorced,primary,no,-15,yes,yes,cellular,12,aug,131,4,-1,0,unknown,1
1,services,single,secondary,no,0,yes,no,unknown,3,jun,701,3,-1,0,unknown,1
1,housemaid,single,tertiary,no,31,no,no,cellular,3,aug,340,1,-1,0,unknown,1
1,services,married,secondary,no,346,no,no,cellular,16,nov,862,1,-1,1,failure,2
1,blue-collar,married,tertiary,no,1,no,no,cellular,11,jul,256,1,-1,0,unknown,1
1,blue-collar,married,secondary,no,292,yes,no,unknown,5,may,160,1,-1,0,unknown,1
1,entrepreneur,married,secondary,no,492,no,no,cellular,18,feb,259,2,184,4,other,1
1,blue-collar,married,primary,no,725,yes,no,cellular,29,jul,141,3,-1,0,unknown,1
1,technician,married,secondary,no,109,yes,no,cellular,21,apr,127,4,260,2,failure,1
1,admin.,married,secondary,no,316,no,no,cellular,18,aug,67,1,-1,0,unknown,1
1,services,married,secondary,no,440,yes,no,telephone,19,apr,135,2,360,2,success,2
1,management,married,tertiary,no,0,no,no,cellular,27,aug,61,2,-1,0,unknown,1
1,blue-collar,married,primary,no,330,no,no,cellular,9,dec,88,7,-1,0,unknown,1
1,technician,single,secondary,no,-163,yes,no,cellular,18,may,176,1,-1,0,unknown,1
1,management,single,tertiary,no,567,yes,no,cellular,23,jul,241,1,-1,0,unknown,1
1,blue-collar,married,secondary,no,1421,no,yes,cellular,6,jul,140,4,-1,0,unknown,1
1,management,married,tertiary,no,1247,yes,no,cellular,6,may,280,3,-1,0,unknown,2
1,blue-collar,married,secondary,no,869,yes,no,cellular,21,apr,36,1,-1,0,unknown,1
1,blue-collar,married,primary,no,1217,yes,no,cellular,10,jul,54,1,-1,0,unknown,1
1,technician,married,tertiary,no,-353,yes,no,cellular,16,may,94,1,-1,0,unknown,1
1,management,married,primary,no,3688,no,no,cellular,5,aug,139,4,-1,0,unknown,1
1,technician,married,tertiary,no,6084,yes,no,cellular,21,nov,51,1,179,2,failure,1
1,technician,single,secondary,no,314,yes,no,cellular,13,may,199,1,-1,0,unknown,2
1,admin.,married,secondary,no,1129,yes,no,cellular,2,feb,209,3,181,4,failure,1
1,management,married,tertiary,no,6852,no,no,cellular,28,feb,179,3,171,8,success,2
1,admin.,single,secondary,no,6857,yes,no,cellular,15,may,323,2,-1,0,unknown,1
1,student,married,secondary,no,496,yes,no,cellular,4,jun,87,1,286,1,failure,1
1,blue-collar,divorced,secondary,no,6860,no,yes,unknown,19,jun,155,9,-1,0,unknown,1
1,retired,single,secondary,no,946,yes,no,telephone,8,may,455,4,323,3,success,1
1,technician,married,secondary,no,116,no,yes,telephone,6,jul,58,1,-1,0,unknown,1
1,technician,single,secondary,no,6592,no,no,cellular,18,nov,203,2,-1,0,unknown,1
1,unknown,married,secondary,yes,690,no,no,cellular,8,may,165,1,433,2,failure,2
1,services,married,secondary,no,1054,yes,no,cellular,5,may,198,1,-1,0,unknown,1
1,admin.,single,secondary,no,0,yes,yes,cellular,12,aug,229,1,-1,0,unknown,1
1,blue-collar,married,unknown,no,999,yes,no,cellular,20,apr,326,6,346,1,failure,1
1,management,married,secondary,no,2015,yes,no,unknown,20,may,224,5,-1,0,unknown,1
1,blue-collar,married,primary,no,7571,yes,no,unknown,14,may,134,1,-1,0,unknown,1
1,self-employed,married,secondary,no,22,yes,no,unknown,31,may,44,1,-1,0,unknown,1
1,technician,single,secondary,no,229,yes,no,cellular,20,nov,104,2,-1,0,unknown,1
1,technician,single,tertiary,no,198,no,yes,unknown,6,jun,202,1,-1,0,unknown,1
1,technician,married,tertiary,no,87,no,no,cellular,18,aug,276,12,-1,0,unknown,1
1,self-employed,divorced,secondary,no,270,yes,no,unknown,22,may,116,3,-1,0,unknown,1
1,management,married,secondary,no,499,no,no,cellular,18,nov,91,2,-1,0,unknown,1
1,admin.,single,secondary,no,1864,no,no,cellular,31,jul,197,1,-1,0,unknown,1
1,technician,single,secondary,no,3344,no,no,telephone,4,dec,176,5,-1,0,unknown,1
1,blue-collar,married,secondary,no,1155,no,no,unknown,20,jun,951,1,-1,0,unknown,2
1,blue-collar,married,secondary,no,-25,yes,no,cellular,21,jul,331,1,-1,0,unknown,1
1,blue-collar,married,secondary,no,-202,yes,yes,cellular,20,jul,523,1,-1,0,unknown,1
1,technician,married,secondary,no,212,yes,no,cellular,6,may,282,1,297,2,failure,1
1,services,married,tertiary,no,754,yes,no,cellular,20,nov,202,3,78,2,other,1
1,management,single,tertiary,no,525,no,no,cellular,30,apr,385,2,-1,0,unknown,2
1,blue-collar,single,secondary,no,2010,yes,no,cellular,20,may,211,1,371,2,success,1
1,management,single,tertiary,no,1803,no,no,cellular,5,aug,82,2,-1,0,unknown,1
1,admin.,single,secondary,no,538,yes,no,telephone,22,nov,103,4,-1,0,unknown,1
1,admin.,divorced,secondary,no,2459,no,no,cellular,11,aug,147,1,-1,0,unknown,2
1,blue-collar,divorced,primary,no,759,yes,no,cellular,6,aug,188,2,-1,0,unknown,1
1,blue-collar,married,secondary,no,434,no,no,cellular,12,oct,667,2,123,9,success,2
1,retired,married,tertiary,no,441,no,no,cellular,15,aug,204,3,-1,0,unknown,1
1,blue-collar,married,unknown,no,2428,yes,no,unknown,9,may,253,9,-1,0,unknown,1
1,management,married,tertiary,no,1016,yes,no,cellular,6,may,174,3,-1,0,unknown,1
1,blue-collar,single,tertiary,no,0,yes,no,unknown,4,jun,19,8,-1,0,unknown,1
1,entrepreneur,married,primary,no,1303,yes,no,unknown,9,may,156,2,-1,0,unknown,1
1,technician,divorced,secondary,no,0,no,yes,unknown,20,may,411,1,-1,0,unknown,1
1,admin.,single,secondary,no,225,no,no,unknown,25,jun,26,17,-1,0,unknown,1
1,housemaid,married,primary,no,1208,yes,no,unknown,7,may,86,1,-1,0,unknown,1
1,blue-collar,single,primary,no,0,yes,yes,cellular,8,may,113,1,357,1,failure,1
1,student,single,secondary,no,0,no,yes,cellular,25,aug,113,2,-1,0,unknown,1
1,admin.,married,secondary,no,4928,yes,no,cellular,13,sep,538,1,-1,0,unknown,2
1,management,single,tertiary,no,0,yes,no,unknown,28,may,1197,2,-1,0,unknown,2
1,management,married,primary,no,215,no,no,unknown,18,jun,22,7,-1,0,unknown,1
1,admin.,single,secondary,no,-263,no,no,unknown,8,jun,801,4,-1,0,unknown,1
1,management,married,tertiary,no,339,yes,no,unknown,8,may,201,1,-1,0,unknown,1
1,management,married,tertiary,no,109,no,no,cellular,26,aug,110,9,-1,0,unknown,1
1,technician,divorced,secondary,no,2949,no,no,cellular,2,aug,375,2,245,3,other,2
1,management,married,tertiary,no,1307,no,yes,cellular,30,jul,609,5,-1,0,unknown,1
1,retired,married,tertiary,no,3957,no,no,cellular,1,sep,134,6,838,2,other,1
1,management,married,unknown,no,16,no,no,cellular,8,jul,429,2,-1,0,unknown,1
1,management,single,tertiary,no,3057,no,no,cellular,4,aug,196,2,-1,0,unknown,1
1,blue-collar,single,secondary,no,81,yes,no,cellular,12,jul,121,2,-1,0,unknown,1
1,management,married,unknown,no,658,yes,no,unknown,6,may,279,3,-1,0,unknown,1
1,admin.,married,secondary,no,-26,yes,yes,unknown,27,may,202,2,-1,0,unknown,1
1,unemployed,married,primary,yes,0,yes,no,cellular,5,dec,45,2,-1,0,unknown,1
1,blue-collar,married,secondary,no,-785,yes,no,cellular,18,nov,326,2,-1,0,unknown,1
1,management,single,tertiary,no,555,yes,no,cellular,3,feb,116,5,175,4,other,2
1,technician,married,secondary,no,550,no,no,cellular,2,aug,262,1,-1,0,unknown,1
1,management,married,tertiary,no,8,no,no,cellular,14,aug,183,2,-1,0,unknown,1
1,blue-collar,married,secondary,no,0,yes,no,unknown,23,may,125,1,-1,0,unknown,1
1,admin.,married,secondary,no,697,yes,no,cellular,1,apr,179,2,256,2,failure,1
1,management,single,tertiary,no,100,yes,no,unknown,4,may,282,1,-1,0,unknown,1
1,technician,married,secondary,no,80,yes,no,cellular,20,apr,124,2,-1,0,unknown,1
1,technician,single,tertiary,no,654,yes,no,unknown,23,may,197,1,-1,0,unknown,1
1,management,married,tertiary,no,384,yes,no,cellular,29,jan,164,1,247,2,failure,1
1,services,married,secondary,no,109,no,no,cellular,17,aug,97,2,-1,0,unknown,1
0,self-employed,married,secondary,no,415,no,no,cellular,20,apr,425,1,-1,0,unknown,1
1,entrepreneur,married,tertiary,no,10456,yes,no,cellular,4,aug,203,1,-1,0,unknown,1
1,technician,divorced,secondary,no,66,no,no,cellular,4,jul,661,3,-1,0,unknown,1
1,technician,married,secondary,no,40,yes,no,unknown,30,may,281,2,-1,0,unknown,1
1,admin.,married,secondary,no,1440,yes,no,cellular,8,aug,183,1,258,2,failure,1
1,services,married,secondary,no,970,yes,no,unknown,30,may,96,1,-1,0,unknown,1
1,blue-collar,single,secondary,no,171,yes,no,cellular,14,may,189,1,-1,0,unknown,1
1,technician,single,tertiary,no,1581,yes,yes,cellular,6,jul,108,2,-1,0,unknown,1
