,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,1,self-employed,married,tertiary,no,15862,yes,no,cellular,5,may,61,3,-1,0,unknown,1
1,1,admin.,single,secondary,no,20,no,no,cellular,20,nov,44,1,-1,0,unknown,1
2,1,services,divorced,secondary,no,27,yes,no,cellular,28,jul,87,5,-1,0,unknown,1
3,0,services,single,tertiary,no,388,yes,no,cellular,18,may,149,3,-1,0,unknown,1
4,1,retired,married,secondary,no,3056,no,no,cellular,5,aug,643,3,-1,0,unknown,1
5,1,admin.,married,secondary,no,572,yes,no,unknown,16,may,293,1,-1,0,unknown,1
6,1,management,single,tertiary,no,0,yes,no,unknown,5,jun,105,1,-1,0,unknown,1
7,1,management,single,tertiary,no,469,yes,no,cellular,26,may,305,1,-1,0,unknown,1
8,1,blue-collar,married,primary,no,-405,yes,no,unknown,3,jun,62,4,-1,0,unknown,1
9,1,admin.,married,tertiary,no,3039,yes,yes,cellular,20,nov,53,1,-1,0,unknown,1
10,1,services,married,secondary,no,1397,yes,yes,unknown,5,may,359,2,-1,0,unknown,1
11,1,blue-collar,married,primary,no,117,yes,no,cellular,18,may,114,4,-1,0,unknown,1
12,1,services,married,secondary,no,93,yes,no,cellular,17,jul,72,1,-1,0,unknown,1
13,1,services,single,secondary,no,271,no,no,cellular,25,jul,135,3,-1,0,unknown,1
14,1,self-employed,married,secondary,no,1139,yes,no,cellular,8,may,69,1,-1,0,unknown,1
15,1,self-employed,married,tertiary,no,72,yes,yes,cellular,28,jul,104,4,-1,0,unknown,1
16,1,management,single,tertiary,no,436,yes,no,cellular,15,may,679,1,-1,0,unknown,2
17,1,unknown,married,unknown,no,5,no,no,unknown,20,jun,260,7,-1,0,unknown,1
18,1,self-employed,divorced,secondary,no,2142,yes,no,cellular,14,aug,299,1,-1,0,unknown,1
19,1,unemployed,married,tertiary,no,80,no,no,cellular,5,feb,6,7,-1,0,unknown,1
20,1,blue-collar,married,secondary,no,8522,yes,no,cellular,14,may,196,2,346,1,failure,1
