age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,self-employed,married,secondary,no,979,no,no,cellular,20,aug,208,4,-1,0,unknown,1
1,self-employed,married,secondary,no,0,yes,no,cellular,18,nov,750,1,-1,0,unknown,1
1,retired,divorced,secondary,no,944,yes,no,unknown,19,jun,106,2,-1,0,unknown,1
1,management,divorced,tertiary,no,0,no,no,cellular,11,nov,144,1,-1,0,unknown,1
1,management,single,tertiary,no,6539,no,no,cellular,18,aug,278,4,-1,0,unknown,1
1,technician,married,secondary,no,76,no,no,cellular,24,jul,64,1,-1,0,unknown,1
0,retired,married,secondary,no,331,no,no,cellular,12,aug,181,1,-1,0,unknown,1
1,technician,married,secondary,no,2328,no,no,cellular,13,aug,133,6,-1,0,unknown,1
1,blue-collar,married,secondary,no,1260,yes,no,cellular,17,apr,141,1,350,3,failure,1
1,blue-collar,married,secondary,no,378,yes,no,unknown,23,may,174,2,-1,0,unknown,1
1,management,married,tertiary,no,1255,yes,yes,cellular,30,jul,817,4,-1,0,unknown,2
1,blue-collar,married,primary,no,1886,yes,no,unknown,28,may,374,2,-1,0,unknown,1
1,blue-collar,single,secondary,no,6417,yes,no,cellular,4,feb,205,3,251,1,failure,1
1,management,single,tertiary,no,0,no,no,unknown,11,jun,113,1,-1,0,unknown,1
0,retired,divorced,primary,no,879,no,no,cellular,18,feb,106,1,181,1,success,1
1,entrepreneur,single,tertiary,no,-188,yes,no,cellular,10,jul,227,1,-1,0,unknown,1
0,management,married,tertiary,no,0,yes,no,cellular,17,jul,240,1,-1,0,unknown,1
1,blue-collar,married,secondary,no,554,yes,no,unknown,12,jun,182,1,-1,0,unknown,1
1,self-employed,married,secondary,no,-46,no,yes,cellular,22,aug,156,7,-1,0,unknown,1
1,admin.,single,secondary,no,122,yes,no,cellular,10,jul,121,1,-1,0,unknown,1
1,management,married,tertiary,no,0,no,no,cellular,8,aug,396,4,-1,0,unknown,1
1,services,married,primary,no,1606,yes,no,unknown,29,may,148,1,-1,0,unknown,1
1,technician,married,secondary,no,0,no,no,cellular,21,aug,153,4,-1,0,unknown,1
1,blue-collar,married,primary,no,-42,yes,no,cellular,12,may,141,1,347,1,failure,1
1,unemployed,single,unknown,no,547,no,no,cellular,18,dec,622,1,-1,0,unknown,1
1,technician,married,tertiary,no,328,no,no,cellular,5,aug,292,1,-1,0,unknown,2
0,housemaid,married,unknown,no,5567,no,no,cellular,25,feb,129,1,177,1,failure,1
1,unknown,married,secondary,no,308,no,no,unknown,5,jun,309,1,-1,0,unknown,1
1,technician,divorced,secondary,no,0,yes,no,cellular,3,feb,1120,2,222,2,failure,2
1,technician,single,secondary,no,517,no,no,cellular,15,oct,74,1,95,1,success,1
1,management,married,secondary,no,416,no,no,cellular,13,aug,125,3,-1,0,unknown,1
0,retired,single,unknown,no,-263,no,yes,cellular,14,jul,541,3,-1,0,unknown,1
1,management,married,tertiary,no,22951,no,yes,cellular,13,aug,178,4,-1,0,unknown,1
1,management,married,tertiary,no,2031,no,no,cellular,13,aug,194,3,-1,0,unknown,1
1,management,single,tertiary,no,307,no,no,cellular,14,oct,126,1,-1,0,unknown,1
1,services,married,secondary,no,-4,yes,yes,cellular,16,jul,160,1,-1,0,unknown,1
1,services,single,secondary,no,354,yes,no,unknown,12,may,93,1,-1,0,unknown,1
1,admin.,married,secondary,no,10,no,no,cellular,26,aug,226,2,-1,0,unknown,1
1,admin.,single,secondary,no,6923,yes,yes,unknown,29,may,466,1,-1,0,unknown,1
1,management,single,tertiary,no,277,yes,no,cellular,14,jul,1167,3,-1,0,unknown,2
1,technician,single,secondary,no,1199,no,no,cellular,18,nov,364,2,-1,0,unknown,1
1,student,single,tertiary,no,197,no,no,cellular,22,may,316,1,-1,0,unknown,1
1,services,married,secondary,no,266,yes,no,cellular,13,may,62,2,351,9,failure,1
1,blue-collar,married,secondary,no,167,yes,no,telephone,10,jul,371,1,-1,0,unknown,1
1,student,single,secondary,no,500,no,no,cellular,19,feb,93,1,-1,0,unknown,1
1,admin.,married,secondary,no,159,yes,no,cellular,8,jul,138,1,-1,0,unknown,1
1,unknown,married,tertiary,no,453,no,no,cellular,17,dec,120,2,-1,0,unknown,1
1,management,single,tertiary,no,1128,no,no,cellular,10,nov,279,1,92,2,success,2
1,blue-collar,married,primary,no,1147,yes,no,cellular,18,may,226,2,-1,0,unknown,1
1,unemployed,single,primary,no,-74,yes,no,cellular,15,may,100,1,-1,0,unknown,1
1,admin.,married,secondary,no,303,yes,no,cellular,17,apr,197,3,328,1,other,1
1,housemaid,married,primary,no,61,yes,yes,unknown,9,may,211,1,-1,0,unknown,1
0,technician,married,secondary,no,0,no,no,cellular,11,mar,164,2,-1,0,unknown,2
1,retired,married,secondary,no,324,no,no,cellular,30,jul,144,3,-1,0,unknown,1
1,entrepreneur,married,tertiary,no,3887,no,no,cellular,21,nov,179,5,-1,0,unknown,1
1,technician,married,tertiary,no,148,yes,no,unknown,6,may,70,1,-1,0,unknown,1
0,retired,married,primary,no,10985,no,no,cellular,16,nov,114,1,97,7,failure,1
1,technician,single,secondary,no,268,yes,no,unknown,9,may,1211,2,-1,0,unknown,2
1,admin.,married,secondary,no,-212,yes,no,unknown,29,may,98,2,-1,0,unknown,1
1,management,single,tertiary,no,201,no,no,cellular,3,jun,328,2,-1,0,unknown,2
1,management,married,tertiary,no,0,yes,yes,unknown,26,may,321,3,-1,0,unknown,1
1,admin.,divorced,primary,no,318,no,yes,cellular,17,nov,122,2,117,1,failure,1
1,management,single,tertiary,no,0,yes,no,unknown,12,may,199,6,-1,0,unknown,1
1,blue-collar,married,primary,no,-226,yes,yes,cellular,19,nov,151,1,-1,0,unknown,1
1,management,divorced,tertiary,no,284,yes,no,cellular,15,jul,154,3,-1,0,unknown,1
1,management,single,tertiary,no,3144,no,no,cellular,20,may,1401,1,-1,0,unknown,2
1,technician,divorced,secondary,no,0,yes,yes,cellular,10,jul,65,1,-1,0,unknown,1
1,admin.,married,secondary,no,-315,yes,yes,cellular,13,apr,125,2,-1,0,unknown,1
1,retired,married,primary,no,1467,no,no,telephone,12,aug,123,4,-1,0,unknown,1
1,management,married,tertiary,no,0,no,no,cellular,11,aug,169,1,-1,0,unknown,1
1,management,single,tertiary,no,1382,no,no,cellular,2,feb,106,1,-1,0,unknown,1
1,housemaid,single,tertiary,no,0,no,no,cellular,3,feb,264,5,265,1,failure,1
1,services,married,secondary,no,6,yes,no,cellular,14,jul,244,2,-1,0,unknown,1
1,admin.,married,secondary,no,87,yes,no,cellular,2,feb,118,1,12,1,success,1
1,technician,single,secondary,no,938,yes,no,unknown,16,may,125,2,-1,0,unknown,1
1,management,single,tertiary,no,225,yes,no,unknown,6,may,180,2,-1,0,unknown,1
1,self-employed,divorced,secondary,no,218,yes,no,cellular,1,apr,136,3,317,3,failure,1
1,self-employed,married,secondary,no,2393,no,no,unknown,9,jun,312,1,-1,0,unknown,1
1,management,married,tertiary,no,2210,no,no,cellular,1,oct,393,1,186,1,success,2
