,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,1,blue-collar,married,secondary,no,993,yes,no,unknown,21,mar,70,10,0,0,unknown,1
1,1,admin.,single,secondary,no,902,yes,no,cellular,12,mar,82,2,-1,0,unknown,1
2,1,blue-collar,married,primary,no,1112,yes,no,unknown,12,mar,452,1,0,0,unknown,1
3,1,self-employed,married,secondary,no,91,no,no,cellular,3,aug,58,1,-1,0,unknown,1
4,1,entrepreneur,married,tertiary,no,2217,yes,no,unknown,26,jun,221,5,0,0,unknown,1
5,1,admin.,married,primary,no,138,yes,yes,cellular,23,jul,263,1,-1,0,unknown,1
6,1,housemaid,married,tertiary,no,685,yes,no,cellular,28,jan,79,1,-1,0,unknown,1
7,1,student,married,secondary,no,2431,no,no,cellular,6,may,164,4,182,6,other,2
8,1,housemaid,married,secondary,no,109,yes,no,cellular,17,jan,77,1,-1,0,unknown,1
9,1,student,married,tertiary,no,577,no,no,cellular,19,nov,700,3,98,4,other,2
10,1,student,divorced,secondary,no,1923,yes,no,cellular,11,apr,236,7,0,0,unknown,1
11,1,admin.,married,secondary,no,222,yes,no,unknown,4,may,250,3,-1,0,unknown,1
12,1,management,married,secondary,no,2840,yes,yes,cellular,12,mar,164,3,0,4,unknown,1
13,1,self-employed,single,tertiary,no,3857,no,yes,cellular,16,may,214,1,-1,0,unknown,1
14,1,blue-collar,divorced,secondary,no,62,yes,no,unknown,28,mar,227,3,-1,0,unknown,1
15,1,housemaid,divorced,tertiary,no,1055,yes,no,cellular,17,may,143,5,-1,0,unknown,1
16,1,housemaid,divorced,tertiary,no,1104,no,no,cellular,25,jan,134,1,0,0,unknown,1
17,0,admin.,single,primary,no,106,no,yes,cellular,6,jan,261,1,-1,0,unknown,1
18,1,admin.,married,secondary,no,100,yes,no,telephone,16,jul,223,4,0,0,unknown,1
19,1,management,married,secondary,no,647,yes,no,cellular,29,mar,238,1,184,3,success,2
20,1,blue-collar,divorced,secondary,no,4754,yes,yes,cellular,16,apr,70,1,-1,0,unknown,1
21,1,housemaid,married,tertiary,no,119,no,no,cellular,14,aug,144,3,0,0,unknown,1
22,1,blue-collar,married,primary,no,-54,yes,no,cellular,17,jul,226,4,0,0,unknown,1
23,1,housemaid,divorced,tertiary,no,758,yes,no,cellular,20,nov,214,1,94,1,failure,1
24,1,student,single,secondary,no,275,yes,no,unknown,2,jul,67,5,0,0,unknown,1
25,1,admin.,married,secondary,no,817,no,no,cellular,12,apr,81,2,0,0,unknown,1
26,1,blue-collar,married,primary,no,36,yes,no,cellular,17,jul,71,1,-1,0,unknown,1
27,1,admin.,married,secondary,no,960,no,no,unknown,27,may,256,1,-1,0,unknown,1
28,1,student,divorced,secondary,no,203,yes,no,cellular,3,feb,151,2,184,4,failure,1
29,0,management,married,tertiary,no,7629,no,no,cellular,3,nov,136,1,-1,4,unknown,1
30,1,student,single,secondary,no,511,no,yes,cellular,20,aug,232,1,0,0,unknown,1
31,1,student,divorced,secondary,no,1187,no,no,cellular,7,feb,76,1,281,0,failure,1
32,1,unemployed,married,primary,no,53,no,no,cellular,3,dec,480,1,0,0,failure,2
33,1,admin.,married,secondary,no,2512,no,no,cellular,12,mar,65,4,-1,0,unknown,1
34,1,admin.,divorced,secondary,no,159,no,no,cellular,11,mar,765,1,353,2,other,2
35,1,housemaid,married,tertiary,no,2027,yes,no,cellular,5,mar,75,4,-1,0,unknown,1
36,1,self-employed,married,secondary,no,2042,no,no,cellular,20,may,69,1,0,0,unknown,1
37,1,technician,single,unknown,no,1883,yes,yes,cellular,2,may,142,1,-1,0,unknown,1
38,1,housemaid,single,tertiary,no,7724,yes,no,cellular,20,apr,132,1,0,0,unknown,1
39,1,housemaid,married,tertiary,no,-29,no,no,cellular,6,aug,71,3,0,0,unknown,1
40,1,admin.,married,secondary,no,274,yes,yes,cellular,8,may,39,2,0,0,unknown,1
41,1,housemaid,married,tertiary,no,128,no,no,cellular,11,aug,70,3,-1,0,unknown,1
42,1,blue-collar,single,secondary,no,63,yes,no,telephone,7,jan,162,3,0,0,unknown,1
43,1,management,single,tertiary,no,827,yes,no,unknown,27,jul,237,11,-1,0,unknown,1
44,1,admin.,single,secondary,no,616,yes,no,cellular,17,may,525,7,-1,0,unknown,1
45,1,technician,single,secondary,no,88,yes,no,cellular,17,apr,62,3,335,4,other,1
46,1,services,divorced,secondary,no,-28,yes,no,unknown,4,jul,212,1,0,0,unknown,1
47,1,student,divorced,tertiary,no,35,yes,no,cellular,30,jul,48,27,0,0,unknown,1
48,1,blue-collar,single,secondary,no,832,no,no,cellular,20,apr,231,1,356,2,other,1
49,1,student,single,secondary,no,8732,yes,no,cellular,17,mar,56,1,0,0,unknown,1
50,1,student,single,unknown,no,990,no,no,cellular,26,oct,144,2,93,3,other,1
51,1,blue-collar,married,secondary,no,2154,no,no,cellular,28,jan,674,2,0,0,unknown,1
52,1,admin.,married,secondary,no,644,yes,no,cellular,14,jul,148,2,0,0,unknown,1
53,1,technician,single,tertiary,no,6905,no,no,cellular,27,apr,80,3,-1,0,unknown,1
54,1,services,married,secondary,no,748,yes,no,unknown,2,jan,360,5,-1,0,unknown,1
55,1,retired,married,tertiary,no,2839,no,no,cellular,2,jan,130,3,0,0,unknown,1
56,1,housemaid,married,secondary,no,807,no,no,cellular,12,apr,65,10,0,0,unknown,1
57,1,blue-collar,married,secondary,no,371,yes,no,cellular,8,apr,334,1,361,1,failure,1
58,1,student,divorced,tertiary,no,639,no,no,cellular,20,aug,134,5,0,0,unknown,1
59,1,housemaid,married,tertiary,no,9251,no,no,cellular,8,aug,250,4,-1,0,unknown,1
60,1,admin.,divorced,secondary,no,3004,yes,no,cellular,17,nov,316,1,137,1,failure,1
61,1,student,single,tertiary,no,467,yes,no,cellular,17,apr,52,7,-1,0,unknown,1
62,1,student,single,secondary,no,147,yes,no,unknown,23,mar,155,5,0,0,unknown,1
63,1,student,married,tertiary,no,1834,no,no,cellular,3,apr,370,3,0,0,unknown,1
64,1,admin.,married,secondary,no,2583,yes,yes,cellular,4,mar,200,2,95,3,failure,1
65,1,housemaid,married,tertiary,no,1222,no,no,cellular,7,feb,240,1,97,2,other,1
66,1,student,single,tertiary,no,4269,no,no,cellular,13,apr,68,17,0,0,unknown,1
67,1,student,married,secondary,no,504,no,yes,cellular,6,jan,519,10,0,0,unknown,1
68,1,student,married,tertiary,no,840,yes,no,cellular,4,mar,260,1,-1,0,unknown,1
69,1,blue-collar,married,primary,no,30,yes,no,unknown,29,may,370,5,0,0,unknown,1
70,1,admin.,married,secondary,no,700,no,no,cellular,16,may,73,1,0,0,unknown,1
71,1,housemaid,married,unknown,no,124,yes,no,cellular,28,nov,375,1,0,0,unknown,1
72,1,retired,divorced,primary,no,4612,no,no,unknown,28,jun,941,2,0,0,unknown,2
73,1,housemaid,divorced,unknown,no,5220,yes,no,cellular,28,jan,121,1,0,0,unknown,1
74,1,housemaid,married,tertiary,no,3636,no,yes,cellular,20,aug,250,1,0,0,failure,1
75,1,management,married,tertiary,no,64,no,no,unknown,28,may,463,1,0,0,unknown,1
76,1,housemaid,single,tertiary,no,873,no,yes,cellular,19,may,75,7,0,0,unknown,1
77,1,housemaid,married,secondary,no,156,no,no,cellular,22,jan,39,1,-1,0,unknown,1
78,1,unemployed,single,secondary,no,594,yes,no,unknown,4,mar,123,3,0,0,unknown,1
79,1,admin.,married,secondary,no,7471,yes,yes,cellular,17,apr,233,3,0,0,unknown,1
80,1,blue-collar,married,secondary,no,135,no,no,telephone,7,jan,147,1,0,0,unknown,1
81,1,blue-collar,married,secondary,no,1143,yes,yes,cellular,16,apr,117,1,342,6,failure,1
82,1,housemaid,single,tertiary,no,2300,no,no,telephone,7,jan,41,1,0,0,unknown,1
83,0,retired,divorced,secondary,no,2894,no,no,cellular,14,jul,84,3,0,0,unknown,1
84,1,housemaid,divorced,tertiary,no,415,no,no,unknown,17,mar,27,3,-1,0,unknown,1
85,1,self-employed,divorced,secondary,no,106,yes,no,cellular,11,aug,232,2,124,3,other,1
