age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,admin.,married,secondary,no,294,no,no,cellular,29,jul,259,7,0,0,unknown,1
1,services,divorced,secondary,no,529,yes,no,cellular,17,apr,256,3,137,1,failure,1
1,self-employed,married,secondary,no,101,no,no,unknown,18,jul,156,1,0,0,unknown,1
1,blue-collar,married,secondary,no,2846,yes,no,cellular,11,may,55,4,0,0,unknown,1
1,admin.,married,primary,no,393,yes,no,cellular,5,may,376,5,358,0,other,1
1,blue-collar,married,tertiary,no,63,yes,no,unknown,7,may,67,1,0,0,unknown,1
1,admin.,single,secondary,no,288,no,no,cellular,26,feb,60,3,195,0,other,1
1,admin.,married,primary,no,450,no,no,cellular,28,feb,255,3,0,0,unknown,1
1,admin.,single,secondary,no,1725,yes,no,unknown,22,may,85,10,-1,0,unknown,1
1,blue-collar,married,primary,no,39,yes,yes,cellular,7,may,128,1,0,0,unknown,1
1,management,married,secondary,no,387,yes,no,cellular,12,may,169,2,0,0,unknown,1
1,housemaid,single,tertiary,no,611,no,no,cellular,2,dec,386,1,-1,0,unknown,2
1,management,single,tertiary,no,185,yes,no,cellular,14,may,66,1,0,0,unknown,1
1,services,single,secondary,no,360,yes,no,cellular,18,apr,47,9,0,0,unknown,1
1,student,single,secondary,no,462,yes,no,cellular,7,mar,150,1,365,0,failure,1
1,admin.,single,tertiary,no,47,yes,no,cellular,7,oct,70,1,271,0,failure,1
1,admin.,single,secondary,no,3079,no,no,unknown,17,jun,533,2,-1,0,unknown,1
1,blue-collar,married,secondary,no,226,no,no,unknown,28,may,267,2,0,0,unknown,1
1,student,married,secondary,no,405,yes,no,unknown,4,dec,237,2,0,0,unknown,1
1,management,single,tertiary,no,1539,yes,no,cellular,14,mar,144,1,278,0,failure,1
1,management,single,secondary,no,118,no,no,cellular,18,may,684,2,0,0,unknown,1
1,unemployed,single,secondary,no,1241,no,no,unknown,28,may,380,3,0,0,unknown,1
1,admin.,married,primary,no,988,no,no,cellular,20,may,71,1,0,0,unknown,1
1,blue-collar,single,secondary,no,21,no,no,cellular,17,may,147,3,0,0,unknown,1
1,student,divorced,tertiary,no,159,yes,no,unknown,25,mar,157,1,-1,0,unknown,1
1,unemployed,single,secondary,no,11,yes,yes,cellular,2,dec,149,1,-1,0,unknown,1
1,student,single,secondary,no,107,yes,no,unknown,17,jun,60,15,0,0,unknown,1
1,admin.,single,secondary,no,63,yes,no,cellular,7,jan,81,1,0,0,unknown,1
1,admin.,single,tertiary,no,573,yes,yes,cellular,4,dec,159,1,0,0,unknown,1
0,student,single,secondary,no,548,no,no,cellular,2,jun,366,1,-1,0,unknown,2
0,housemaid,married,tertiary,no,497,no,no,cellular,4,aug,232,1,-1,0,unknown,1
1,unemployed,single,secondary,no,3331,no,no,cellular,2,jun,396,1,0,0,unknown,1
1,housemaid,divorced,secondary,no,256,yes,no,cellular,14,may,146,1,0,0,unknown,1
1,admin.,single,secondary,no,718,no,no,cellular,18,jun,257,1,94,4,success,2
1,admin.,married,secondary,no,1088,yes,no,unknown,18,jun,250,3,0,0,unknown,1
1,admin.,married,secondary,no,457,yes,no,unknown,28,may,358,3,-1,0,unknown,1
1,housemaid,single,tertiary,no,318,yes,no,cellular,18,apr,376,1,350,1,other,1
1,blue-collar,divorced,unknown,no,2875,no,no,unknown,1,jun,282,1,0,0,unknown,1
