,checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
0,< 0 DM,35,delay in paying off in the past,car (used),6141,unknown/ no savings account,.. >= 7 years,3,co-applicant,4,"if not A121/A122 : car or other, not in attribute 6",24,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,male,single
1,< 0 DM,19,existing credits paid back duly till now,radio/television,3371,... < 100 DM,4 <= ... < 7 years,4,guarantor,4,real estate,25,none,rent,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
2,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),car (new),3962,... < 100 DM,.. >= 7 years,2,guarantor,3,if not A121 : building society savings agreement/ life insurance,43,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
3,0 <= ... < 200 DM,42,existing credits paid back duly till now,radio/television,10281,... < 100 DM,... < 1 year,2,none,2,unknown / no property,22,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
4,no checking account,10,existing credits paid back duly till now,repairs,1196,... < 100 DM,1 <= ... < 4 years,4,none,1,real estate,24,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
5,0 <= ... < 200 DM,31,existing credits paid back duly till now,furniture/equipment,1174,... < 100 DM,.. >= 7 years,4,co-applicant,4,unknown / no property,42,bank,own,1,skilled employee / official,2,none,yes,2,male,single
6,no checking account,56,existing credits paid back duly till now,car (used),7597,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,2,unknown / no property,43,none,own,3,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
7,no checking account,30,critical account/ other credits existing (not at this bank),furniture/equipment,7400,unknown/ no savings account,.. >= 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,31,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,female,single
8,no checking account,51,existing credits paid back duly till now,car (new),6011,unknown/ no savings account,4 <= ... < 7 years,1,none,2,unknown / no property,24,none,own,2,skilled employee / official,1,none,yes,1,male,divorced/separated
9,< 0 DM,15,existing credits paid back duly till now,business,1905,500 <= ... < 1000 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",40,none,own,2,skilled employee / official,1,none,yes,1,male,single
10,0 <= ... < 200 DM,35,critical account/ other credits existing (not at this bank),radio/television,6099,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",21,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
11,no checking account,24,critical account/ other credits existing (not at this bank),business,4135,unknown/ no savings account,.. >= 7 years,1,none,4,"if not A121/A122 : car or other, not in attribute 6",32,none,own,1,skilled employee / official,1,none,yes,1,male,single
12,no checking account,32,existing credits paid back duly till now,business,3344,500 <= ... < 1000 DM,1 <= ... < 4 years,1,none,4,"if not A121/A122 : car or other, not in attribute 6",46,none,rent,1,unskilled - resident,2,"yes, registered under the customers name",yes,2,female,divorced/separated/married
13,0 <= ... < 200 DM,21,critical account/ other credits existing (not at this bank),furniture/equipment,2823,... < 100 DM,... < 1 year,2,none,1,"if not A121/A122 : car or other, not in attribute 6",52,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,divorced/separated
14,< 0 DM,9,no credits taken/ all credits paid back duly,retraining,2560,... < 100 DM,unemployed,2,none,2,unknown / no property,33,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1,male,single
15,0 <= ... < 200 DM,36,existing credits paid back duly till now,furniture/equipment,4993,... < 100 DM,.. >= 7 years,1,none,1,unknown / no property,21,none,rent,1,skilled employee / official,1,none,yes,1,female,single
16,0 <= ... < 200 DM,32,delay in paying off in the past,furniture/equipment,14640,100 <= ... < 500 DM,unemployed,2,none,3,unknown / no property,21,none,rent,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name",yes,1,female,single
17,0 <= ... < 200 DM,53,existing credits paid back duly till now,radio/television,4991,100 <= ... < 500 DM,.. >= 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",23,none,rent,1,skilled employee / official,1,none,yes,1,male,married/widowed
18,no checking account,6,critical account/ other credits existing (not at this bank),furniture/equipment,2986,100 <= ... < 500 DM,1 <= ... < 4 years,1,none,4,real estate,30,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2,female,divorced/separated
19,no checking account,28,critical account/ other credits existing (not at this bank),radio/television,298,... < 100 DM,1 <= ... < 4 years,2,none,3,real estate,41,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
20,no checking account,21,critical account/ other credits existing (not at this bank),radio/television,2808,... < 100 DM,.. >= 7 years,4,guarantor,2,"if not A121/A122 : car or other, not in attribute 6",41,none,own,2,skilled employee / official,1,none,yes,1,male,divorced/separated
21,no checking account,43,critical account/ other credits existing (not at this bank),car (used),2408,.. >= 1000 DM,4 <= ... < 7 years,4,none,4,real estate,37,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
22,< 0 DM,55,existing credits paid back duly till now,car (new),1957,... < 100 DM,1 <= ... < 4 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,for free,1,skilled employee / official,1,none,yes,2,male,single
23,< 0 DM,19,critical account/ other credits existing (not at this bank),repairs,4803,... < 100 DM,1 <= ... < 4 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",66,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,female,single
24,< 0 DM,12,existing credits paid back duly till now,education,672,... < 100 DM,4 <= ... < 7 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",30,none,rent,1,management/ self-employed/ highly qualified employee/ officer,2,none,yes,2,male,single
25,< 0 DM,21,no credits taken/ all credits paid back duly,repairs,1898,unknown/ no savings account,4 <= ... < 7 years,4,none,3,"if not A121/A122 : car or other, not in attribute 6",29,none,own,2,skilled employee / official,2,none,yes,2,male,single
26,< 0 DM,36,critical account/ other credits existing (not at this bank),radio/television,3289,unknown/ no savings account,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",47,stores,own,1,unskilled - resident,1,none,yes,1,male,single
