checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
no checking account,26,existing credits paid back duly till now,radio/television,4560,unknown/ no savings account,1 <= ... < 4 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",21,none,own,1,skilled employee / official,1,none,yes,2,male,divorced/separated/married
< 0 DM,33,critical account/ other credits existing (not at this bank),car (new),4109,500 <= ... < 1000 DM,1 <= ... < 4 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,unskilled - resident,1,none,yes,2,male,single
no checking account,24,no credits taken/ all credits paid back duly,furniture/equipment,4833,... < 100 DM,1 <= ... < 4 years,4,none,1,"if not A121/A122 : car or other, not in attribute 6",40,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
no checking account,19,existing credits paid back duly till now,radio/television,2280,unknown/ no savings account,1 <= ... < 4 years,1,co-applicant,2,if not A121 : building society savings agreement/ life insurance,26,none,own,2,skilled employee / official,1,none,yes,1,female,divorced/separated/married
< 0 DM,35,existing credits paid back duly till now,repairs,6489,... < 100 DM,.. >= 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",63,bank,own,3,unskilled - resident,1,"yes, registered under the customers name",yes,1,male,married/widowed
no checking account,26,existing credits paid back duly till now,furniture/equipment,10131,... < 100 DM,1 <= ... < 4 years,1,none,2,if not A121 : building society savings agreement/ life insurance,33,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,5,all credits at this bank paid back duly,radio/television,2684,100 <= ... < 500 DM,1 <= ... < 4 years,3,none,2,real estate,44,stores,own,2,skilled employee / official,2,none,yes,1,female,married/widowed
0 <= ... < 200 DM,31,existing credits paid back duly till now,radio/television,5422,... < 100 DM,4 <= ... < 7 years,4,co-applicant,4,"if not A121/A122 : car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,none,yes,2,male,single
0 <= ... < 200 DM,27,existing credits paid back duly till now,car (new),1600,unknown/ no savings account,unemployed,4,none,4,real estate,20,none,rent,2,unskilled - resident,1,none,yes,1,female,divorced/separated/married
no checking account,8,existing credits paid back duly till now,car (new),2417,500 <= ... < 1000 DM,1 <= ... < 4 years,3,none,3,real estate,26,none,own,2,skilled employee / official,1,none,yes,2,female,divorced/separated/married
0 <= ... < 200 DM,30,delay in paying off in the past,car (used),6740,unknown/ no savings account,.. >= 7 years,4,none,3,if not A121 : building society savings agreement/ life insurance,50,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,divorced/separated
< 0 DM,34,existing credits paid back duly till now,car (new),2240,... < 100 DM,1 <= ... < 4 years,2,none,3,real estate,38,none,own,1,skilled employee / official,1,none,yes,2,female,single
0 <= ... < 200 DM,14,existing credits paid back duly till now,radio/television,8252,... < 100 DM,... < 1 year,3,none,1,real estate,30,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,female,single
< 0 DM,30,existing credits paid back duly till now,furniture/equipment,4028,... < 100 DM,.. >= 7 years,3,none,3,"if not A121/A122 : car or other, not in attribute 6",37,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated
0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),education,5187,500 <= ... < 1000 DM,unemployed,4,co-applicant,2,if not A121 : building society savings agreement/ life insurance,37,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,married/widowed
no checking account,20,existing credits paid back duly till now,car (new),3826,... < 100 DM,... < 1 year,2,none,4,if not A121 : building society savings agreement/ life insurance,22,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
0 <= ... < 200 DM,16,existing credits paid back duly till now,radio/television,1629,unknown/ no savings account,... < 1 year,4,none,1,real estate,20,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,male,married/widowed
no checking account,18,existing credits paid back duly till now,radio/television,8559,100 <= ... < 500 DM,... < 1 year,4,none,4,real estate,27,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,2,male,divorced/separated/married
no checking account,12,existing credits paid back duly till now,education,1188,500 <= ... < 1000 DM,4 <= ... < 7 years,3,none,1,real estate,21,none,own,2,skilled employee / official,1,none,yes,1,male,single
no checking account,42,existing credits paid back duly till now,car (used),3955,... < 100 DM,.. >= 7 years,4,none,4,real estate,35,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,divorced/separated/married
< 0 DM,19,critical account/ other credits existing (not at this bank),radio/television,656,500 <= ... < 1000 DM,4 <= ... < 7 years,4,none,3,if not A121 : building society savings agreement/ life insurance,31,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,married/widowed
0 <= ... < 200 DM,24,all credits at this bank paid back duly,radio/television,5961,... < 100 DM,1 <= ... < 4 years,4,none,3,if not A121 : building society savings agreement/ life insurance,33,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,2,male,single
< 0 DM,7,critical account/ other credits existing (not at this bank),business,4630,... < 100 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,for free,2,skilled employee / official,2,none,yes,2,male,single
< 0 DM,39,existing credits paid back duly till now,business,12539,... < 100 DM,1 <= ... < 4 years,1,none,2,if not A121 : building society savings agreement/ life insurance,45,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
0 <= ... < 200 DM,28,existing credits paid back duly till now,radio/television,6305,500 <= ... < 1000 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",45,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
no checking account,38,delay in paying off in the past,furniture/equipment,2009,... < 100 DM,.. >= 7 years,4,none,2,unknown / no property,35,bank,own,1,unskilled - resident,1,none,no,2,male,single
no checking account,18,critical account/ other credits existing (not at this bank),repairs,1427,... < 100 DM,4 <= ... < 7 years,4,none,3,if not A121 : building society savings agreement/ life insurance,55,bank,own,1,skilled employee / official,2,none,yes,1,male,single
0 <= ... < 200 DM,35,critical account/ other credits existing (not at this bank),car (new),1723,... < 100 DM,4 <= ... < 7 years,4,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,none,yes,1,male,single
0 <= ... < 200 DM,27,critical account/ other credits existing (not at this bank),car (new),1353,... < 100 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,male,divorced/separated/married
0 <= ... < 200 DM,8,existing credits paid back duly till now,business,1072,... < 100 DM,.. >= 7 years,4,none,2,real estate,29,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,married/widowed
no checking account,42,existing credits paid back duly till now,car (used),7996,... < 100 DM,.. >= 7 years,2,none,2,if not A121 : building society savings agreement/ life insurance,35,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,20,critical account/ other credits existing (not at this bank),radio/television,3360,100 <= ... < 500 DM,... < 1 year,2,none,4,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,1,male,single
< 0 DM,36,all credits at this bank paid back duly,radio/television,4298,... < 100 DM,1 <= ... < 4 years,3,co-applicant,4,unknown / no property,53,bank,own,1,skilled employee / official,1,none,yes,1,female,single
no checking account,27,delay in paying off in the past,radio/television,5422,unknown/ no savings account,.. >= 7 years,4,none,4,unknown / no property,28,bank,own,2,skilled employee / official,1,none,yes,2,male,single
0 <= ... < 200 DM,21,existing credits paid back duly till now,repairs,3145,... < 100 DM,.. >= 7 years,4,co-applicant,2,if not A121 : building society savings agreement/ life insurance,44,none,own,2,skilled employee / official,2,none,yes,2,male,single
no checking account,12,critical account/ other credits existing (not at this bank),car (used),6747,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,39,none,own,2,skilled employee / official,1,none,yes,1,male,single
no checking account,7,existing credits paid back duly till now,business,3765,... < 100 DM,unemployed,4,none,4,real estate,29,bank,own,1,unskilled - resident,1,none,yes,1,male,divorced/separated/married
no checking account,18,critical account/ other credits existing (not at this bank),car (used),7044,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",31,bank,own,2,skilled employee / official,1,none,yes,1,male,married/widowed
