,checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,personal-status,class-label
0,no checking account,18,existing credits paid back duly till now,car (new),6256,... < 100 DM,.. >= 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",35,none,rent,1,unskilled - resident,2,none,yes,male,single,1
1,0 <= ... < 200 DM,42,existing credits paid back duly till now,radio/television,4484,... < 100 DM,... < 1 year,1,none,3,unknown / no property,48,stores,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,married/widowed,1
2,< 0 DM,13,critical account/ other credits existing (not at this bank),radio/television,990,... < 100 DM,.. >= 7 years,2,none,3,if not A121 : building society savings agreement/ life insurance,47,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated/married,1
3,0 <= ... < 200 DM,13,existing credits paid back duly till now,business,3048,... < 100 DM,unemployed,2,none,4,"if not A121/A122 : car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,none,no,female,single,1
4,no checking account,13,existing credits paid back duly till now,furniture/equipment,10113,... < 100 DM,4 <= ... < 7 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",47,none,own,1,unskilled - resident,2,none,yes,male,single,1
5,< 0 DM,19,critical account/ other credits existing (not at this bank),radio/television,1030,unknown/ no savings account,1 <= ... < 4 years,4,none,2,if not A121 : building society savings agreement/ life insurance,47,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
6,< 0 DM,13,existing credits paid back duly till now,car (new),2264,.. >= 1000 DM,1 <= ... < 4 years,3,none,3,unknown / no property,34,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,female,divorced/separated/married,1
7,0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),radio/television,2111,100 <= ... < 500 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",26,bank,own,1,unemployed/ unskilled - non-resident,2,none,yes,male,single,1
8,no checking account,48,existing credits paid back duly till now,furniture/equipment,889,unknown/ no savings account,... < 1 year,4,none,3,"if not A121/A122 : car or other, not in attribute 6",48,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
9,< 0 DM,25,existing credits paid back duly till now,radio/television,4555,... < 100 DM,.. >= 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",48,none,own,2,skilled employee / official,1,none,yes,male,single,1
10,0 <= ... < 200 DM,13,existing credits paid back duly till now,business,2125,... < 100 DM,... < 1 year,2,none,3,"if not A121/A122 : car or other, not in attribute 6",28,none,for free,2,unskilled - resident,1,none,yes,female,divorced/separated/married,1
11,no checking account,37,existing credits paid back duly till now,radio/television,1043,500 <= ... < 1000 DM,.. >= 7 years,2,none,2,if not A121 : building society savings agreement/ life insurance,52,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,divorced/separated/married,1
12,no checking account,47,existing credits paid back duly till now,car (new),3188,... < 100 DM,1 <= ... < 4 years,4,none,2,if not A121 : building society savings agreement/ life insurance,35,none,rent,2,skilled employee / official,2,none,yes,male,single,1
13,0 <= ... < 200 DM,14,existing credits paid back duly till now,business,2852,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",27,bank,rent,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
14,0 <= ... < 200 DM,13,existing credits paid back duly till now,car (new),1178,500 <= ... < 1000 DM,4 <= ... < 7 years,3,guarantor,4,if not A121 : building society savings agreement/ life insurance,37,none,own,3,unskilled - resident,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
15,no checking account,19,all credits at this bank paid back duly,business,2221,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,2,real estate,26,bank,own,2,unskilled - resident,1,none,yes,male,single,1
16,0 <= ... < 200 DM,14,all credits at this bank paid back duly,car (new),2115,... < 100 DM,unemployed,4,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",26,stores,for free,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single,1
17,< 0 DM,15,all credits at this bank paid back duly,car (new),4767,... < 100 DM,4 <= ... < 7 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",28,bank,rent,2,skilled employee / official,1,none,yes,male,single,1
18,< 0 DM,13,existing credits paid back duly till now,business,7626,... < 100 DM,.. >= 7 years,4,none,1,real estate,25,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,none,no,male,divorced/separated/married,2
19,0 <= ... < 200 DM,37,all credits at this bank paid back duly,radio/television,5960,... < 100 DM,unemployed,2,none,4,if not A121 : building society savings agreement/ life insurance,33,bank,rent,3,unskilled - resident,1,"yes, registered under the customers name",yes,female,divorced/separated,1
20,0 <= ... < 200 DM,26,no credits taken/ all credits paid back duly,radio/television,4498,... < 100 DM,4 <= ... < 7 years,1,none,4,"if not A121/A122 : car or other, not in attribute 6",48,none,own,2,skilled employee / official,1,none,yes,male,single,1
21,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),radio/television,2443,unknown/ no savings account,.. >= 7 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",47,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
22,< 0 DM,13,critical account/ other credits existing (not at this bank),car (used),1116,... < 100 DM,.. >= 7 years,1,co-applicant,1,real estate,27,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,divorced/separated/married,2
23,0 <= ... < 200 DM,15,existing credits paid back duly till now,car (new),1002,.. >= 1000 DM,1 <= ... < 4 years,2,none,2,real estate,27,none,own,2,skilled employee / official,1,none,yes,male,single,1
24,0 <= ... < 200 DM,39,critical account/ other credits existing (not at this bank),radio/television,942,... < 100 DM,1 <= ... < 4 years,2,none,3,if not A121 : building society savings agreement/ life insurance,28,none,rent,1,skilled employee / official,1,none,yes,male,single,1
25,no checking account,13,critical account/ other credits existing (not at this bank),car (used),995,unknown/ no savings account,... < 1 year,2,none,4,"if not A121/A122 : car or other, not in attribute 6",29,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,married/widowed,1
26,< 0 DM,13,existing credits paid back duly till now,radio/television,1163,... < 100 DM,.. >= 7 years,2,none,3,"if not A121/A122 : car or other, not in attribute 6",50,none,rent,2,skilled employee / official,1,none,yes,female,divorced/separated/married,1
27,no checking account,24,existing credits paid back duly till now,radio/television,5576,... < 100 DM,... < 1 year,2,none,4,if not A121 : building society savings agreement/ life insurance,32,none,own,2,unskilled - resident,1,none,yes,male,single,1
28,0 <= ... < 200 DM,16,critical account/ other credits existing (not at this bank),furniture/equipment,6413,unknown/ no savings account,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
29,< 0 DM,23,all credits at this bank paid back duly,car (used),8798,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,26,none,own,2,management/ self-employed/ highly qualified employee/ officer,2,none,yes,male,single,2
30,no checking account,13,existing credits paid back duly till now,car (new),4484,... < 100 DM,1 <= ... < 4 years,2,none,1,"if not A121/A122 : car or other, not in attribute 6",27,none,for free,1,unskilled - resident,1,"yes, registered under the customers name",yes,female,divorced/separated,1
31,no checking account,24,existing credits paid back duly till now,radio/television,1372,500 <= ... < 1000 DM,... < 1 year,3,guarantor,3,if not A121 : building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no,male,divorced/separated/married,1
32,< 0 DM,22,delay in paying off in the past,radio/television,2819,.. >= 1000 DM,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",27,bank,own,1,skilled employee / official,2,none,no,male,single,1
33,no checking account,8,existing credits paid back duly till now,business,3379,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",49,bank,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
34,... >= 200 DM / salary assignments for at least 1 year,19,existing credits paid back duly till now,car (used),982,100 <= ... < 500 DM,4 <= ... < 7 years,2,none,2,unknown / no property,35,none,own,2,skilled employee / official,1,none,yes,male,single,1
35,0 <= ... < 200 DM,40,existing credits paid back duly till now,education,1203,500 <= ... < 1000 DM,unemployed,2,none,2,"if not A121/A122 : car or other, not in attribute 6",31,none,for free,2,skilled employee / official,1,none,yes,male,married/widowed,1
36,< 0 DM,16,all credits at this bank paid back duly,car (used),2033,100 <= ... < 500 DM,.. >= 7 years,2,none,4,real estate,36,stores,rent,2,skilled employee / official,1,none,yes,male,single,1
37,0 <= ... < 200 DM,16,all credits at this bank paid back duly,radio/television,1761,unknown/ no savings account,1 <= ... < 4 years,4,none,2,unknown / no property,46,bank,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
38,no checking account,13,existing credits paid back duly till now,retraining,1251,100 <= ... < 500 DM,4 <= ... < 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,40,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,female,divorced/separated/married,2
39,< 0 DM,40,existing credits paid back duly till now,radio/television,929,... < 100 DM,.. >= 7 years,1,none,2,if not A121 : building society savings agreement/ life insurance,48,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,male,single,1
40,no checking account,24,existing credits paid back duly till now,repairs,2601,unknown/ no savings account,.. >= 7 years,3,none,2,real estate,28,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,female,divorced/separated/married,2
41,no checking account,16,existing credits paid back duly till now,car (used),4458,... < 100 DM,unemployed,4,none,2,unknown / no property,35,none,own,2,unemployed/ unskilled - non-resident,1,none,yes,male,single,1
42,no checking account,14,critical account/ other credits existing (not at this bank),radio/television,1075,... < 100 DM,unemployed,4,none,1,if not A121 : building society savings agreement/ life insurance,45,none,own,1,skilled employee / official,1,none,yes,male,single,1
43,... >= 200 DM / salary assignments for at least 1 year,13,existing credits paid back duly till now,radio/television,1005,.. >= 1000 DM,... < 1 year,2,none,2,real estate,27,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,female,divorced/separated/married,2
44,no checking account,17,existing credits paid back duly till now,car (new),4928,.. >= 1000 DM,1 <= ... < 4 years,4,none,4,real estate,26,none,own,2,skilled employee / official,2,none,yes,male,single,1
45,0 <= ... < 200 DM,12,no credits taken/ all credits paid back duly,business,4449,500 <= ... < 1000 DM,1 <= ... < 4 years,3,guarantor,2,real estate,26,bank,own,3,skilled employee / official,2,none,yes,male,single,2
46,no checking account,35,existing credits paid back duly till now,car (used),4937,500 <= ... < 1000 DM,1 <= ... < 4 years,4,none,2,unknown / no property,35,none,own,1,unskilled - resident,2,none,yes,male,single,1
47,no checking account,24,existing credits paid back duly till now,radio/television,4386,... < 100 DM,1 <= ... < 4 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",53,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,male,single,1
48,no checking account,25,existing credits paid back duly till now,furniture/equipment,3169,.. >= 1000 DM,4 <= ... < 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",36,none,own,3,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
49,... >= 200 DM / salary assignments for at least 1 year,18,no credits taken/ all credits paid back duly,car (new),964,... < 100 DM,1 <= ... < 4 years,3,none,2,real estate,35,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
50,0 <= ... < 200 DM,34,all credits at this bank paid back duly,furniture/equipment,1799,... < 100 DM,.. >= 7 years,3,co-applicant,4,real estate,25,stores,for free,3,skilled employee / official,2,none,yes,female,divorced/separated/married,2
51,0 <= ... < 200 DM,24,all credits at this bank paid back duly,car (new),1116,... < 100 DM,4 <= ... < 7 years,2,none,1,if not A121 : building society savings agreement/ life insurance,26,bank,for free,1,skilled employee / official,1,none,yes,female,divorced/separated/married,2
52,< 0 DM,30,existing credits paid back duly till now,car (new),1657,unknown/ no savings account,unemployed,3,none,1,if not A121 : building society savings agreement/ life insurance,27,none,rent,1,skilled employee / official,1,none,yes,male,single,1
53,no checking account,10,existing credits paid back duly till now,furniture/equipment,5568,... < 100 DM,... < 1 year,2,none,2,unknown / no property,48,none,own,1,unskilled - resident,2,none,yes,male,single,1
54,< 0 DM,24,existing credits paid back duly till now,business,2566,unknown/ no savings account,1 <= ... < 4 years,4,none,2,real estate,27,none,own,1,unskilled - resident,2,none,yes,male,single,1
55,... >= 200 DM / salary assignments for at least 1 year,17,critical account/ other credits existing (not at this bank),car (used),953,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,4,unknown / no property,48,none,own,2,skilled employee / official,2,none,yes,male,single,1
56,... >= 200 DM / salary assignments for at least 1 year,13,existing credits paid back duly till now,radio/television,1460,... < 100 DM,unemployed,2,none,3,unknown / no property,34,none,own,3,unskilled - resident,1,none,yes,male,divorced/separated/married,1
57,0 <= ... < 200 DM,13,existing credits paid back duly till now,domestic appliances,1304,.. >= 1000 DM,... < 1 year,2,none,2,if not A121 : building society savings agreement/ life insurance,43,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,female,divorced/separated/married,2
58,< 0 DM,13,existing credits paid back duly till now,car (new),9487,500 <= ... < 1000 DM,.. >= 7 years,2,none,1,if not A121 : building society savings agreement/ life insurance,44,none,own,1,unskilled - resident,1,"yes, registered under the customers name",no,female,divorced/separated/married,1
59,no checking account,25,critical account/ other credits existing (not at this bank),car (new),2173,... < 100 DM,1 <= ... < 4 years,4,none,1,"if not A121/A122 : car or other, not in attribute 6",47,none,own,2,skilled employee / official,2,none,yes,male,single,1
60,0 <= ... < 200 DM,25,critical account/ other credits existing (not at this bank),car (new),936,100 <= ... < 500 DM,.. >= 7 years,4,none,4,unknown / no property,35,none,own,2,skilled employee / official,1,none,yes,female,single,1
61,< 0 DM,14,existing credits paid back duly till now,car (new),1123,... < 100 DM,1 <= ... < 4 years,3,none,4,if not A121 : building society savings agreement/ life insurance,30,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,married/widowed,1
62,no checking account,31,all credits at this bank paid back duly,car (used),10156,unknown/ no savings account,1 <= ... < 4 years,4,none,2,real estate,35,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
63,< 0 DM,37,critical account/ other credits existing (not at this bank),radio/television,2383,100 <= ... < 500 DM,1 <= ... < 4 years,1,none,2,"if not A121/A122 : car or other, not in attribute 6",39,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,male,divorced/separated/married,1
64,no checking account,18,existing credits paid back duly till now,furniture/equipment,2030,unknown/ no savings account,.. >= 7 years,1,none,4,"if not A121/A122 : car or other, not in attribute 6",27,none,rent,2,skilled employee / official,1,none,yes,male,single,1
65,< 0 DM,9,no credits taken/ all credits paid back duly,car (used),3096,unknown/ no savings account,.. >= 7 years,2,co-applicant,2,if not A121 : building society savings agreement/ life insurance,27,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,none,yes,male,single,1
66,< 0 DM,26,existing credits paid back duly till now,retraining,950,... < 100 DM,... < 1 year,4,none,2,"if not A121/A122 : car or other, not in attribute 6",48,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single,1
67,< 0 DM,14,no credits taken/ all credits paid back duly,radio/television,4276,... < 100 DM,... < 1 year,3,none,2,"if not A121/A122 : car or other, not in attribute 6",46,none,own,2,unskilled - resident,2,none,yes,male,single,1
68,... >= 200 DM / salary assignments for at least 1 year,18,existing credits paid back duly till now,radio/television,951,... < 100 DM,.. >= 7 years,1,none,2,real estate,35,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,male,single,1
69,0 <= ... < 200 DM,21,all credits at this bank paid back duly,furniture/equipment,12117,... < 100 DM,... < 1 year,3,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",50,none,own,2,unskilled - resident,2,none,yes,male,single,1
70,< 0 DM,24,all credits at this bank paid back duly,radio/television,2808,unknown/ no savings account,4 <= ... < 7 years,3,none,1,real estate,45,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,1
71,< 0 DM,14,critical account/ other credits existing (not at this bank),car (new),2754,.. >= 1000 DM,unemployed,2,none,3,"if not A121/A122 : car or other, not in attribute 6",62,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,female,divorced/separated,1
72,no checking account,19,existing credits paid back duly till now,business,1028,... < 100 DM,.. >= 7 years,2,none,3,if not A121 : building society savings agreement/ life insurance,27,none,own,1,skilled employee / official,2,none,yes,male,single,1
73,< 0 DM,16,existing credits paid back duly till now,furniture/equipment,2066,... < 100 DM,4 <= ... < 7 years,3,none,3,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes,male,single,1
74,0 <= ... < 200 DM,48,all credits at this bank paid back duly,furniture/equipment,6275,... < 100 DM,... < 1 year,3,co-applicant,2,real estate,35,none,rent,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
75,< 0 DM,24,existing credits paid back duly till now,business,3369,... < 100 DM,4 <= ... < 7 years,2,none,4,unknown / no property,27,none,own,2,skilled employee / official,2,none,yes,male,single,2
76,no checking account,21,existing credits paid back duly till now,furniture/equipment,10539,unknown/ no savings account,... < 1 year,4,none,2,"if not A121/A122 : car or other, not in attribute 6",48,none,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,divorced/separated/married,2
77,< 0 DM,24,existing credits paid back duly till now,furniture/equipment,1420,500 <= ... < 1000 DM,4 <= ... < 7 years,2,none,3,if not A121 : building society savings agreement/ life insurance,63,none,own,1,skilled employee / official,1,none,no,female,divorced/separated/married,2
78,< 0 DM,18,all credits at this bank paid back duly,business,9987,unknown/ no savings account,1 <= ... < 4 years,2,guarantor,3,"if not A121/A122 : car or other, not in attribute 6",46,stores,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
79,< 0 DM,26,existing credits paid back duly till now,domestic appliances,2167,... < 100 DM,1 <= ... < 4 years,2,none,4,real estate,27,none,own,1,skilled employee / official,1,none,yes,male,single,1
80,0 <= ... < 200 DM,37,existing credits paid back duly till now,radio/television,1300,... < 100 DM,.. >= 7 years,2,co-applicant,2,unknown / no property,40,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,female,divorced/separated/married,2
81,< 0 DM,24,existing credits paid back duly till now,business,6541,unknown/ no savings account,... < 1 year,2,none,2,real estate,35,none,for free,1,unskilled - resident,1,none,yes,male,married/widowed,1
82,< 0 DM,13,critical account/ other credits existing (not at this bank),business,1117,... < 100 DM,.. >= 7 years,2,none,1,unknown / no property,61,none,for free,2,skilled employee / official,1,none,yes,female,married/widowed,1
83,... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,car (used),1045,... < 100 DM,1 <= ... < 4 years,1,none,2,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,married/widowed,1
84,< 0 DM,37,all credits at this bank paid back duly,repairs,2501,... < 100 DM,.. >= 7 years,2,none,1,"if not A121/A122 : car or other, not in attribute 6",29,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated/married,2
85,< 0 DM,16,existing credits paid back duly till now,car (used),1225,... < 100 DM,... < 1 year,2,guarantor,1,if not A121 : building society savings agreement/ life insurance,41,none,own,3,skilled employee / official,1,none,no,male,single,1
86,< 0 DM,4,critical account/ other credits existing (not at this bank),business,6562,100 <= ... < 500 DM,.. >= 7 years,4,co-applicant,2,real estate,51,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,2
87,< 0 DM,25,existing credits paid back duly till now,car (used),6759,... < 100 DM,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,35,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single,1
88,no checking account,38,existing credits paid back duly till now,radio/television,2582,unknown/ no savings account,... < 1 year,2,none,2,"if not A121/A122 : car or other, not in attribute 6",37,bank,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
89,no checking account,16,critical account/ other credits existing (not at this bank),car (used),2121,... < 100 DM,1 <= ... < 4 years,4,none,4,unknown / no property,27,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
90,no checking account,37,existing credits paid back duly till now,furniture/equipment,6730,.. >= 1000 DM,unemployed,3,none,3,if not A121 : building society savings agreement/ life insurance,35,stores,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,female,divorced/separated/married,1
91,no checking account,18,critical account/ other credits existing (not at this bank),car (new),6854,... < 100 DM,.. >= 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,27,none,own,3,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1
92,< 0 DM,15,existing credits paid back duly till now,car (new),2127,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,35,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
93,< 0 DM,13,critical account/ other credits existing (not at this bank),radio/television,1045,... < 100 DM,4 <= ... < 7 years,2,none,1,if not A121 : building society savings agreement/ life insurance,28,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married,1
94,no checking account,25,existing credits paid back duly till now,radio/television,2050,500 <= ... < 1000 DM,1 <= ... < 4 years,2,none,3,real estate,27,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
95,0 <= ... < 200 DM,46,existing credits paid back duly till now,business,4348,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,49,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",no,male,single,1
