checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,sex,personal-status,class-label
0 <= ... < 200 DM,41,no credits taken/ all credits paid back duly,domestic appliances,5849,100 <= ... < 500 DM,.. >= 7 years,2,none,3,unknown / no property,28,none,for free,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single,2
no checking account,37,critical account/ other credits existing (not at this bank),furniture/equipment,5003,unknown/ no savings account,.. >= 7 years,2,none,3,unknown / no property,33,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,1
no checking account,12,existing credits paid back duly till now,car (new),2327,... < 100 DM,1 <= ... < 4 years,2,guarantor,4,if not A121 : building society savings agreement/ life insurance,21,bank,own,1,unemployed/ unskilled - non-resident,1,none,yes,female,divorced/separated/married,2
no checking account,12,existing credits paid back duly till now,radio/television,3893,100 <= ... < 500 DM,.. >= 7 years,3,none,4,if not A121 : building society savings agreement/ life insurance,37,none,own,2,unskilled - resident,1,none,yes,male,single,1
0 <= ... < 200 DM,24,existing credits paid back duly till now,business,3695,... < 100 DM,.. >= 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,29,none,own,2,skilled employee / official,1,none,yes,male,single,1
no checking account,26,no credits taken/ all credits paid back duly,business,5852,... < 100 DM,.. >= 7 years,2,none,2,if not A121 : building society savings agreement/ life insurance,28,none,own,2,skilled employee / official,1,none,yes,male,single,1
< 0 DM,11,existing credits paid back duly till now,radio/television,1064,... < 100 DM,1 <= ... < 4 years,2,guarantor,2,real estate,27,none,own,1,skilled employee / official,1,none,no,female,divorced/separated/married,1
0 <= ... < 200 DM,44,no credits taken/ all credits paid back duly,car (new),9528,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,1,"if not A121/A122 : car or other, not in attribute 6",36,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,2
0 <= ... < 200 DM,28,no credits taken/ all credits paid back duly,business,2589,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,2,real estate,34,stores,rent,2,skilled employee / official,2,none,yes,male,single,1
< 0 DM,24,existing credits paid back duly till now,radio/television,6061,500 <= ... < 1000 DM,1 <= ... < 4 years,2,none,4,if not A121 : building society savings agreement/ life insurance,38,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single,2
