,checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
0,0 <= ... < 200 DM,4,existing credits paid back duly till now,car (new),359,unknown/ no savings account,unemployed,1,none,2,real estate,28,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
1,0 <= ... < 200 DM,10,delay in paying off in the past,car (new),1615,.. >= 1000 DM,4 <= ... < 7 years,3,none,4,unknown / no property,30,none,rent,2,unskilled - resident,1,none,yes,2,female,divorced/separated/married
2,no checking account,8,critical account/ other credits existing (not at this bank),radio/television,666,... < 100 DM,1 <= ... < 4 years,2,none,3,real estate,29,none,own,2,skilled employee / official,1,none,yes,1,female,divorced/separated/married
3,0 <= ... < 200 DM,24,delay in paying off in the past,car (new),1237,unknown/ no savings account,.. >= 7 years,4,none,3,unknown / no property,41,none,for free,3,skilled employee / official,2,none,yes,2,male,single
4,no checking account,6,critical account/ other credits existing (not at this bank),car (new),2380,... < 100 DM,.. >= 7 years,1,none,4,"if not A121/A122 : car or other, not in attribute 6",51,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
5,no checking account,34,critical account/ other credits existing (not at this bank),business,6946,... < 100 DM,.. >= 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",44,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
6,no checking account,32,no credits taken/ all credits paid back duly,radio/television,4494,unknown/ no savings account,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
7,< 0 DM,21,existing credits paid back duly till now,car (new),2599,... < 100 DM,... < 1 year,1,none,2,real estate,66,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
8,< 0 DM,14,existing credits paid back duly till now,furniture/equipment,6061,unknown/ no savings account,... < 1 year,4,none,1,if not A121 : building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
9,0 <= ... < 200 DM,24,all credits at this bank paid back duly,car (new),1351,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,60,none,for free,1,skilled employee / official,2,none,yes,1,male,single
10,0 <= ... < 200 DM,11,delay in paying off in the past,radio/television,3348,unknown/ no savings account,1 <= ... < 4 years,1,guarantor,2,if not A121 : building society savings agreement/ life insurance,25,none,own,1,unskilled - resident,1,none,yes,1,male,single
11,< 0 DM,23,delay in paying off in the past,car (new),2886,... < 100 DM,... < 1 year,4,none,3,if not A121 : building society savings agreement/ life insurance,26,none,for free,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
12,0 <= ... < 200 DM,13,critical account/ other credits existing (not at this bank),car (new),4337,.. >= 1000 DM,... < 1 year,1,none,3,"if not A121/A122 : car or other, not in attribute 6",32,none,own,2,skilled employee / official,2,"yes, registered under the customers name",yes,1,male,divorced/separated/married
13,no checking account,37,critical account/ other credits existing (not at this bank),radio/television,4232,unknown/ no savings account,.. >= 7 years,4,none,4,real estate,41,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
14,0 <= ... < 200 DM,34,all credits at this bank paid back duly,business,3224,... < 100 DM,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",29,stores,own,2,skilled employee / official,1,none,yes,2,male,single
15,0 <= ... < 200 DM,34,existing credits paid back duly till now,radio/television,2657,... < 100 DM,... < 1 year,4,none,4,real estate,44,none,own,1,unskilled - resident,2,none,yes,2,female,divorced/separated/married
16,< 0 DM,30,existing credits paid back duly till now,car (used),7116,... < 100 DM,1 <= ... < 4 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",29,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
17,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),4160,... < 100 DM,4 <= ... < 7 years,1,none,4,unknown / no property,27,none,rent,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
18,no checking account,10,all credits at this bank paid back duly,furniture/equipment,2925,500 <= ... < 1000 DM,... < 1 year,1,none,4,if not A121 : building society savings agreement/ life insurance,26,bank,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
19,0 <= ... < 200 DM,16,existing credits paid back duly till now,car (new),3045,... < 100 DM,... < 1 year,2,none,1,if not A121 : building society savings agreement/ life insurance,24,none,own,3,skilled employee / official,1,none,yes,1,female,divorced/separated/married
20,< 0 DM,7,existing credits paid back duly till now,radio/television,1042,... < 100 DM,1 <= ... < 4 years,3,none,2,real estate,27,none,own,2,unskilled - resident,1,none,yes,1,male,married/widowed
21,0 <= ... < 200 DM,9,existing credits paid back duly till now,business,1149,100 <= ... < 500 DM,1 <= ... < 4 years,3,none,2,unknown / no property,51,none,own,1,skilled employee / official,1,none,yes,2,male,single
22,no checking account,7,critical account/ other credits existing (not at this bank),car (new),1357,.. >= 1000 DM,... < 1 year,1,none,3,real estate,34,none,own,1,unskilled - resident,2,none,yes,1,female,divorced/separated/married
23,... >= 200 DM / salary assignments for at least 1 year,24,all credits at this bank paid back duly,repairs,6002,... < 100 DM,... < 1 year,4,none,4,unknown / no property,53,stores,for free,2,skilled employee / official,1,none,yes,1,male,single
24,no checking account,10,existing credits paid back duly till now,furniture/equipment,3769,unknown/ no savings account,1 <= ... < 4 years,1,none,4,real estate,25,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,divorced/separated
25,0 <= ... < 200 DM,23,existing credits paid back duly till now,car (new),1802,100 <= ... < 500 DM,unemployed,4,none,4,"if not A121/A122 : car or other, not in attribute 6",55,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
26,0 <= ... < 200 DM,34,existing credits paid back duly till now,radio/television,2971,unknown/ no savings account,4 <= ... < 7 years,4,none,4,real estate,43,none,own,2,skilled employee / official,1,none,yes,1,male,single
27,0 <= ... < 200 DM,18,existing credits paid back duly till now,car (used),2457,... < 100 DM,.. >= 7 years,3,none,4,unknown / no property,60,none,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes,2,male,single
28,< 0 DM,23,delay in paying off in the past,education,1205,100 <= ... < 500 DM,.. >= 7 years,4,none,3,unknown / no property,30,none,for free,2,skilled employee / official,2,none,yes,2,male,single
29,no checking account,43,critical account/ other credits existing (not at this bank),business,2182,... < 100 DM,1 <= ... < 4 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,divorced/separated
30,0 <= ... < 200 DM,23,existing credits paid back duly till now,radio/television,875,... < 100 DM,1 <= ... < 4 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,1,female,divorced/separated/married
31,no checking account,10,no credits taken/ all credits paid back duly,education,3964,... < 100 DM,4 <= ... < 7 years,2,none,4,real estate,38,none,own,2,skilled employee / official,2,none,yes,1,male,single
32,0 <= ... < 200 DM,10,existing credits paid back duly till now,car (new),1351,... < 100 DM,unemployed,1,none,3,if not A121 : building society savings agreement/ life insurance,29,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
33,< 0 DM,24,existing credits paid back duly till now,radio/television,6945,... < 100 DM,unemployed,2,none,4,unknown / no property,46,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,2,male,single
34,no checking account,9,existing credits paid back duly till now,furniture/equipment,2679,... < 100 DM,4 <= ... < 7 years,2,none,4,real estate,32,none,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
35,0 <= ... < 200 DM,5,existing credits paid back duly till now,furniture/equipment,975,unknown/ no savings account,... < 1 year,4,none,4,real estate,30,none,rent,1,unskilled - resident,1,none,no,1,female,divorced/separated/married
36,< 0 DM,8,existing credits paid back duly till now,radio/television,790,unknown/ no savings account,... < 1 year,4,none,1,real estate,40,none,own,1,skilled employee / official,1,none,yes,1,male,single
37,< 0 DM,11,existing credits paid back duly till now,education,1774,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,41,stores,own,1,skilled employee / official,1,none,yes,2,male,single
38,0 <= ... < 200 DM,14,existing credits paid back duly till now,radio/television,3261,unknown/ no savings account,4 <= ... < 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,none,yes,2,male,single
