checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
... >= 200 DM / salary assignments for at least 1 year,11,existing credits paid back duly till now,education,1340,500 <= ... < 1000 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
no checking account,11,existing credits paid back duly till now,furniture/equipment,600,500 <= ... < 1000 DM,.. >= 7 years,4,none,4,real estate,32,none,for free,1,unskilled - resident,2,none,yes,1,male,single
0 <= ... < 200 DM,12,existing credits paid back duly till now,furniture/equipment,2904,... < 100 DM,... < 1 year,2,none,3,if not A121 : building society savings agreement/ life insurance,34,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,10,existing credits paid back duly till now,furniture/equipment,789,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,2,real estate,41,none,rent,1,unskilled - resident,1,none,yes,1,male,divorced/separated/married
< 0 DM,11,existing credits paid back duly till now,radio/television,1588,... < 100 DM,1 <= ... < 4 years,1,none,1,if not A121 : building society savings agreement/ life insurance,26,bank,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
no checking account,12,existing credits paid back duly till now,furniture/equipment,1912,500 <= ... < 1000 DM,1 <= ... < 4 years,1,none,2,"if not A121/A122 : car or other, not in attribute 6",20,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
no checking account,46,existing credits paid back duly till now,car (new),7430,... < 100 DM,1 <= ... < 4 years,1,none,4,"if not A121/A122 : car or other, not in attribute 6",21,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
... >= 200 DM / salary assignments for at least 1 year,23,critical account/ other credits existing (not at this bank),car (new),6849,100 <= ... < 500 DM,.. >= 7 years,4,none,2,real estate,40,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
< 0 DM,18,critical account/ other credits existing (not at this bank),radio/television,4229,... < 100 DM,unemployed,4,none,2,if not A121 : building society savings agreement/ life insurance,27,bank,own,2,skilled employee / official,1,none,yes,2,male,single
0 <= ... < 200 DM,23,critical account/ other credits existing (not at this bank),radio/television,1357,... < 100 DM,4 <= ... < 7 years,2,none,2,if not A121 : building society savings agreement/ life insurance,26,none,for free,2,skilled employee / official,1,none,yes,1,male,single
0 <= ... < 200 DM,43,existing credits paid back duly till now,furniture/equipment,8447,... < 100 DM,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,25,none,own,3,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,male,single
0 <= ... < 200 DM,46,no credits taken/ all credits paid back duly,car (new),3612,... < 100 DM,... < 1 year,2,co-applicant,2,unknown / no property,22,none,own,1,skilled employee / official,1,none,yes,2,male,single
no checking account,22,critical account/ other credits existing (not at this bank),education,1762,500 <= ... < 1000 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",68,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes,1,male,single
no checking account,15,delay in paying off in the past,radio/television,860,... < 100 DM,.. >= 7 years,4,none,4,real estate,56,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
< 0 DM,17,critical account/ other credits existing (not at this bank),radio/television,3017,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,59,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,divorced/separated
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1456,... < 100 DM,.. >= 7 years,1,none,2,real estate,44,none,own,2,unskilled - resident,2,none,yes,1,male,single
no checking account,12,existing credits paid back duly till now,education,1837,... < 100 DM,1 <= ... < 4 years,1,none,2,real estate,35,none,own,2,skilled employee / official,1,none,no,1,male,single
... >= 200 DM / salary assignments for at least 1 year,13,existing credits paid back duly till now,car (used),4442,unknown/ no savings account,.. >= 7 years,4,co-applicant,4,"if not A121/A122 : car or other, not in attribute 6",21,bank,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1,male,married/widowed
no checking account,8,critical account/ other credits existing (not at this bank),radio/television,3832,... < 100 DM,1 <= ... < 4 years,2,none,3,unknown / no property,36,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),1840,... < 100 DM,unemployed,4,co-applicant,3,"if not A121/A122 : car or other, not in attribute 6",41,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,2,male,single
< 0 DM,11,existing credits paid back duly till now,radio/television,1432,100 <= ... < 500 DM,unemployed,1,none,1,real estate,24,none,rent,1,skilled employee / official,1,none,yes,1,male,single
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1852,unknown/ no savings account,.. >= 7 years,4,none,4,real estate,39,bank,own,2,unemployed/ unskilled - non-resident,2,none,yes,1,male,single
no checking account,12,critical account/ other credits existing (not at this bank),business,1086,... < 100 DM,.. >= 7 years,4,none,4,real estate,20,none,own,1,skilled employee / official,2,none,yes,1,male,married/widowed
... >= 200 DM / salary assignments for at least 1 year,13,existing credits paid back duly till now,radio/television,1064,... < 100 DM,.. >= 7 years,4,none,4,real estate,40,none,for free,1,unskilled - resident,1,"yes, registered under the customers name",yes,2,male,single
< 0 DM,8,existing credits paid back duly till now,education,757,100 <= ... < 500 DM,... < 1 year,4,none,1,real estate,36,none,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
no checking account,9,critical account/ other credits existing (not at this bank),education,1876,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",32,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,male,single
0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,1454,unknown/ no savings account,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,40,bank,rent,1,skilled employee / official,1,none,no,2,female,divorced/separated/married
no checking account,23,existing credits paid back duly till now,radio/television,3079,500 <= ... < 1000 DM,.. >= 7 years,3,none,4,if not A121 : building society savings agreement/ life insurance,39,none,rent,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
no checking account,16,delay in paying off in the past,furniture/equipment,8793,... < 100 DM,1 <= ... < 4 years,2,co-applicant,2,if not A121 : building society savings agreement/ life insurance,34,none,own,3,unskilled - resident,1,"yes, registered under the customers name",yes,2,male,single
0 <= ... < 200 DM,33,all credits at this bank paid back duly,car (used),5726,... < 100 DM,.. >= 7 years,3,guarantor,4,unknown / no property,61,stores,for free,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
no checking account,9,critical account/ other credits existing (not at this bank),car (new),916,500 <= ... < 1000 DM,.. >= 7 years,2,none,2,real estate,62,none,own,2,unskilled - resident,2,none,yes,1,male,single
no checking account,16,critical account/ other credits existing (not at this bank),radio/television,2546,... < 100 DM,unemployed,1,none,4,"if not A121/A122 : car or other, not in attribute 6",50,none,own,2,skilled employee / official,2,"yes, registered under the customers name",no,1,male,single
0 <= ... < 200 DM,22,existing credits paid back duly till now,radio/television,1109,... < 100 DM,... < 1 year,4,none,3,"if not A121/A122 : car or other, not in attribute 6",30,none,rent,1,skilled employee / official,1,none,yes,1,male,divorced/separated/married
0 <= ... < 200 DM,11,existing credits paid back duly till now,radio/television,1249,... < 100 DM,1 <= ... < 4 years,4,none,1,"if not A121/A122 : car or other, not in attribute 6",23,none,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
no checking account,21,critical account/ other credits existing (not at this bank),car (new),1980,... < 100 DM,.. >= 7 years,1,none,2,"if not A121/A122 : car or other, not in attribute 6",54,none,own,1,unskilled - resident,1,none,yes,1,male,single
no checking account,15,critical account/ other credits existing (not at this bank),car (new),1976,... < 100 DM,.. >= 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,45,none,own,1,skilled employee / official,2,none,no,1,male,single
... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,662,... < 100 DM,... < 1 year,1,none,2,if not A121 : building society savings agreement/ life insurance,22,none,rent,1,skilled employee / official,2,none,yes,2,female,divorced/separated/married
< 0 DM,9,existing credits paid back duly till now,radio/television,1390,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,3,if not A121 : building society savings agreement/ life insurance,43,none,own,1,skilled employee / official,1,none,no,1,male,single
< 0 DM,13,critical account/ other credits existing (not at this bank),radio/television,1767,... < 100 DM,.. >= 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,43,none,own,2,skilled employee / official,1,none,yes,1,male,single
no checking account,12,existing credits paid back duly till now,furniture/equipment,1134,... < 100 DM,.. >= 7 years,1,none,2,real estate,29,none,own,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
< 0 DM,12,existing credits paid back duly till now,radio/television,1809,... < 100 DM,1 <= ... < 4 years,4,none,1,"if not A121/A122 : car or other, not in attribute 6",28,none,rent,2,skilled employee / official,1,none,yes,2,female,divorced/separated/married
no checking account,9,existing credits paid back duly till now,business,1858,.. >= 1000 DM,... < 1 year,1,none,2,real estate,25,none,own,2,unemployed/ unskilled - non-resident,1,none,yes,1,female,divorced/separated/married
