,checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
0,no checking account,9,critical account/ other credits existing (not at this bank),furniture/equipment,814,... < 100 DM,1 <= ... < 4 years,4,none,4,real estate,20,none,rent,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
1,no checking account,11,critical account/ other credits existing (not at this bank),radio/television,1474,100 <= ... < 500 DM,... < 1 year,3,none,4,"if not A121/A122 : car or other, not in attribute 6",22,none,rent,2,unskilled - resident,1,none,yes,1,female,divorced/separated/married
2,< 0 DM,15,critical account/ other credits existing (not at this bank),car (new),875,... < 100 DM,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",53,bank,own,1,skilled employee / official,1,none,yes,1,male,divorced/separated
3,no checking account,11,existing credits paid back duly till now,car (new),3092,500 <= ... < 1000 DM,4 <= ... < 7 years,2,none,4,unknown / no property,44,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
4,< 0 DM,24,existing credits paid back duly till now,car (used),3445,... < 100 DM,1 <= ... < 4 years,3,none,4,unknown / no property,48,none,rent,1,skilled employee / official,2,none,yes,2,male,single
5,0 <= ... < 200 DM,72,existing credits paid back duly till now,business,18424,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",19,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
6,no checking account,9,critical account/ other credits existing (not at this bank),radio/television,725,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,4,if not A121 : building society savings agreement/ life insurance,24,none,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
7,< 0 DM,7,existing credits paid back duly till now,business,1342,... < 100 DM,1 <= ... < 4 years,1,none,1,real estate,25,none,rent,1,unskilled - resident,2,none,yes,1,female,divorced/separated/married
8,no checking account,4,critical account/ other credits existing (not at this bank),car (new),250,... < 100 DM,4 <= ... < 7 years,1,none,2,real estate,74,none,own,1,unskilled - resident,2,none,yes,1,male,single
9,< 0 DM,36,existing credits paid back duly till now,car (new),1714,... < 100 DM,... < 1 year,4,none,4,unknown / no property,30,none,rent,2,skilled employee / official,1,none,yes,2,female,divorced/separated/married
10,0 <= ... < 200 DM,72,existing credits paid back duly till now,business,18424,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",19,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
11,no checking account,15,existing credits paid back duly till now,education,1204,... < 100 DM,1 <= ... < 4 years,4,none,4,real estate,23,none,rent,2,unskilled - resident,1,none,yes,2,female,divorced/separated/married
12,no checking account,24,existing credits paid back duly till now,car (new),4268,100 <= ... < 500 DM,... < 1 year,4,none,2,"if not A121/A122 : car or other, not in attribute 6",23,none,rent,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
13,0 <= ... < 200 DM,72,existing credits paid back duly till now,radio/television,18424,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",19,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
