checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
0 <= ... < 200 DM,9,no credits taken/ all credits paid back duly,retraining,1116,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,31,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1,male,single
no checking account,24,delay in paying off in the past,business,4281,500 <= ... < 1000 DM,1 <= ... < 4 years,1,none,2,if not A121 : building society savings agreement/ life insurance,32,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
no checking account,45,delay in paying off in the past,radio/television,15333,... < 100 DM,4 <= ... < 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,24,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
< 0 DM,24,critical account/ other credits existing (not at this bank),radio/television,2241,unknown/ no savings account,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,skilled employee / official,1,none,yes,1,male,single
no checking account,14,delay in paying off in the past,business,2176,100 <= ... < 500 DM,1 <= ... < 4 years,2,none,2,real estate,28,none,own,2,unskilled - resident,1,none,yes,1,male,single
no checking account,4,critical account/ other credits existing (not at this bank),car (new),1490,... < 100 DM,.. >= 7 years,2,none,4,real estate,44,none,own,3,unskilled - resident,2,none,yes,1,male,single
no checking account,4,critical account/ other credits existing (not at this bank),car (new),250,... < 100 DM,4 <= ... < 7 years,2,none,1,real estate,19,none,own,3,unskilled - resident,2,none,yes,1,male,single
no checking account,22,existing credits paid back duly till now,car (new),3054,100 <= ... < 500 DM,... < 1 year,4,none,3,if not A121 : building society savings agreement/ life insurance,32,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,27,no credits taken/ all credits paid back duly,business,4166,unknown/ no savings account,... < 1 year,3,none,4,"if not A121/A122 : car or other, not in attribute 6",25,bank,rent,2,skilled employee / official,1,none,yes,2,female,divorced/separated/married
0 <= ... < 200 DM,33,critical account/ other credits existing (not at this bank),radio/television,3418,... < 100 DM,... < 1 year,4,none,1,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,none,yes,1,male,single
0 <= ... < 200 DM,72,delay in paying off in the past,car (new),15672,... < 100 DM,4 <= ... < 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",19,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
no checking account,17,existing credits paid back duly till now,radio/television,815,500 <= ... < 1000 DM,.. >= 7 years,4,none,3,if not A121 : building society savings agreement/ life insurance,43,stores,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,4,critical account/ other credits existing (not at this bank),education,513,... < 100 DM,1 <= ... < 4 years,2,none,4,if not A121 : building society savings agreement/ life insurance,66,none,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
no checking account,4,existing credits paid back duly till now,radio/television,2357,... < 100 DM,... < 1 year,2,none,1,real estate,40,none,own,1,unskilled - resident,2,none,yes,1,male,single
< 0 DM,23,existing credits paid back duly till now,car (new),2256,... < 100 DM,4 <= ... < 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",32,none,rent,1,unskilled - resident,2,none,yes,1,male,single
no checking account,12,critical account/ other credits existing (not at this bank),car (new),1122,.. >= 1000 DM,.. >= 7 years,4,none,4,real estate,59,none,own,2,unskilled - resident,1,none,yes,1,male,single
no checking account,24,existing credits paid back duly till now,radio/television,2653,... < 100 DM,1 <= ... < 4 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,none,yes,1,male,single
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),2833,500 <= ... < 1000 DM,.. >= 7 years,4,none,4,unknown / no property,35,bank,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,38,existing credits paid back duly till now,radio/television,6348,... < 100 DM,... < 1 year,4,none,1,unknown / no property,29,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
no checking account,18,existing credits paid back duly till now,furniture/equipment,1560,.. >= 1000 DM,.. >= 7 years,4,none,4,real estate,35,bank,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
0 <= ... < 200 DM,34,critical account/ other credits existing (not at this bank),business,10645,... < 100 DM,.. >= 7 years,2,none,2,unknown / no property,36,none,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,2,male,single
< 0 DM,22,existing credits paid back duly till now,car (new),1260,unknown/ no savings account,1 <= ... < 4 years,4,none,2,if not A121 : building society savings agreement/ life insurance,34,none,own,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
0 <= ... < 200 DM,14,existing credits paid back duly till now,radio/television,1321,... < 100 DM,1 <= ... < 4 years,4,guarantor,4,real estate,45,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),3932,500 <= ... < 1000 DM,... < 1 year,3,none,4,"if not A121/A122 : car or other, not in attribute 6",29,none,rent,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
no checking account,14,existing credits paid back duly till now,radio/television,3933,... < 100 DM,.. >= 7 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",61,bank,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
< 0 DM,12,existing credits paid back duly till now,domestic appliances,842,unknown/ no savings account,... < 1 year,4,none,2,if not A121 : building society savings agreement/ life insurance,27,none,own,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
no checking account,30,existing credits paid back duly till now,business,6320,... < 100 DM,.. >= 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,35,none,rent,1,skilled employee / official,1,none,yes,1,male,single
no checking account,14,existing credits paid back duly till now,car (new),1252,... < 100 DM,.. >= 7 years,4,none,4,real estate,41,none,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
no checking account,14,critical account/ other credits existing (not at this bank),furniture/equipment,3102,... < 100 DM,4 <= ... < 7 years,2,co-applicant,3,"if not A121/A122 : car or other, not in attribute 6",24,bank,own,2,skilled employee / official,1,none,yes,1,female,divorced/separated/married
0 <= ... < 200 DM,17,existing credits paid back duly till now,radio/television,1416,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,skilled employee / official,1,none,yes,1,male,single
0 <= ... < 200 DM,24,delay in paying off in the past,furniture/equipment,2874,... < 100 DM,1 <= ... < 4 years,1,none,2,if not A121 : building society savings agreement/ life insurance,36,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
< 0 DM,12,critical account/ other credits existing (not at this bank),furniture/equipment,2662,... < 100 DM,1 <= ... < 4 years,3,guarantor,2,if not A121 : building society savings agreement/ life insurance,39,none,own,2,skilled employee / official,1,none,no,1,male,single
no checking account,4,critical account/ other credits existing (not at this bank),car (new),257,... < 100 DM,4 <= ... < 7 years,2,none,1,real estate,45,none,own,3,unskilled - resident,2,none,yes,1,male,single
< 0 DM,41,existing credits paid back duly till now,car (new),7005,... < 100 DM,.. >= 7 years,4,none,4,unknown / no property,48,none,for free,1,management/ self-employed/ highly qualified employee/ officer,2,none,yes,2,male,single
< 0 DM,11,critical account/ other credits existing (not at this bank),car (used),1205,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",25,none,rent,2,skilled employee / official,2,none,yes,1,male,single
no checking account,25,existing credits paid back duly till now,furniture/equipment,5095,... < 100 DM,4 <= ... < 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,23,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
no checking account,13,existing credits paid back duly till now,business,1465,.. >= 1000 DM,4 <= ... < 7 years,4,none,4,real estate,30,none,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
no checking account,28,no credits taken/ all credits paid back duly,car (new),4051,... < 100 DM,1 <= ... < 4 years,2,none,2,if not A121 : building society savings agreement/ life insurance,29,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
< 0 DM,10,existing credits paid back duly till now,furniture/equipment,1541,... < 100 DM,1 <= ... < 4 years,4,none,2,real estate,27,none,own,1,skilled employee / official,1,none,yes,1,male,divorced/separated
no checking account,4,critical account/ other credits existing (not at this bank),car (new),250,... < 100 DM,4 <= ... < 7 years,2,none,1,real estate,58,none,own,3,unskilled - resident,2,none,yes,1,male,single
< 0 DM,36,delay in paying off in the past,education,6687,... < 100 DM,1 <= ... < 4 years,4,none,3,if not A121 : building society savings agreement/ life insurance,28,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
< 0 DM,28,existing credits paid back duly till now,car (new),4883,unknown/ no savings account,unemployed,4,none,1,unknown / no property,33,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,13,existing credits paid back duly till now,radio/television,2516,... < 100 DM,4 <= ... < 7 years,1,none,1,"if not A121/A122 : car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
< 0 DM,9,critical account/ other credits existing (not at this bank),car (new),912,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",51,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,none,yes,1,male,single
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2531,500 <= ... < 1000 DM,.. >= 7 years,3,none,2,"if not A121/A122 : car or other, not in attribute 6",37,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
no checking account,12,existing credits paid back duly till now,furniture/equipment,2286,... < 100 DM,.. >= 7 years,1,none,4,real estate,34,none,rent,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),radio/television,905,... < 100 DM,... < 1 year,4,none,4,real estate,35,none,own,2,unskilled - resident,1,none,yes,1,female,divorced/separated/married
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),radio/television,1374,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",32,none,own,2,skilled employee / official,1,none,yes,1,male,single
0 <= ... < 200 DM,12,existing credits paid back duly till now,education,1316,100 <= ... < 500 DM,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",24,none,rent,1,skilled employee / official,1,none,yes,2,male,single
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),2776,... < 100 DM,1 <= ... < 4 years,3,none,1,"if not A121/A122 : car or other, not in attribute 6",21,none,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
no checking account,11,critical account/ other credits existing (not at this bank),car (new),6377,... < 100 DM,4 <= ... < 7 years,1,none,3,unknown / no property,35,none,own,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1,male,single
< 0 DM,18,all credits at this bank paid back duly,radio/television,2091,... < 100 DM,... < 1 year,3,co-applicant,4,unknown / no property,36,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,1999,... < 100 DM,1 <= ... < 4 years,3,none,4,real estate,35,none,for free,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,2476,... < 100 DM,.. >= 7 years,4,none,3,real estate,37,none,own,1,skilled employee / official,1,none,yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,24,existing credits paid back duly till now,car (new),2184,... < 100 DM,... < 1 year,4,none,2,"if not A121/A122 : car or other, not in attribute 6",26,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,2,female,divorced/separated/married
no checking account,22,critical account/ other credits existing (not at this bank),radio/television,2127,unknown/ no savings account,1 <= ... < 4 years,4,none,4,unknown / no property,46,none,for free,2,unskilled - resident,1,"yes, registered under the customers name",yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,11,critical account/ other credits existing (not at this bank),car (new),742,... < 100 DM,.. >= 7 years,4,none,4,real estate,59,none,own,2,skilled employee / official,1,none,yes,1,male,single
< 0 DM,15,critical account/ other credits existing (not at this bank),car (new),1196,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",42,bank,own,2,skilled employee / official,1,none,yes,2,male,single
0 <= ... < 200 DM,10,critical account/ other credits existing (not at this bank),car (new),1257,... < 100 DM,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,skilled employee / official,1,none,yes,1,female,divorced/separated/married
< 0 DM,34,existing credits paid back duly till now,car (new),9180,... < 100 DM,.. >= 7 years,1,none,2,"if not A121/A122 : car or other, not in attribute 6",39,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
0 <= ... < 200 DM,12,delay in paying off in the past,car (new),3156,... < 100 DM,1 <= ... < 4 years,1,none,4,if not A121 : building society savings agreement/ life insurance,45,none,own,1,skilled employee / official,1,none,yes,1,male,single
0 <= ... < 200 DM,20,existing credits paid back duly till now,radio/television,1584,... < 100 DM,.. >= 7 years,4,guarantor,2,real estate,29,none,own,1,skilled employee / official,1,none,yes,2,male,single
no checking account,13,existing credits paid back duly till now,car (new),2431,... < 100 DM,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",35,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
