checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
0 <= ... < 200 DM,21,all credits at this bank paid back duly,business,1551,... < 100 DM,.. >= 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,50,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,2,female,divorced/separated/married
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),2760,unknown/ no savings account,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",36,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
< 0 DM,30,existing credits paid back duly till now,car (used),2957,... < 100 DM,4 <= ... < 7 years,4,none,3,if not A121 : building society savings agreement/ life insurance,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,single
no checking account,15,existing credits paid back duly till now,education,3612,100 <= ... < 500 DM,1 <= ... < 4 years,1,none,4,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
< 0 DM,9,existing credits paid back duly till now,education,1139,... < 100 DM,4 <= ... < 7 years,4,none,4,if not A121 : building society savings agreement/ life insurance,23,none,rent,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
< 0 DM,6,existing credits paid back duly till now,car (new),2676,... < 100 DM,1 <= ... < 4 years,1,none,4,real estate,45,none,rent,1,unskilled - resident,1,none,yes,2,male,single
0 <= ... < 200 DM,36,existing credits paid back duly till now,repairs,5800,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,none,yes,2,male,single
< 0 DM,24,all credits at this bank paid back duly,furniture/equipment,3522,500 <= ... < 1000 DM,... < 1 year,4,none,4,"if not A121/A122 : car or other, not in attribute 6",22,bank,rent,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
< 0 DM,24,all credits at this bank paid back duly,radio/television,2169,... < 100 DM,1 <= ... < 4 years,4,none,4,unknown / no property,29,none,for free,1,skilled employee / official,1,none,yes,2,male,single
0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),car (used),5800,... < 100 DM,1 <= ... < 4 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,skilled employee / official,1,none,yes,1,male,single
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,2596,unknown/ no savings account,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",36,none,own,2,skilled employee / official,1,none,yes,1,male,single
