,checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
0,0 <= ... < 200 DM,23,existing credits paid back duly till now,car (new),6796,unknown/ no savings account,1 <= ... < 4 years,1,none,2,if not A121 : building society savings agreement/ life insurance,26,bank,own,1,unemployed/ unskilled - non-resident,1,none,yes,2,male,single
1,0 <= ... < 200 DM,11,existing credits paid back duly till now,car (new),1670,... < 100 DM,1 <= ... < 4 years,4,none,4,if not A121 : building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
2,... >= 200 DM / salary assignments for at least 1 year,40,existing credits paid back duly till now,car (used),9041,unknown/ no savings account,.. >= 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",24,none,own,2,skilled employee / official,1,none,yes,1,male,single
3,< 0 DM,9,existing credits paid back duly till now,education,1379,... < 100 DM,1 <= ... < 4 years,4,none,4,unknown / no property,38,none,for free,1,skilled employee / official,1,none,yes,2,male,single
4,0 <= ... < 200 DM,13,existing credits paid back duly till now,radio/television,1941,unknown/ no savings account,.. >= 7 years,2,none,1,real estate,48,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
5,0 <= ... < 200 DM,13,existing credits paid back duly till now,radio/television,1764,... < 100 DM,... < 1 year,4,none,4,real estate,31,none,rent,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
6,no checking account,12,existing credits paid back duly till now,business,1840,... < 100 DM,1 <= ... < 4 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",26,bank,own,1,unskilled - resident,1,none,yes,2,male,single
7,no checking account,23,existing credits paid back duly till now,radio/television,4024,... < 100 DM,.. >= 7 years,4,none,4,real estate,59,none,own,1,skilled employee / official,1,none,yes,1,male,single
8,< 0 DM,17,existing credits paid back duly till now,car (new),7317,... < 100 DM,unemployed,3,none,4,if not A121 : building society savings agreement/ life insurance,46,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2,male,divorced/separated
9,no checking account,6,critical account/ other credits existing (not at this bank),car (new),1286,unknown/ no savings account,.. >= 7 years,4,none,4,real estate,38,bank,own,2,unskilled - resident,1,none,yes,1,male,single
10,0 <= ... < 200 DM,12,existing credits paid back duly till now,business,3851,... < 100 DM,.. >= 7 years,1,none,1,real estate,32,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
11,< 0 DM,24,existing credits paid back duly till now,radio/television,3259,... < 100 DM,... < 1 year,4,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes,2,male,divorced/separated/married
12,no checking account,11,critical account/ other credits existing (not at this bank),business,7544,... < 100 DM,1 <= ... < 4 years,1,none,4,unknown / no property,38,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1,male,single
13,no checking account,14,existing credits paid back duly till now,car (new),1862,unknown/ no savings account,1 <= ... < 4 years,4,none,2,if not A121 : building society savings agreement/ life insurance,45,none,own,1,unskilled - resident,1,none,yes,1,male,married/widowed
14,no checking account,42,existing credits paid back duly till now,car (new),8403,unknown/ no savings account,... < 1 year,4,none,1,unknown / no property,27,none,own,1,skilled employee / official,1,none,yes,1,male,single
15,no checking account,23,existing credits paid back duly till now,radio/television,1228,unknown/ no savings account,... < 1 year,4,none,4,real estate,37,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
16,no checking account,8,critical account/ other credits existing (not at this bank),car (new),1349,... < 100 DM,1 <= ... < 4 years,2,none,2,real estate,34,none,own,1,unskilled - resident,2,none,yes,1,male,single
17,no checking account,9,existing credits paid back duly till now,furniture/equipment,2821,unknown/ no savings account,.. >= 7 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",43,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
18,0 <= ... < 200 DM,35,delay in paying off in the past,radio/television,1716,unknown/ no savings account,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,skilled employee / official,1,none,yes,1,male,single
19,no checking account,23,existing credits paid back duly till now,radio/television,2905,unknown/ no savings account,unemployed,1,none,1,unknown / no property,24,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
20,no checking account,13,critical account/ other credits existing (not at this bank),car (used),3589,... < 100 DM,.. >= 7 years,1,co-applicant,4,unknown / no property,51,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,single
21,no checking account,22,existing credits paid back duly till now,furniture/equipment,2571,... < 100 DM,1 <= ... < 4 years,1,none,2,real estate,22,none,own,1,skilled employee / official,1,none,yes,1,male,divorced/separated/married
22,0 <= ... < 200 DM,13,delay in paying off in the past,business,3605,unknown/ no savings account,1 <= ... < 4 years,1,none,4,real estate,40,none,rent,1,unskilled - resident,1,none,yes,1,male,single
23,< 0 DM,13,existing credits paid back duly till now,furniture/equipment,3616,... < 100 DM,4 <= ... < 7 years,1,none,1,unknown / no property,25,none,own,1,skilled employee / official,1,none,yes,1,male,single
24,< 0 DM,9,existing credits paid back duly till now,furniture/equipment,1457,... < 100 DM,4 <= ... < 7 years,4,none,4,real estate,49,bank,own,1,unskilled - resident,1,none,yes,1,male,single
25,no checking account,32,critical account/ other credits existing (not at this bank),radio/television,3125,.. >= 1000 DM,.. >= 7 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",29,none,rent,2,skilled employee / official,2,none,yes,1,male,single
26,no checking account,7,critical account/ other credits existing (not at this bank),furniture/equipment,1098,.. >= 1000 DM,1 <= ... < 4 years,3,none,4,real estate,38,none,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
27,no checking account,11,existing credits paid back duly till now,radio/television,1460,100 <= ... < 500 DM,1 <= ... < 4 years,3,none,1,real estate,26,none,own,2,skilled employee / official,1,none,yes,1,male,single
28,no checking account,7,existing credits paid back duly till now,car (new),537,... < 100 DM,4 <= ... < 7 years,4,none,2,real estate,24,none,own,1,unskilled - resident,1,none,yes,2,female,divorced/separated/married
29,no checking account,11,delay in paying off in the past,car (new),1294,... < 100 DM,4 <= ... < 7 years,3,none,2,if not A121 : building society savings agreement/ life insurance,54,none,own,2,unskilled - resident,1,none,yes,1,male,divorced/separated/married
30,0 <= ... < 200 DM,11,existing credits paid back duly till now,car (new),1476,... < 100 DM,... < 1 year,4,none,3,"if not A121/A122 : car or other, not in attribute 6",29,bank,own,1,unskilled - resident,1,none,yes,2,male,single
31,0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),1606,... < 100 DM,1 <= ... < 4 years,1,guarantor,4,unknown / no property,25,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
32,no checking account,23,existing credits paid back duly till now,business,2153,... < 100 DM,4 <= ... < 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,rent,1,skilled employee / official,1,none,yes,1,male,married/widowed
33,no checking account,14,critical account/ other credits existing (not at this bank),car (used),6622,... < 100 DM,.. >= 7 years,3,none,4,unknown / no property,25,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,male,single
34,0 <= ... < 200 DM,39,existing credits paid back duly till now,business,3693,unknown/ no savings account,4 <= ... < 7 years,4,none,1,if not A121 : building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,2,none,yes,1,male,single
35,0 <= ... < 200 DM,11,no credits taken/ all credits paid back duly,radio/television,1338,... < 100 DM,1 <= ... < 4 years,3,none,4,"if not A121/A122 : car or other, not in attribute 6",33,none,own,2,skilled employee / official,1,none,yes,1,female,divorced/separated/married
36,< 0 DM,14,existing credits paid back duly till now,furniture/equipment,1942,... < 100 DM,.. >= 7 years,3,none,4,if not A121 : building society savings agreement/ life insurance,25,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
37,0 <= ... < 200 DM,13,delay in paying off in the past,radio/television,1275,... < 100 DM,1 <= ... < 4 years,4,guarantor,2,real estate,24,none,own,1,skilled employee / official,1,none,yes,1,male,divorced/separated
38,0 <= ... < 200 DM,10,critical account/ other credits existing (not at this bank),car (used),3518,... < 100 DM,.. >= 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,50,none,rent,2,unskilled - resident,1,none,yes,1,male,single
39,0 <= ... < 200 DM,42,critical account/ other credits existing (not at this bank),car (used),4412,100 <= ... < 500 DM,4 <= ... < 7 years,4,none,1,"if not A121/A122 : car or other, not in attribute 6",24,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,divorced/separated
40,< 0 DM,23,delay in paying off in the past,business,3654,100 <= ... < 500 DM,4 <= ... < 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",26,none,rent,1,unskilled - resident,1,none,yes,2,female,divorced/separated/married
41,< 0 DM,23,existing credits paid back duly till now,car (new),1547,.. >= 1000 DM,... < 1 year,4,none,4,real estate,50,none,own,1,unskilled - resident,1,none,yes,1,male,single
42,< 0 DM,31,all credits at this bank paid back duly,furniture/equipment,7914,... < 100 DM,.. >= 7 years,4,none,4,real estate,43,bank,own,2,skilled employee / official,1,none,yes,2,male,divorced/separated
43,< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),1294,... < 100 DM,4 <= ... < 7 years,4,none,4,real estate,25,none,own,1,skilled employee / official,1,none,yes,1,male,single
44,< 0 DM,13,existing credits paid back duly till now,furniture/equipment,3725,... < 100 DM,... < 1 year,2,none,3,if not A121 : building society savings agreement/ life insurance,27,none,own,1,skilled employee / official,1,none,yes,2,male,single
