checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,number-people-provide-maintenance-for,telephone,foreign-worker,class-label,sex,personal-status
no checking account,27,existing credits paid back duly till now,car (used),11910,... < 100 DM,1 <= ... < 4 years,4,none,4,if not A121 : building society savings agreement/ life insurance,54,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
0 <= ... < 200 DM,14,delay in paying off in the past,radio/television,1667,... < 100 DM,.. >= 7 years,3,guarantor,4,real estate,46,bank,rent,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
< 0 DM,37,existing credits paid back duly till now,radio/television,3476,unknown/ no savings account,4 <= ... < 7 years,4,none,2,unknown / no property,24,none,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
no checking account,7,critical account/ other credits existing (not at this bank),radio/television,1260,100 <= ... < 500 DM,1 <= ... < 4 years,1,none,1,if not A121 : building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,married/widowed
0 <= ... < 200 DM,17,no credits taken/ all credits paid back duly,furniture/equipment,3846,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
... >= 200 DM / salary assignments for at least 1 year,37,critical account/ other credits existing (not at this bank),business,6060,unknown/ no savings account,... < 1 year,4,none,2,if not A121 : building society savings agreement/ life insurance,44,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
< 0 DM,24,existing credits paid back duly till now,car (new),1752,... < 100 DM,... < 1 year,4,none,1,if not A121 : building society savings agreement/ life insurance,48,none,rent,1,skilled employee / official,1,none,yes,2,male,single
no checking account,6,critical account/ other credits existing (not at this bank),domestic appliances,2037,... < 100 DM,4 <= ... < 7 years,2,none,2,real estate,28,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",no,1,male,married/widowed
no checking account,35,existing credits paid back duly till now,education,1774,... < 100 DM,1 <= ... < 4 years,4,none,4,unknown / no property,52,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
no checking account,39,critical account/ other credits existing (not at this bank),radio/television,9870,.. >= 1000 DM,4 <= ... < 7 years,4,none,4,unknown / no property,26,stores,own,1,skilled employee / official,1,none,yes,1,male,single
< 0 DM,4,critical account/ other credits existing (not at this bank),car (new),1032,... < 100 DM,.. >= 7 years,2,none,1,real estate,58,none,own,2,unemployed/ unskilled - non-resident,2,none,yes,1,male,single
< 0 DM,25,existing credits paid back duly till now,radio/television,8321,... < 100 DM,1 <= ... < 4 years,4,none,1,real estate,33,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
no checking account,12,existing credits paid back duly till now,car (used),1410,.. >= 1000 DM,.. >= 7 years,4,none,4,unknown / no property,24,bank,for free,1,skilled employee / official,1,none,yes,1,male,divorced/separated
0 <= ... < 200 DM,38,critical account/ other credits existing (not at this bank),business,1825,... < 100 DM,4 <= ... < 7 years,4,none,4,unknown / no property,25,none,for free,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,female,divorced/separated/married
no checking account,16,critical account/ other credits existing (not at this bank),car (new),2869,... < 100 DM,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,34,none,own,2,skilled employee / official,1,none,yes,1,female,divorced/separated/married
0 <= ... < 200 DM,17,delay in paying off in the past,radio/television,3782,... < 100 DM,.. >= 7 years,3,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",48,bank,rent,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
no checking account,12,existing credits paid back duly till now,car (new),1357,... < 100 DM,1 <= ... < 4 years,4,none,4,"if not A121/A122 : car or other, not in attribute 6",33,none,own,1,unskilled - resident,1,none,yes,1,female,divorced/separated/married
< 0 DM,15,delay in paying off in the past,car (new),1700,... < 100 DM,... < 1 year,3,none,4,if not A121 : building society savings agreement/ life insurance,25,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
no checking account,12,existing credits paid back duly till now,car (new),5120,unknown/ no savings account,... < 1 year,2,none,2,if not A121 : building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
no checking account,7,existing credits paid back duly till now,car (new),1530,.. >= 1000 DM,4 <= ... < 7 years,2,none,2,real estate,26,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,1,female,divorced/separated/married
0 <= ... < 200 DM,11,existing credits paid back duly till now,furniture/equipment,1267,unknown/ no savings account,... < 1 year,4,none,4,if not A121 : building society savings agreement/ life insurance,25,none,rent,1,skilled employee / official,1,none,yes,2,female,divorced/separated/married
no checking account,11,existing credits paid back duly till now,radio/television,1567,500 <= ... < 1000 DM,.. >= 7 years,1,none,2,"if not A121/A122 : car or other, not in attribute 6",31,none,own,1,skilled employee / official,1,none,yes,1,male,divorced/separated/married
no checking account,24,existing credits paid back duly till now,radio/television,2693,.. >= 1000 DM,.. >= 7 years,2,none,2,unknown / no property,33,none,rent,1,skilled employee / official,1,none,yes,1,male,single
< 0 DM,13,critical account/ other credits existing (not at this bank),furniture/equipment,1329,... < 100 DM,.. >= 7 years,2,none,4,if not A121 : building society savings agreement/ life insurance,49,none,own,2,skilled employee / official,1,none,yes,1,male,single
... >= 200 DM / salary assignments for at least 1 year,8,critical account/ other credits existing (not at this bank),car (new),1182,100 <= ... < 500 DM,.. >= 7 years,2,none,4,"if not A121/A122 : car or other, not in attribute 6",55,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
no checking account,23,critical account/ other credits existing (not at this bank),furniture/equipment,3409,.. >= 1000 DM,... < 1 year,4,none,2,unknown / no property,47,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,single
< 0 DM,42,critical account/ other credits existing (not at this bank),car (new),3007,... < 100 DM,4 <= ... < 7 years,2,none,2,"if not A121/A122 : car or other, not in attribute 6",35,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,2,male,single
< 0 DM,12,existing credits paid back duly till now,radio/television,1666,... < 100 DM,1 <= ... < 4 years,4,none,2,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,1,male,divorced/separated/married
< 0 DM,29,existing credits paid back duly till now,car (used),2890,... < 100 DM,... < 1 year,2,none,4,if not A121 : building society savings agreement/ life insurance,24,none,rent,1,skilled employee / official,1,none,yes,1,male,divorced/separated
0 <= ... < 200 DM,34,existing credits paid back duly till now,domestic appliances,2915,... < 100 DM,... < 1 year,2,none,4,unknown / no property,23,none,own,1,skilled employee / official,1,none,yes,1,female,divorced/separated/married
