dataset,generator,fold,n,p_y1,p_y0,p_s_protected,p_s_privileged,count_s0_y0,p_s0_y0,count_s0_y1,p_s0_y1,count_s1_y0,p_s1_y0,count_s1_y1,p_s1_y1
adult,real_train,0,29304,0.23928473928473928,0.7607152607152607,0.33217308217308217,0.6678269178269178,13616,0.46464646464646464,5954,0.2031804531804532,8676,0.29606879606879605,1058,0.03610428610428611
adult,arf,0,29304,0.2307876057876058,0.7692123942123942,0.336029211029211,0.663970788970789,13737,0.4687755937755938,5720,0.19519519519519518,8804,0.30043680043680043,1043,0.03559241059241059
adult,ctabgan,0,29304,0.1989148239148239,0.801085176085176,0.3311834561834562,0.6688165438165439,14749,0.5033101283101283,4850,0.1655064155064155,8726,0.29777504777504776,979,0.03340840840840841
adult,ctgan,0,29304,0.2457002457002457,0.7542997542997543,0.3338793338793339,0.6661206661206661,13430,0.4582992082992083,6090,0.20782145782145783,8674,0.296000546000546,1110,0.03787878787878788
adult,ddpm,0,29304,0.24174174174174173,0.7582582582582582,0.3282145782145782,0.6717854217854218,13618,0.4647147147147147,6068,0.20707070707070707,8602,0.29354354354354356,1016,0.03467103467103467
adult,realtabformer,0,29304,0.30057330057330056,0.6994266994266994,0.29545454545454547,0.7045454545454546,13072,0.44608244608244607,7574,0.25846300846300846,7424,0.25334425334425337,1234,0.04211029211029211
adult,tvae,0,29304,0.24802074802074803,0.751979251979252,0.3055555555555556,0.6944444444444444,14293,0.48774911274911276,6057,0.2066953316953317,7743,0.2642301392301392,1211,0.04132541632541632
adult,real_train,1,29304,0.23928473928473928,0.7607152607152607,0.3315247065247065,0.6684752934752936,13646,0.46567021567021566,5943,0.2028050778050778,8646,0.29504504504504503,1069,0.03647966147966148
adult,arf,1,29304,0.23379060879060878,0.7662093912093912,0.3377013377013377,0.6622986622986623,13646,0.46567021567021566,5762,0.19662844662844664,8807,0.30053917553917553,1089,0.037162162162162164
adult,ctabgan,1,29304,0.24061561561561562,0.7593843843843844,0.3627832377832378,0.6372167622167622,12756,0.4352989352989353,5917,0.20191782691782692,9497,0.32408544908544906,1134,0.0386977886977887
adult,ctgan,1,29304,0.2547092547092547,0.7452907452907453,0.3333333333333333,0.6666666666666667,13275,0.45300982800982803,6261,0.21365683865683865,8565,0.29228091728091726,1203,0.04105241605241605
adult,ddpm,1,29304,0.22723860223860223,0.7727613977613977,0.32521157521157523,0.6747884247884248,14035,0.4789448539448539,5739,0.19584357084357085,8610,0.2938165438165438,920,0.03139503139503139
adult,realtabformer,1,29304,0.27613977613977614,0.7238602238602239,0.3391687141687142,0.6608312858312858,12574,0.4290881790881791,6791,0.23174310674310675,8638,0.2947720447720448,1301,0.0443966693966694
adult,tvae,1,29304,0.2345072345072345,0.7654927654927655,0.31893256893256894,0.6810674310674311,14113,0.4816066066066066,5845,0.19946082446082447,8319,0.28388615888615887,1027,0.03504641004641005
adult,real_train,2,29305,0.23927657396348745,0.7607234260365126,0.33383381675482,0.66616618324518,13602,0.46415287493601776,5920,0.20201330830916225,8691,0.2965705511004948,1092,0.0372632656543252
