dataset,generator,p_y1_mean,p_y1_std,p_y0_mean,p_y0_std,p_s_protected_mean,p_s_protected_std,p_s_privileged_mean,p_s_privileged_std,p_s0_y0_mean,p_s0_y0_std,p_s0_y1_mean,p_s0_y1_std,p_s1_y0_mean,p_s1_y0_std,p_s1_y1_mean,p_s1_y1_std,n_mean,n_std
adult,arf,0.23536232436931978,0.003478598348008263,0.7646376756306802,0.003478598348008211,0.3351487714079422,0.006036765375702807,0.6648512285920578,0.0060367653757027575,0.46749656676887524,0.0029532347561289155,0.19735466182318256,0.003842387104282174,0.29714110886180495,0.005115479347091326,0.03800766254613721,0.0024127963946894847,29304.6,0.5477225575057473
adult,ctabgan,0.2523763148298211,0.03990518329795902,0.747623685170179,0.039905183297959,0.33566759233369026,0.01684425693876661,0.6643324076663097,0.01684425693876663,0.4547956908995981,0.031202218939044,0.20953671676671162,0.03340747701898255,0.2928279942705808,0.0203127529040909,0.042839598063109406,0.009186601679439464,29304.6,0.5477225575057473
adult,ctgan,0.2501791531103935,0.010018570746525738,0.7498208468896065,0.01001857074652569,0.3272729378103888,0.00584223033604163,0.6727270621896112,0.005842230336041545,0.4629374598808143,0.011908379524938081,0.20978960230879698,0.009921939820785187,0.28688338700879223,0.006871460534521046,0.04038955080159653,0.001479892364047879,29304.6,0.5477225575057473
adult,ddpm,0.23087847794126587,0.006748511210346139,0.7691215220587341,0.006748511210346167,0.3267473361279879,0.006446468278375761,0.6732526638720121,0.006446468278375745,0.47480596252904733,0.008828311692940252,0.19844670134296477,0.005249753451597782,0.2943155595296868,0.00438345050585613,0.032431776598301085,0.00238792986633268,29304.6,0.5477225575057473
adult,real_train,0.23927984009198816,4.472330638913591e-06,0.7607201599080119,4.472330638896277e-06,0.33090369355255894,0.0024907297313649032,0.6690963064474411,0.0024907297313649583,0.46641822430766294,0.002316145856498102,0.2026780821397781,0.0004982092310726851,0.29430193560034884,0.00231392832030188,0.036601757952210094,0.0004956439740354141,29304.6,0.5477225575057473
adult,realtabformer,0.2598776776186774,0.039287916856700564,0.7401223223813226,0.03928791685670055,0.31423057241603564,0.028465544635263126,0.6857694275839644,0.02846554463526313,0.46538048231104023,0.034896371642525306,0.2203889452729241,0.03362054196613267,0.2747418400702823,0.03400307506088986,0.03948873234575333,0.007863646390791762,29304.6,0.5477225575057473
adult,tvae,0.24515599746106487,0.009486129070135556,0.7548440025389351,0.009486129070135553,0.30516720346783477,0.012986485756293182,0.6948327965321652,0.012986485756293175,0.4890903897336247,0.004744915502390975,0.20574240679854056,0.009689479552215535,0.26575361280531046,0.013225154795779126,0.03941359066252429,0.004887809818879158,29304.6,0.5477225575057473
bank_marketing,arf,0.10710019907100199,0.000802777177792209,0.892899800928998,0.0008027771777921834,0.05118336651183366,0.001993541150277974,0.9488166334881664,0.001993541150277962,0.8547224065472241,0.001379460531767089,0.09409422694094227,0.0020034016414999917,0.03817739438177394,0.0007329555703362768,0.013005972130059721,0.0016354936276065978,27126.0,0.0
bank_marketing,ctabgan,0.35163311951633125,0.09690121059426969,0.6483668804836688,0.09690121059426968,0.09343065693430656,0.024983547014514766,0.9065693430656934,0.024983547014514787,0.6085969180859692,0.10085193328654563,0.29797242497972426,0.08735878999030097,0.03976996239769962,0.012857733162752035,0.05366069453660695,0.013625710084078813,27126.0,0.0
bank_marketing,ctgan,0.12262773722627737,0.016723522079782307,0.8773722627737227,0.01672352207978232,0.059566467595664675,0.012190264005599229,0.9404335324043354,0.012190264005599234,0.8371083093710829,0.02303833358801888,0.10332522303325223,0.011229353841532926,0.04026395340263954,0.008276804240009684,0.01930251419302514,0.005754164840908778,27126.0,0.0
