dataset,generator,fold,n_trials,trial_time_mean_s,trial_time_median_s,trial_time_min_s,trial_time_max_s,total_tuning_time_s,best_trial_time_s
adult,arf,0,10,1204.6569373369216,1161.09674680233,381.8090207576752,2395.596857309341,12046.569373369217,1594.584459066391
adult,arf,1,20,990.2748903632164,832.2010776996613,142.992036819458,2366.493843317032,19805.497807264328,926.6403346061708
adult,arf,2,20,314.16759023666384,262.8870437145233,92.12693214416504,650.6084938049316,6283.351804733276,353.2572331428528
adult,arf,3,20,372.5727380156517,302.40192437171936,91.920156955719,652.6244525909424,7451.454760313034,255.17141604423523
adult,arf,4,20,405.10489534139634,384.9554661512375,94.4854497909546,657.2002601623535,8102.097906827927,655.4088358879089
adult,ctabgan,0,20,5649.407224988938,5029.279987454414,4988.502434015274,10564.123844623566,112988.14449977875,5025.160291194916
adult,ctabgan,1,20,5978.067713057995,5730.337972044945,5061.4788637161255,8316.341984987259,119561.3542611599,5215.120533943176
adult,ctabgan,2,20,5528.937166965008,5399.479600906372,4979.234888315201,6885.559256315231,110578.74333930016,5060.271896123886
adult,ctabgan,3,16,5609.553249537945,5655.632336854935,5031.421850204468,6688.105616569519,89752.85199260712,5688.384532690048
adult,ctabgan,4,20,5553.790191519261,5420.052697896957,5073.866580486298,6608.331141471863,111075.80383038521,5710.791219949722
adult,ctgan,0,20,6914.5101063251495,5819.671674013138,2861.4156386852264,17799.570362091064,138290.202126503,5293.260112047195
adult,ctgan,1,20,3496.7933928847315,3397.78024494648,1911.160599946976,6609.174264431,69935.86785769463,2585.4194898605347
adult,ctgan,2,20,3689.6177666425706,3219.422045826912,1257.358924150467,7018.266285657883,73792.35533285141,3234.427369117737
adult,ctgan,3,20,4425.130386602878,4048.1637419462204,2115.498054742813,7310.212224960327,88502.60773205757,4789.316725969315
adult,ctgan,4,20,2283.4500719070434,1832.1118988990784,1269.8205168247223,5176.824017763138,45669.00143814087,1300.4160044193268
adult,ddpm,0,20,2489.166685330868,2818.618202805519,1486.237910747528,4024.85274720192,49783.333706617355,3067.5873007774358
adult,ddpm,1,20,2443.493547296524,2708.3583406209946,1492.674399137497,3547.858234643936,48869.87094593048,2768.982376098633
adult,ddpm,2,20,2806.407083761692,2168.871473789215,1851.7137627601624,5795.442266702652,56128.14167523384,2033.6575865745544
adult,ddpm,3,20,2974.536542618275,2588.9639286994934,2068.374740600586,5939.50045466423,59490.730852365494,2726.349627971649
adult,ddpm,4,20,3509.0854641914366,3195.9890670776367,1989.1913032531736,5919.618975639343,70181.70928382874,3187.5994827747345
adult,realtabformer,0,5,2999.5005375385285,2596.1211833953857,2516.096546173096,3683.988775730133,14997.502687692642,2596.1211833953857
adult,realtabformer,1,5,2716.1246176719665,2491.601510286331,2445.292194366455,3097.080054283142,13580.623088359833,2491.601510286331
adult,realtabformer,2,5,2992.1201156139373,2602.2231369018555,2456.117170572281,3797.107605934143,14960.600578069687,2456.117170572281
adult,realtabformer,3,5,2510.845638847351,2123.220901966095,2107.023282766342,3118.421340227127,12554.228194236755,2107.023282766342
adult,realtabformer,4,5,1863.819405555725,1415.2806861400604,1399.2865443229675,2558.4766931533813,9319.097027778625,2542.803092956543
adult,tvae,0,20,2902.88201379776,2326.117513895035,2023.7203452587128,4465.651597499847,58057.6402759552,2128.541037797928
adult,tvae,1,20,1871.0553000569344,1094.424486398697,1034.6988253593445,4062.704627275467,37421.10600113869,1081.132250547409
adult,tvae,2,20,1037.1794391512872,1111.9128140211105,662.2826159000397,1814.9441301822665,20743.58878302574,1275.9996275901794
adult,tvae,3,20,998.9934015750885,902.8317420482635,699.092182636261,1423.3865504264832,19979.86803150177,835.2359807491302
adult,tvae,4,20,1013.4981952667237,999.6734664440155,689.3361301422119,1460.7101728916168,20269.963905334473,1284.6954321861267
bank_marketing,arf,0,20,243.09989799261092,161.33280038833618,59.88406705856323,628.9934959411621,4861.997959852219,157.96662783622742
bank_marketing,arf,1,20,471.1098972558975,384.4182494878769,136.429372549057,881.736124753952,9422.19794511795,795.9997572898865
bank_marketing,arf,2,20,436.2276486039162,380.07871091365814,139.13714814186096,801.5217819213867,8724.552972078323,752.030604839325
bank_marketing,arf,3,20,282.1190757870674,194.96273863315582,100.3225555419922,736.7357249259949,5642.381515741348,105.64453077316284
bank_marketing,arf,4,10,374.4806620597839,311.7250815629959,131.2663459777832,763.2978186607361,3744.8066205978394,294.1277449131012
bank_marketing,ctabgan,0,1,11355.63661980629,11355.63661980629,11355.63661980629,11355.63661980629,11355.63661980629,11355.63661980629
bank_marketing,ctabgan,1,20,6505.842934131622,6500.328340172768,5399.364879131317,7095.83113193512,130116.85868263245,6541.411581754684
bank_marketing,ctabgan,2,20,6579.881994664669,6881.831187963486,4322.004694700241,7097.05113863945,131597.63989329338,6898.023941278458
bank_marketing,ctabgan,3,20,3499.5468371868133,3917.382926106453,2590.7105243206024,4397.748846292496,69990.93674373627,3933.271017551422
bank_marketing,ctabgan,4,20,3251.8531769156457,3009.5535752773285,2567.795491218567,4254.04722905159,65037.06353831291,2634.9877173900604
bank_marketing,ctgan,0,20,4753.543461680412,3844.7783114910126,2088.4924535751343,9834.518679141998,95070.86923360825,3903.964933156967
bank_marketing,ctgan,1,20,2772.720442306995,2648.29570376873,1244.203649520874,4934.155622720718,55454.40884613991,3081.450047016144
bank_marketing,ctgan,2,20,3288.7658123850824,3191.5499852895737,1487.159399986267,5145.851595640183,65775.31624770164,3185.4797987937927
bank_marketing,ctgan,3,20,3197.3319246649744,3130.680640935898,1605.9574313163755,4867.4483897686005,63946.638493299484,3026.245957612992
bank_marketing,ctgan,4,20,3182.854371547699,3150.958886742592,1438.8060998916626,4777.234061002731,63657.08743095398,4524.695152282715
bank_marketing,ddpm,0,20,9784.805034673214,11902.264392375946,1782.8633797168732,16486.699256420135,195696.10069346428,16486.699256420135
bank_marketing,ddpm,1,20,1571.365307211876,1473.1902788877487,1347.970295906067,1960.8688509464264,31427.30614423752,1609.569320678711
bank_marketing,ddpm,2,20,1586.5830186367034,1495.3378059864044,1385.8841257095337,2132.603489875793,31731.66037273407,1426.148859500885
bank_marketing,ddpm,3,20,1627.355444586277,1520.201097369194,1438.7779414653778,2478.089950323105,32547.10889172554,1695.6073639392853
bank_marketing,ddpm,4,20,1684.3486174345016,1660.5628309249878,1377.5987358093262,2482.2357892990112,33686.97234869003,1470.1977882385254
bank_marketing,realtabformer,0,5,2696.4324429035187,2278.8575110435486,2255.476485490799,3408.9632229804997,13482.162214517593,3273.7293004989624
bank_marketing,realtabformer,1,5,2422.8734246730805,2244.794715881348,2182.4150829315186,3173.6351370811462,12114.367123365402,3173.6351370811462
bank_marketing,realtabformer,2,5,1807.94355802536,1546.6271588802338,1531.3729598522186,2218.236184358597,9039.7177901268,1531.3729598522186
bank_marketing,realtabformer,3,5,2459.2611877441404,2238.486671209336,2220.8163561820984,2808.993047237396,12296.305938720703,2796.184044837952
bank_marketing,realtabformer,4,5,2221.967793750763,1880.32098031044,1876.539034366608,2764.157541036606,11109.838968753815,2709.148754119873
bank_marketing,tvae,0,20,1689.3678593039513,1796.8081814050674,1038.4694330692291,3498.01340341568,33787.357186079025,1087.1566202640531
bank_marketing,tvae,1,20,866.8917214751243,925.0746079683304,549.2683737277985,1131.7282626628876,17337.834429502487,962.9553604125977
bank_marketing,tvae,2,20,891.9727915883064,959.7338021993637,551.1396682262421,1111.6199073791504,17839.45583176613,1111.6199073791504
bank_marketing,tvae,3,20,786.0375180959702,810.3483887910843,555.7479321956635,1013.0657591819764,15720.750361919403,633.0536987781525
bank_marketing,tvae,4,20,790.204575753212,801.8441076278687,561.4054796695709,1038.2595517635343,15804.09151506424,1007.6237964630128
compas,arf,0,20,89.54443207979202,88.64837646484375,45.31255435943604,146.39873909950256,1790.8886415958405,63.372132539749146
compas,arf,1,20,37.771270227432254,39.8605340719223,23.994222402572632,48.00923180580139,755.425404548645,38.48711800575256
compas,arf,2,20,37.8191915512085,38.56042420864105,16.216449737548828,53.40144228935242,756.3838310241699,43.952075242996216
compas,arf,3,20,43.58232831954956,35.63623631000519,18.315367937088013,200.75849866867063,871.6465663909912,28.862423181533813
compas,arf,4,20,39.0227224111557,38.012699246406555,19.654320240020752,87.25083208084106,780.454448223114,30.41895198822021
compas,ctabgan,0,2,3810.2671444416046,3810.2671444416046,1433.2956511974337,6187.238637685776,7620.534288883209,1433.2956511974337
compas,ctabgan,1,20,487.5519169807434,625.6852054595947,137.5600094795227,960.282631635666,9751.038339614868,669.7722899913788
compas,ctabgan,2,20,605.7719873905182,350.3713994026184,199.6928732395172,1716.5649645328522,12115.439747810364,199.6928732395172
compas,ctabgan,3,20,736.5528400421142,624.5984817743301,209.6665003299713,1667.5351548194883,14731.056800842285,1210.683111190796
compas,ctabgan,4,20,386.6634749531746,299.22526597976685,140.4621024131775,711.9575042724609,7733.269499063492,293.92412304878235
compas,ctgan,0,20,2235.7539147257803,1499.078288078308,646.1899065971375,6996.705439090729,44715.07829451561,1033.2265260219574
