dataset,generator,fold,trial,running_time_s,running_time_min,MCC
adult,arf,0,0,1243.223211288452,20.720386854807533,0.561724234377818
adult,arf,0,1,679.7003655433655,11.328339425722758,0.562572639017072
adult,arf,0,2,525.5991549491882,8.759985915819804,0.5733403814998325
adult,arf,0,3,2395.596857309341,39.92661428848901,0.5530743784255524
adult,arf,0,4,381.8090207576752,6.363483679294587,0.5675516800479383
adult,arf,0,5,742.3871629238129,12.373119382063548,0.571157813827547
adult,arf,0,6,1786.594738483429,29.776578974723815,0.5707472523981497
adult,arf,0,7,1618.1041207313538,26.96840201218923,0.575521336352642
adult,arf,0,8,1594.584459066391,26.576407651106518,0.5853714840383591
adult,arf,0,9,1078.970282316208,17.982838038603468,0.5784033412541967
adult,arf,1,0,1125.4741008281708,18.757901680469512,0.5554611339004343
adult,arf,1,1,600.7458598613739,10.012430997689565,0.5454719664175084
adult,arf,1,2,418.5421314239502,6.97570219039917,0.5736083977292161
adult,arf,1,3,1599.5881979465485,26.65980329910914,0.5438597349846901
adult,arf,1,4,298.9199655056,4.981999425093333,0.5611334738785525
adult,arf,1,5,642.5245990753174,10.708743317921956,0.5603844451177886
adult,arf,1,6,1529.696531534195,25.494942192236582,0.5551682829841247
adult,arf,1,7,1743.3602695465088,29.05600449244181,0.5714019981658993
adult,arf,1,8,994.149914741516,16.569165245691934,0.5746499659541439
adult,arf,1,9,1199.0286650657654,19.983811084429423,0.5619964559039263
adult,arf,1,10,2366.493843317032,39.44156405528386,0.5748989727675448
adult,arf,1,11,2231.342333316803,37.18903888861338,0.5748989727675448
adult,arf,1,12,1287.0084505081177,21.45014084180196,0.5748989727675448
adult,arf,1,13,581.4164907932281,9.690274846553802,0.5643137956441316
adult,arf,1,14,520.0587873458862,8.667646455764771,0.558452163627395
adult,arf,1,15,475.439911365509,7.923998522758483,0.5612539157002879
adult,arf,1,16,384.3135628700256,6.40522604783376,0.5500986413856445
adult,arf,1,17,737.7618207931519,12.29603034655253,0.5648847098620935
adult,arf,1,18,142.992036819458,2.3832006136576336,0.5537691952545972
adult,arf,1,19,926.6403346061708,15.444005576769513,0.5768720300216387
adult,arf,2,0,417.0155806541443,6.950259677569071,0.5827447219361024
adult,arf,2,1,301.9513704776764,5.032522841294607,0.5757343502296637
adult,arf,2,2,149.88818788528442,2.4981364647547406,0.5798005057050711
adult,arf,2,3,568.92320728302,9.482053454717,0.5618110837833054
adult,arf,2,4,92.12693214416504,1.5354488690694172,0.5738092861042081
adult,arf,2,5,253.03798174858093,4.2172996958096824,0.5697315940280578
adult,arf,2,6,557.6376657485962,9.293961095809937,0.5633359198981992
adult,arf,2,7,551.6416254043579,9.194027090072632,0.5826763776733176
adult,arf,2,8,353.2572331428528,5.88762055238088,0.5932870805401936
adult,arf,2,9,193.3359441757202,3.222265736262003,0.5870326424094233
adult,arf,2,10,650.6084938049316,10.84347489674886,0.5823155633771581
adult,arf,2,11,199.84406232833865,3.3307343721389775,0.5738404212548116
adult,arf,2,12,240.82860589027405,4.013810098171234,0.5616125074518056
adult,arf,2,13,210.93700671195984,3.515616778532664,0.5708775151698285
adult,arf,2,14,273.23428750038147,4.553904791673024,0.5887602479191544
adult,arf,2,15,272.7361056804657,4.545601761341095,0.5887602479191544
adult,arf,2,16,216.38697743415835,3.6064496239026393,0.5842771710497993
adult,arf,2,17,229.1729700565338,3.8195495009422302,0.5752066473235861
adult,arf,2,18,315.17053508758545,5.252842251459757,0.5627616652987286
adult,arf,2,19,235.61703157424927,3.926950526237488,0.5835013308657391
adult,arf,3,0,411.3445730209351,6.855742883682252,0.5821912545907915
adult,arf,3,1,307.69637298583984,5.12827288309733,0.5717118718287965
adult,arf,3,2,156.3750433921814,2.6062507232030234,0.5869644651428166
adult,arf,3,3,570.744517326355,9.512408622105916,0.5773769443324649
adult,arf,3,4,91.920156955719,1.53200261592865,0.5613142057237896
adult,arf,3,5,240.1665046215057,4.002775077025095,0.5685964479543664
adult,arf,3,6,564.1049671173096,9.40174945195516,0.5792054450299138
adult,arf,3,7,557.0501570701599,9.284169284502665,0.581244809808246
adult,arf,3,8,255.17141604423523,4.2528569340705875,0.5896245076120882
adult,arf,3,9,283.71980452537537,4.7286634087562565,0.5700237941926765
adult,arf,3,10,652.3557748794556,10.872596247990925,0.5889039946495588
adult,arf,3,11,651.1778800487518,10.852964667479197,0.5889039946495588
adult,arf,3,12,652.6244525909424,10.87707420984904,0.5889039946495588
adult,arf,3,13,220.42136979103088,3.6736894965171816,0.5556205744915413
adult,arf,3,14,192.61874985694885,3.2103124976158144,0.5718639924218425
adult,arf,3,15,502.3962693214417,8.373271155357362,0.5878726836180258
adult,arf,3,16,297.1074757575989,4.951791262626648,0.5639318259675989
adult,arf,3,17,222.62170791625977,3.7103617986043296,0.575948806602983
adult,arf,3,18,291.97681283950806,4.866280213991801,0.5705380049418378
adult,arf,3,19,329.8607542514801,5.497679237524668,0.5590145813355577
adult,arf,4,0,434.8665688037872,7.2477761467297865,0.5627872147351066
adult,arf,4,1,309.70049595832825,5.161674932638804,0.5653599029599266
adult,arf,4,2,149.02303171157837,2.483717195192973,0.565150490859782
adult,arf,4,3,574.6414844989777,9.57735807498296,0.5630897549104622
adult,arf,4,4,94.4854497909546,1.5747574965159101,0.5432749516922905
adult,arf,4,5,256.6746680736542,4.277911134560903,0.5654396115229882
adult,arf,4,6,568.2218043804169,9.470363406340281,0.5630306288543429
adult,arf,4,7,555.7004747390747,9.261674578984579,0.5754209303096662
adult,arf,4,8,354.95651173591614,5.915941862265269,0.5744335206463721
adult,arf,4,9,284.4451537132263,4.740752561887105,0.5687134849379666
adult,arf,4,10,655.4088358879089,10.923480598131816,0.5775477576172855
adult,arf,4,11,655.9884176254272,10.933140293757122,0.5775477576172855
adult,arf,4,12,657.2002601623535,10.953337669372559,0.5775477576172855
adult,arf,4,13,398.4583969116211,6.640973281860352,0.5666605085361435
adult,arf,4,14,371.4525353908539,6.190875589847565,0.5744019955838793
adult,arf,4,15,296.8409106731415,4.947348511219024,0.5677151523902935
adult,arf,4,16,266.52571201324463,4.442095200220744,0.5603671062860492
adult,arf,4,17,537.0851531028748,8.951419218381245,0.5718605983289834
adult,arf,4,18,114.26202654838562,1.9043671091397603,0.549716281113018
adult,arf,4,19,566.1600151062012,9.43600025177002,0.5651016307520441
