,generator_n_layers_hidden,generator_n_units_hidden,generator_nonlin,n_iter,generator_dropout,discriminator_n_layers_hidden,discriminator_n_units_hidden,discriminator_nonlin,discriminator_n_iter,discriminator_dropout,lr,weight_decay,batch_size,encoder_max_clusters,patience,n_iter_min,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,3,150,tanh,1000,0.0875174422525385,4,150,leaky_relu,5,0.014207211639577388,0.001,0.001,512,10,100,100,0.8339645818405159,0.5415488976823064,0.49028132301364696,0.8873766970931543,0.15009068477500503,0.2576508875739645,0.2576508875739645,0.04795491935888146,1.3814511559784175,0.31626202487249416,0.08659688611105754,7018.266285657883
0,4,50,relu,1000,0.08293238799810472,2,150,tanh,4,0.1233867993749514,0.0001,0.001,1024,14,100,100,0.7601596888115467,0.6037544393708777,0.4628961580489873,0.8336349390152159,0.3630288667681456,0.2705907149920931,0.2699556213017751,0.2705907149920931,2.207413147071706,1.5458066642453443,0.3717756002322189,3298.9827218055725
0,1,50,relu,1000,0.19767476761184524,1,50,leaky_relu,2,0.03179391672910394,0.0002,0.001,512,17,100,100,0.8379568021291841,0.632288037166086,0.532606666438376,0.8872647461291729,0.22680726855570876,0.255094674556213,0.255094674556213,0.1116424902815945,1.4864809608543115,0.4071281660246977,0.086110415712717,3839.099822282791
0,1,150,leaky_relu,1000,0.007837558450864136,2,50,tanh,1,0.13849442387400399,0.0001,0.001,512,14,100,100,0.8140034803971747,0.45155448234228796,0.41193116551674713,0.8580711004313536,0.10679968358206984,0.11806508875739646,0.11806508875739646,0.039552884987854836,1.987861661489158,1.435698786652085,0.31774561361705717,2388.634906053543
0,1,150,relu,1000,0.16578800584347264,1,150,relu,3,0.11840838625436781,0.001,0.001,512,17,100,100,0.8438939502507933,0.6507900160293107,0.5532115603546341,0.8944333778949972,0.23079409673954623,0.25396745562130174,0.25396745562130174,0.11039219975481818,1.377234527710734,0.3405751496093472,0.04639941345418626,3989.4705765247345
0,2,150,leaky_relu,1000,0.10026487638534046,4,100,leaky_relu,4,0.05801552144208882,0.0001,0.001,512,14,100,100,0.8458388780837343,0.6497674418604651,0.5553890199669125,0.8947920238880909,0.20299950801445862,0.16242011834319525,0.16242011834319525,0.09240209817298534,1.3216364719504055,0.2867225934927115,0.03641583524643514,6391.320781469345
0,3,100,elu,1000,0.16123879780921715,3,50,relu,5,0.032498586935274965,0.001,0.0001,512,15,100,100,0.8286416214556249,0.602375296912114,0.49982956640371634,0.8749453627493269,0.2587669417791952,0.4437781065088758,0.4437781065088758,0.12982536492441746,1.6057370047211101,0.4713299854540425,0.1278896356066711,6823.6773908138275
0,2,150,leaky_relu,1000,0.07199561289567279,3,50,elu,4,0.044784937612076026,0.0002,0.001,512,6,100,100,0.8419490224178524,0.6089159067882473,0.5281111589683338,0.8916097098150434,0.18214837774489487,0.23439053254437875,0.23439053254437875,0.0706107670362623,1.444615207254942,0.3506308026692735,0.0454299258027308,5515.959593772888
0,4,100,relu,1000,0.07964421244321838,1,50,elu,2,0.011605832064775124,0.001,0.0001,1024,14,100,100,0.7860579383764971,0.5966808182169047,0.4570052910387896,0.848231358955772,0.35128196903651493,0.4029319526627219,0.4029319526627219,0.24346143855187785,2.346345214686703,1.529655015868649,0.6344112263710019,2173.3160083293915
0,2,100,leaky_relu,1000,0.05266447534743013,1,150,tanh,4,0.17453013108947907,0.0002,0.0001,1024,15,100,100,0.8378544375063978,0.6061660865241174,0.5182839992443203,0.8835568381087757,0.15940713619603195,0.1045473372781065,0.1045473372781065,0.06404508975568407,1.8786828197988987,1.071807411881047,0.32168908796809476,2992.669507741928
