,n_iter,lr,decoder_n_layers_hidden,weight_decay,batch_size,n_units_embedding,decoder_n_units_hidden,decoder_nonlin,decoder_dropout,encoder_n_layers_hidden,encoder_n_units_hidden,encoder_nonlin,encoder_dropout,patience,n_iter_min,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,1000,0.0002,3,0.001,1024,500,200,tanh,0.014207211639577388,1,50,tanh,0.15983171284334474,100,100,0.8500358276179752,0.6417216923453167,0.5585323987134257,0.8967056083346313,0.1708852833961192,0.11943388304448227,0.11943388304448227,0.06580167207968135,1.4539562046100962,0.4459067973323332,0.10130028911138182,699.092182636261
0,1000,0.0002,4,0.001,512,150,400,tanh,0.12241914454448428,4,500,tanh,0.012045094325853968,100,100,0.8444057733647251,0.6626719928983578,0.562417390979234,0.8958028633890879,0.23823862630104067,0.24088253131487491,0.24088253131487491,0.11702516315693451,1.3495488108776357,0.3163054473978945,0.04175239636376971,1423.3865504264832
0,1000,0.0002,1,0.001,512,500,100,relu,0.09326215457126126,2,100,leaky_relu,0.07374503413219283,100,100,0.8495240045040434,0.6594068582020389,0.5669424276463125,0.8972675215921465,0.22005420949801702,0.2432705092020247,0.2432705092020247,0.09773706742808086,1.5219816779266495,0.4642097408908402,0.10543688548060791,1119.2369225025177
0,1000,0.001,1,0.0001,512,400,50,relu,0.0635966358787952,3,50,elu,0.018788102151688336,100,100,0.8486027228989661,0.6241423125794155,0.5487207320307682,0.8960907989661142,0.17755300645879768,0.22728067924704348,0.22728067924704348,0.06268044857949726,1.4109890665409028,0.3846658116205485,0.06604064849389202,1142.4105551242828
0,1000,0.0002,4,0.001,512,300,50,elu,0.14703880442451897,5,150,leaky_relu,0.19054980230339702,100,100,0.8362166035418159,0.624765478424015,0.525266523438286,0.8899166601337954,0.23091216217806637,0.3101134799748082,0.3101134799748082,0.11089989105163255,1.5263175442382553,0.38778643621834136,0.13140522075861263,1353.1714992523193
0,1000,0.0002,2,0.0001,512,450,350,relu,0.08477100971163594,4,50,leaky_relu,0.08575374018915323,100,100,0.8230115672023749,0.48249027237354086,0.4473359445655717,0.888761262871339,0.08389705053668589,0.022834230004605036,0.00882881201744773,0.022834230004605036,1.4466209361875249,0.33637037613483844,0.045548440149943005,1205.4656236171722
0,1000,0.001,3,0.001,512,450,200,leaky_relu,0.020045377462460226,5,400,elu,0.12311191285676884,100,100,0.8533114955471389,0.6633779657035471,0.5753089450794179,0.8989369723555367,0.17418887475653227,0.09800622798628444,0.09800622798628444,0.06509558709024077,1.5542796865932778,0.4700976993329622,0.14111107753431712,1339.9652326107025
0,1000,0.0002,3,0.0001,512,400,450,elu,0.14599811248481162,1,300,tanh,0.044784937612076026,100,100,0.8426655747773569,0.6490066225165563,0.550316123894899,0.8935515266255079,0.23572210646117975,0.3002116815562968,0.3002116815562968,0.10990010991976557,1.5464377893788652,0.4994018923566426,0.10673278690822009,1273.821142911911
0,1000,0.0002,1,0.001,512,500,350,relu,0.07964421244321838,2,100,elu,0.05087129635407859,100,100,0.8404135530760569,0.677692784783957,0.5723615562285632,0.8966007370460072,0.2666114271354617,0.2732004151990856,0.2732004151990856,0.1371974588225866,1.4863817018271903,0.4246683610806054,0.09856408850588189,1133.2897746562958
0,1000,0.0002,4,0.0001,1024,350,250,relu,0.13261564062002015,2,50,elu,0.1662096910472381,100,100,0.8478861705394616,0.68490245971162,0.5846921346291307,0.9001749082721574,0.24386275815206776,0.17936075668867069,0.17936075668867069,0.12413928816554809,1.3928572801248398,0.3685307645619831,0.07542408327991401,801.8061430454254
