,lr,batch_size,num_timesteps,n_iter,model_params,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,0.0002288113668475521,256,590,5000,"{'n_layers_hidden': 8, 'n_units_hidden': 128, 'dropout': 0}",0.6632016632016632,0.597682119205298,0.31360834308934377,0.7049102725773596,0.08284608643005026,0.0881877022653722,0.0881877022653722,0.045998966773614675,0.27813743901148114,0.10112031979518396,0.03234677095914288,1447.6417725086212
0,0.00025533788451512354,256,178,5000,"{'n_layers_hidden': 8, 'n_units_hidden': 128, 'dropout': 0}",0.6555786555786556,0.5798816568047337,0.29699282435114766,0.6952604520322049,0.1051543030852149,0.15424647948919795,0.15424647948919795,0.03730491054434715,0.2806936458106919,0.11498592176962258,0.028512225796041513,1427.6634376049042
0,1.9632702887198374e-05,256,951,5000,"{'n_layers_hidden': 8, 'n_units_hidden': 1024, 'dropout': 0}",0.6742896742896742,0.5884413309982487,0.33608117292382705,0.7101978853429042,0.08296675148502691,0.10294760780197676,0.10294760780197676,0.033579857523519496,0.2732109208504339,0.09805834123756853,0.029265631584342405,1544.7688472270966
0,0.00032827312139428744,4096,714,5000,"{'n_layers_hidden': 6, 'n_units_hidden': 256, 'dropout': 0}",0.6576576576576577,0.5827702702702703,0.30134796510276934,0.6933533805412746,0.06650549766925923,0.08057815096650045,0.08057815096650045,0.024511936483767482,0.2896295496418265,0.11217137495390954,0.029243081985712866,356.6976375579834
0,6.0444149686946634e-05,4096,495,5000,"{'n_layers_hidden': 2, 'n_units_hidden': 128, 'dropout': 0}",0.5641025641025641,0.471872376154492,0.10733797789700501,0.6086468134639635,0.08310858584789432,0.12963592365000817,0.007500218665267233,0.12963592365000817,1.627383916257974,0.9043062636256866,0.34336677424585577,368.84306597709656
0,2.4762069289032602e-05,4096,224,5000,"{'n_layers_hidden': 6, 'n_units_hidden': 512, 'dropout': 0}",0.6424116424116424,0.6137724550898204,0.28167330872013474,0.6913318459598409,0.20970739782633546,0.2625076532843523,0.2625076532843523,0.1402672793517864,0.5951157803374892,0.34374223636825657,0.07257222661155065,349.66606998443604
0,0.002627578213927961,4096,135,5000,"{'n_layers_hidden': 6, 'n_units_hidden': 1024, 'dropout': 0}",0.6576576576576577,0.5666666666666667,0.30082659487076613,0.7021398777767001,0.08389608410142635,0.1518411615498994,0.1518411615498994,0.0018081461743433558,0.27788286788003336,0.0979643397870303,0.03039955931004279,381.8214919567108
0,0.0002532447817066925,4096,184,5000,"{'n_layers_hidden': 4, 'n_units_hidden': 256, 'dropout': 0}",0.6673596673596673,0.6110210696920584,0.32332150628332984,0.7049374333106995,0.14102357837512858,0.1668634654071547,0.1668634654071547,0.0876814943716352,0.30432094447368035,0.10532337123512074,0.02618306634081069,333.70625162124634
0,0.0002837028228029903,4096,104,5000,"{'n_layers_hidden': 8, 'n_units_hidden': 512, 'dropout': 0}",0.6652806652806653,0.5937762825904122,0.31732512385308137,0.6991395867688427,0.09320211185015514,0.141235896090265,0.141235896090265,0.023866169992930564,0.2957864279541479,0.10853704016041187,0.025072469253424618,349.7771782875061
0,3.5694413775579874e-05,256,862,5000,"{'n_layers_hidden': 6, 'n_units_hidden': 512, 'dropout': 0}",0.6541926541926542,0.5753191489361702,0.2938975233582629,0.7037190804151713,0.05999593549288501,0.08613224875360792,0.08613224875360792,0.009706889988580103,0.289099432524487,0.11697768908930248,0.03239535812509301,1391.4926810264587
