,n_iter,lr,decoder_n_layers_hidden,weight_decay,batch_size,n_units_embedding,decoder_n_units_hidden,decoder_nonlin,decoder_dropout,encoder_n_layers_hidden,encoder_n_units_hidden,encoder_nonlin,encoder_dropout,patience,n_iter_min,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,1000,0.0002,3,0.001,1024,500,200,tanh,0.014207211639577388,1,50,tanh,0.15983171284334474,100,100,0.6382536382536382,0.5685950413223141,0.26223708318798017,0.6797070520904065,0.0007526153383005663,0.030318157614483476,0.011218743456651303,0.030318157614483476,0.4932905793410747,0.09356670810098464,0.04991538101980334,564.91796708107
0,1000,0.0002,4,0.001,512,150,400,tanh,0.12241914454448428,4,500,tanh,0.012045094325853968,100,100,0.65003465003465,0.5694799658994032,0.2851589544546702,0.671142690852653,0.06944130854720154,0.08818505416515132,0.08818505416515132,0.013718051118210867,0.3988584800928152,0.10169682055830129,0.04930668526633338,1529.4009971618652
0,1000,0.0002,1,0.001,512,500,100,relu,0.09326215457126126,2,100,leaky_relu,0.07374503413219283,100,100,0.6008316008316008,0.48936170212765956,0.17958685866751617,0.6251634494131342,0.1838012092019769,0.2449609327646819,0.2449609327646819,0.11469648562300319,0.4109397027342921,0.0868587918866448,0.04659610764797565,1440.9133505821228
0,1000,0.001,1,0.0001,512,400,50,relu,0.0635966358787952,3,50,elu,0.018788102151688336,100,100,0.6424116424116424,0.6131934032983508,0.2814364773123629,0.6878116209137648,0.1315007149845714,0.15568486130855952,0.15568486130855952,0.07148562300319489,0.4383503865356709,0.13025055944358405,0.042103507232887694,1433.051462650299
0,1000,0.0002,4,0.001,512,300,50,elu,0.14703880442451897,5,150,leaky_relu,0.19054980230339702,100,100,0.6257796257796258,0.5727848101265823,0.2406515041281175,0.6702298962071975,0.016413286169438823,0.05560436634717786,0.013929756119064107,0.05560436634717786,0.4492053416590286,0.13694777187369192,0.05208672962818017,1470.8572764396667
0,1000,0.0002,2,0.0001,512,450,350,relu,0.08477100971163594,4,50,leaky_relu,0.08575374018915323,100,100,0.6437976437976438,0.5402504472271914,0.27132585417737765,0.6815675623241828,0.014023732470334394,0.044755058572949924,0.02638278176348069,0.044755058572949924,0.49446846007953055,0.13942945928477102,0.06977223948985323,1377.1146416664124
0,1000,0.001,3,0.001,512,450,200,leaky_relu,0.020045377462460226,5,400,elu,0.12311191285676884,100,100,0.647955647955648,0.6197604790419161,0.29282968241074486,0.6929566398292754,0.05823988359549437,0.05225862619984345,0.05225862619984345,0.017731629392971238,0.3717126878751087,0.1381087432463279,0.04529451965058081,1305.417629957199
0,1000,0.0002,3,0.0001,512,400,450,elu,0.14599811248481162,1,300,tanh,0.044784937612076026,100,100,0.6354816354816355,0.5890625,0.26178754590576025,0.674186633039092,0.1728004816738165,0.19154516701380853,0.19154516701380853,0.12066027689030881,0.36162874567317466,0.1109008878190975,0.0396818986964765,1290.8932917118073
0,1000,0.0002,1,0.001,512,500,350,relu,0.07964421244321838,2,100,elu,0.05087129635407859,100,100,0.6354816354816355,0.5838607594936709,0.26037162843813094,0.687267436220778,0.2762098291563182,0.29542323756626,0.29542323756626,0.2253927050053248,0.3928566035897847,0.06790124591601938,0.054090707414921724,1444.2006976604462
0,1000,0.0002,4,0.0001,1024,350,250,relu,0.13261564062002015,2,50,elu,0.1662096910472381,100,100,0.6437976437976438,0.6111951588502269,0.28285189435898306,0.6818333495004365,0.0129700709967136,0.05394036208732694,0.044213751226016895,0.05394036208732694,0.4552300167312672,0.1131670700209685,0.0668490814119244,820.19118309021
