,n_iter,lr,decoder_n_layers_hidden,weight_decay,batch_size,n_units_embedding,decoder_n_units_hidden,decoder_nonlin,decoder_dropout,encoder_n_layers_hidden,encoder_n_units_hidden,encoder_nonlin,encoder_dropout,patience,n_iter_min,Accuracy,F1-Score,MCC,AUC,Demographic Disparity,Equalized Odds,Equality of Opportunity,Predictive Equality,dcr_mean,dcr_q05,mmd_syn_real,running_time
0,1000,0.0002,3,0.001,1024,500,200,tanh,0.014207211639577388,1,50,tanh,0.15983171284334474,100,100,0.67,0.05714285714285714,-0.05006261743217588,0.5891666666666666,0.04441327723235156,0.09090909090909091,0.09090909090909091,0.024999999999999994,3.0645316087728998,2.0793473169012864,0.05163221235031212,340.8021306991577
0,1000,0.0002,4,0.001,512,150,400,tanh,0.12241914454448428,4,500,tanh,0.012045094325853968,100,100,0.74,0.5185185185185185,0.3474456257081473,0.7323809523809525,0.11968209443665262,0.19617224880382778,0.19617224880382778,0.044999999999999984,2.883587571202521,1.8405126392906614,0.02277032024914938,339.1171672344208
0,1000,0.0002,1,0.001,512,500,100,relu,0.09326215457126126,2,100,leaky_relu,0.07374503413219283,100,100,0.725,0.3373493975903614,0.24282765739951825,0.6808333333333333,0.04371201496026181,0.05,0.009569377990430616,0.05,3.1250472514526084,2.279083856050415,0.02470652471634427,464.59616255760193
0,1000,0.001,1,0.0001,512,400,50,relu,0.0635966358787952,3,50,elu,0.018788102151688336,100,100,0.725,0.4329896907216495,0.27818319000586306,0.7023809523809524,0.08111266947171575,0.19377990430622008,0.19377990430622008,0.05500000000000001,3.040730421040814,2.210598514001945,0.02055347346415992,489.69365882873535
0,1000,0.0002,4,0.001,512,300,50,elu,0.14703880442451897,5,150,leaky_relu,0.19054980230339702,100,100,0.715,0.2191780821917808,0.18146034403491088,0.6373809523809523,0.04604955586722767,0.07655502392344499,0.07655502392344499,0.020000000000000004,3.091631019835751,2.1495622191332773,0.03701687422951627,574.8973906040192
0,1000,0.0002,2,0.0001,512,450,350,relu,0.08477100971163594,4,50,leaky_relu,0.08575374018915323,100,100,0.67,0.175,0.036369648372665396,0.6425,0.08882655446470313,0.1028708133971292,0.1028708133971292,0.07999999999999999,3.0890418281010135,2.2536959517488944,0.03508675413669815,566.4992291927338
0,1000,0.001,3,0.001,512,450,200,leaky_relu,0.020045377462460226,5,400,elu,0.12311191285676884,100,100,0.695,0.1643835616438356,0.09294310304227144,0.6294047619047619,0.022674146797568955,0.034999999999999996,0.014354066985645925,0.034999999999999996,2.788487832405504,1.4812173083482727,0.02335965223345937,591.4942307472229
0,1000,0.0002,3,0.0001,512,400,450,elu,0.14599811248481162,1,300,tanh,0.044784937612076026,100,100,0.72,0.4166666666666667,0.26127930102654884,0.6426190476190478,0.08976157082748948,0.12000000000000001,0.02392344497607657,0.12000000000000001,2.993657011575095,2.127441840630006,0.023394790200169435,582.3907735347748
0,1000,0.0002,1,0.001,512,500,350,relu,0.07964421244321838,2,100,elu,0.05087129635407859,100,100,0.72,0.42857142857142855,0.26700062630493804,0.6676190476190477,0.005142589995324909,0.1650717703349282,0.1650717703349282,0.09999999999999999,3.041800752785414,2.0518752113854872,0.024127108118212615,580.6093213558197
0,1000,0.0002,4,0.0001,1024,350,250,relu,0.13261564062002015,2,50,elu,0.1662096910472381,100,100,0.715,0.2191780821917808,0.18146034403491088,0.5786904761904762,0.0694249649368864,0.07655502392344499,0.07655502392344499,0.05499999999999999,2.980820340720858,2.0287794972267204,0.02945995772902954,495.2080628871918
