,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid
0,Female,45,25 - 45,Caucasian,0,0,0,0,M,0
1,Male,33,25 - 45,African-American,0,0,0,5,F,1
2,Male,44,25 - 45,Caucasian,0,0,0,1,F,0
3,Female,53,Greater than 45,Caucasian,0,0,0,0,F,1
4,Male,22,Less than 25,Caucasian,0,0,1,1,F,1
5,Male,34,25 - 45,African-American,0,0,0,0,F,0
6,Male,22,Less than 25,African-American,0,0,0,0,F,0
7,Female,29,25 - 45,African-American,0,0,0,7,M,1
8,Male,49,Greater than 45,Hispanic,0,0,0,0,F,0
9,Male,33,25 - 45,Caucasian,0,0,0,1,F,1
10,Male,71,Greater than 45,Caucasian,0,0,0,0,F,0
11,Male,49,Greater than 45,African-American,0,0,0,0,M,0
12,Female,22,Less than 25,Hispanic,0,0,0,0,F,0
13,Male,26,Greater than 45,Caucasian,0,0,0,0,M,0
14,Male,26,25 - 45,Hispanic,0,0,0,1,M,0
15,Male,22,25 - 45,Caucasian,0,0,0,3,F,0
16,Male,47,Greater than 45,Caucasian,0,0,0,0,F,0
17,Male,57,Greater than 45,African-American,0,0,0,2,M,0
18,Male,20,Less than 25,African-American,0,0,0,0,F,1
19,Male,21,Less than 25,Other,0,0,1,0,M,0
20,Male,32,25 - 45,African-American,0,0,0,8,F,1
21,Male,21,Less than 25,Caucasian,0,0,0,0,F,0
22,Male,29,25 - 45,African-American,0,0,0,4,M,1
23,Male,32,25 - 45,African-American,0,0,0,0,M,0
24,Female,25,25 - 45,African-American,0,0,0,1,M,1
25,Male,29,25 - 45,African-American,0,0,0,20,F,1
26,Male,21,Less than 25,African-American,0,0,0,1,F,1
27,Male,43,25 - 45,Other,0,0,0,3,F,0
28,Female,44,Greater than 45,African-American,0,0,0,2,F,0
29,Male,43,Greater than 45,African-American,0,0,0,2,F,0
30,Male,33,25 - 45,African-American,1,0,0,10,M,1
31,Male,70,Greater than 45,Caucasian,0,0,0,7,F,0
32,Male,48,Greater than 45,African-American,1,0,0,5,F,0
33,Male,35,25 - 45,African-American,0,0,0,2,M,0
34,Male,29,25 - 45,African-American,0,0,0,17,F,1
35,Male,30,25 - 45,Caucasian,0,0,0,0,F,1
36,Male,24,Less than 25,African-American,0,0,0,2,F,0
37,Male,29,25 - 45,Caucasian,0,0,0,1,M,0
38,Male,22,25 - 45,African-American,0,1,0,9,F,1
39,Male,29,25 - 45,African-American,0,0,0,7,F,0
40,Male,21,Less than 25,African-American,0,0,0,0,F,0
41,Male,31,25 - 45,African-American,0,0,0,6,F,1
42,Female,25,25 - 45,Caucasian,0,0,0,0,M,0
43,Male,37,25 - 45,Caucasian,0,0,0,0,M,0
44,Female,27,25 - 45,Hispanic,0,0,0,0,M,0
45,Male,20,Less than 25,Caucasian,0,1,1,0,F,1
46,Male,28,25 - 45,Caucasian,0,1,0,5,F,1
47,Male,29,25 - 45,African-American,0,0,0,2,F,0
48,Male,20,Less than 25,Other,0,0,0,1,F,1
49,Male,51,Greater than 45,African-American,0,0,0,6,F,0
50,Female,21,Less than 25,African-American,0,0,0,6,M,1
51,Male,31,25 - 45,African-American,0,0,0,21,F,1
52,Male,33,25 - 45,African-American,0,1,1,12,F,1
53,Male,47,Greater than 45,Caucasian,0,0,0,1,F,1
54,Female,21,25 - 45,African-American,0,0,0,0,F,0
55,Female,65,Greater than 45,Caucasian,0,0,0,0,M,0
56,Male,30,25 - 45,Hispanic,0,0,0,1,M,0
57,Male,40,Greater than 45,African-American,0,0,0,4,F,1
58,Male,40,25 - 45,African-American,0,0,0,7,F,1
59,Male,20,Less than 25,Other,0,0,0,0,F,1
60,Male,21,Less than 25,Caucasian,0,0,0,0,M,0
61,Male,28,25 - 45,African-American,0,0,0,11,M,1
62,Male,32,25 - 45,Caucasian,0,0,0,2,F,0
