,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid
0,Male,37,25 - 45,Hispanic,0,0,0,0,F,0
1,Male,26,25 - 45,African-American,0,0,0,5,F,0
2,Male,27,25 - 45,Caucasian,0,0,0,1,F,1
3,Male,54,Greater than 45,African-American,0,0,0,0,M,0
4,Female,60,Greater than 45,Caucasian,0,0,0,0,F,0
5,Male,65,Greater than 45,Caucasian,0,0,0,1,M,0
6,Male,24,Less than 25,African-American,0,0,0,0,M,0
7,Male,30,25 - 45,African-American,0,3,0,14,M,0
8,Female,25,25 - 45,Hispanic,0,0,0,0,M,0
9,Female,30,25 - 45,Caucasian,0,0,0,2,F,0
10,Male,50,Greater than 45,African-American,0,0,0,8,F,1
11,Male,22,Less than 25,African-American,0,0,1,2,F,1
12,Male,28,25 - 45,African-American,0,0,0,1,M,0
13,Male,45,Greater than 45,African-American,0,0,0,3,F,0
14,Male,49,Greater than 45,Caucasian,0,0,0,0,F,1
15,Male,21,Less than 25,African-American,0,0,0,0,F,1
16,Female,26,25 - 45,African-American,0,0,0,0,M,0
17,Male,51,Greater than 45,African-American,0,0,0,7,F,0
18,Male,22,Less than 25,African-American,0,1,0,2,F,1
19,Male,36,25 - 45,African-American,0,0,0,5,M,0
20,Male,22,Less than 25,African-American,0,0,0,0,F,0
21,Male,34,25 - 45,African-American,0,0,0,2,F,0
22,Female,51,Greater than 45,Caucasian,0,0,0,0,M,0
23,Male,47,Greater than 45,Caucasian,0,0,0,2,F,0
24,Male,22,Less than 25,African-American,0,0,1,1,F,1
25,Male,30,25 - 45,Caucasian,0,0,0,4,F,1
26,Male,41,25 - 45,Caucasian,0,0,0,1,F,0
27,Male,47,Greater than 45,Other,0,0,0,14,F,1
28,Male,26,25 - 45,African-American,0,0,0,5,F,1
29,Male,26,25 - 45,Hispanic,0,0,0,0,F,0
30,Female,24,25 - 45,Hispanic,0,0,0,0,M,0
31,Female,26,25 - 45,Other,0,0,0,3,F,1
32,Male,21,Less than 25,Caucasian,0,0,0,3,M,1
33,Male,25,25 - 45,African-American,0,0,0,0,M,0
34,Male,25,25 - 45,African-American,0,0,0,2,F,0
35,Female,34,25 - 45,African-American,0,0,0,0,F,0
36,Male,19,Less than 25,African-American,3,1,1,2,F,1
37,Female,57,Greater than 45,African-American,0,0,0,14,F,0
38,Male,25,25 - 45,Caucasian,0,0,0,4,F,1
39,Female,27,25 - 45,Caucasian,0,0,0,2,F,0
40,Male,21,Less than 25,African-American,0,2,1,4,F,1
41,Male,54,Greater than 45,African-American,0,0,0,20,F,1
42,Male,30,25 - 45,African-American,0,3,0,5,F,1
43,Male,51,Greater than 45,Caucasian,0,0,0,0,F,0
44,Male,35,25 - 45,African-American,0,0,0,1,M,0
45,Female,31,25 - 45,African-American,0,0,0,0,M,0
46,Female,36,25 - 45,Caucasian,0,0,0,1,M,0
47,Male,44,Greater than 45,Caucasian,0,0,0,1,M,0
48,Female,28,25 - 45,African-American,0,0,0,1,F,1
49,Male,32,25 - 45,Hispanic,0,0,0,6,M,1
50,Male,31,25 - 45,Hispanic,0,0,0,0,F,1
51,Male,36,25 - 45,African-American,0,0,0,1,M,1
52,Male,54,Greater than 45,Caucasian,0,0,0,0,M,0
53,Male,30,25 - 45,African-American,0,1,2,10,F,1
54,Male,57,Greater than 45,Hispanic,0,0,0,0,F,0
55,Male,43,25 - 45,Caucasian,0,0,0,2,M,1
56,Male,25,25 - 45,African-American,0,0,0,3,M,0
57,Male,56,Greater than 45,Caucasian,0,0,0,0,F,1
58,Male,30,25 - 45,African-American,0,0,0,1,F,0
59,Male,61,Greater than 45,Other,0,0,0,18,F,1
60,Male,33,25 - 45,African-American,0,0,0,4,F,0
61,Male,55,Greater than 45,Caucasian,0,0,0,0,F,0
62,Female,24,25 - 45,Hispanic,0,0,0,0,M,1
63,Male,26,25 - 45,Caucasian,0,0,0,8,M,1
64,Male,45,Greater than 45,Caucasian,0,0,0,7,F,0
65,Male,26,25 - 45,Hispanic,0,0,0,1,F,0
66,Male,26,25 - 45,Caucasian,0,0,0,3,M,0
67,Male,29,25 - 45,African-American,0,3,0,13,M,0
68,Male,24,Less than 25,African-American,0,0,0,3,F,1
69,Male,32,25 - 45,Caucasian,0,0,0,0,F,0
70,Male,57,Greater than 45,Hispanic,0,0,0,3,M,0
71,Male,24,Less than 25,African-American,0,1,0,5,F,0
72,Male,46,Greater than 45,Caucasian,0,0,0,5,F,0
73,Male,25,25 - 45,Caucasian,0,0,0,1,F,0
74,Male,51,Greater than 45,Caucasian,0,0,0,0,M,0
75,Male,28,25 - 45,Other,0,0,0,0,F,0
76,Male,41,25 - 45,Caucasian,0,0,0,6,F,0
77,Male,33,25 - 45,African-American,0,0,2,15,F,1
78,Male,58,Greater than 45,African-American,0,0,0,3,F,0
79,Male,22,Less than 25,Caucasian,0,0,0,0,F,1
80,Male,28,25 - 45,African-American,0,0,1,1,M,1
81,Male,30,25 - 45,African-American,0,0,0,7,M,0
82,Female,57,Greater than 45,Caucasian,0,0,0,4,M,0
83,Male,26,25 - 45,African-American,0,0,0,3,F,1
84,Male,21,Less than 25,African-American,1,0,0,1,F,1
85,Male,36,25 - 45,African-American,0,0,0,0,F,0
86,Male,23,Less than 25,Hispanic,0,0,0,1,M,1
87,Male,21,Less than 25,African-American,0,0,0,0,F,0
88,Male,39,25 - 45,African-American,0,0,0,12,M,0
89,Male,79,Greater than 45,Asian,0,0,0,0,F,0
90,Female,23,Less than 25,Caucasian,0,0,0,5,M,1
91,Male,24,Less than 25,Hispanic,0,0,0,0,M,0
92,Male,28,25 - 45,African-American,0,0,1,2,F,0
93,Male,31,25 - 45,African-American,1,0,0,6,F,0
94,Male,31,25 - 45,Hispanic,1,0,0,6,F,0
95,Male,23,Less than 25,African-American,0,0,0,0,F,1
96,Male,38,25 - 45,Caucasian,0,0,0,5,F,0
97,Male,22,Less than 25,African-American,0,0,2,0,F,1
98,Male,25,25 - 45,Other,0,0,0,0,M,0
99,Female,38,25 - 45,African-American,0,0,0,1,F,1
100,Male,36,25 - 45,Caucasian,0,0,0,0,F,1
101,Male,32,25 - 45,African-American,0,0,0,1,F,0
102,Male,26,25 - 45,African-American,0,0,0,1,M,0
103,Male,27,25 - 45,African-American,0,0,0,0,F,1
104,Male,42,25 - 45,African-American,0,0,0,9,F,1
105,Male,32,25 - 45,African-American,0,2,0,9,F,1
106,Male,47,Greater than 45,Caucasian,0,0,0,18,F,0
