sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,two_year_recid
Male,51,Greater than 45,Caucasian,0,0,0,3,F,0
Female,39,25 - 45,Caucasian,0,0,0,0,M,0
Female,23,25 - 45,Caucasian,0,0,0,1,F,1
Male,28,25 - 45,Hispanic,0,0,0,0,F,1
Male,29,25 - 45,African-American,0,0,0,15,F,1
Male,37,25 - 45,African-American,0,0,0,3,M,1
Male,22,Less than 25,African-American,0,0,0,0,M,0
Male,23,Less than 25,African-American,0,0,0,1,F,0
Male,43,25 - 45,Other,0,0,0,1,F,1
Male,29,25 - 45,Caucasian,0,0,1,1,F,1
Male,29,25 - 45,African-American,0,0,0,3,M,0
Male,37,25 - 45,Caucasian,0,0,0,1,F,0
Male,28,25 - 45,Caucasian,0,0,0,0,F,0
Female,38,25 - 45,Caucasian,0,0,0,0,F,0
Male,23,Less than 25,Caucasian,1,0,0,6,F,1
Male,29,Less than 25,African-American,0,3,1,13,F,1
Female,46,25 - 45,Caucasian,0,0,0,0,M,0
Male,28,25 - 45,African-American,0,0,0,1,M,1
Male,55,Greater than 45,Caucasian,0,0,0,9,F,0
Male,29,25 - 45,Caucasian,0,0,0,1,F,0
Male,51,Greater than 45,African-American,0,0,0,3,F,0
Male,28,25 - 45,African-American,0,0,0,0,M,0
Male,37,25 - 45,Caucasian,0,0,0,1,F,1
Male,51,Greater than 45,Caucasian,0,0,0,1,F,0
Male,22,Less than 25,African-American,0,0,0,0,F,1
Male,47,25 - 45,Caucasian,0,0,0,14,F,1
Male,38,25 - 45,Caucasian,0,0,0,1,F,1
Male,51,Greater than 45,Caucasian,0,0,0,1,M,0
Male,47,Less than 25,African-American,0,0,0,1,F,0
Male,28,25 - 45,African-American,0,0,0,0,F,0
Male,28,25 - 45,Caucasian,0,0,0,3,F,1
Female,22,Less than 25,Caucasian,0,0,0,0,F,0
Male,29,25 - 45,African-American,0,0,0,0,F,0
Male,36,25 - 45,Caucasian,0,0,0,0,M,0
Male,22,Less than 25,Hispanic,0,0,0,1,F,1
Male,23,Less than 25,African-American,0,1,0,5,F,1
Male,22,Less than 25,African-American,0,1,1,3,F,1
Male,35,25 - 45,African-American,0,0,0,9,F,1
Male,34,25 - 45,African-American,0,0,0,1,M,0
Male,28,25 - 45,African-American,0,0,0,3,F,1
Male,29,25 - 45,African-American,0,0,0,1,M,1
Female,52,Greater than 45,Caucasian,0,0,0,0,M,0
Female,38,25 - 45,Caucasian,0,0,0,0,M,0
Male,47,25 - 45,Caucasian,0,0,0,1,F,0
Male,23,Less than 25,African-American,0,0,0,3,F,1
Male,53,Greater than 45,African-American,0,0,0,21,F,1
Male,23,Less than 25,Caucasian,0,0,0,1,F,1
Male,47,25 - 45,Other,0,0,0,1,F,1
Male,48,25 - 45,African-American,0,0,0,3,F,0
Male,38,25 - 45,Caucasian,0,0,0,21,F,1
Male,23,25 - 45,Caucasian,0,0,0,3,F,1
Male,20,Less than 25,African-American,0,0,0,0,M,1
Male,53,Greater than 45,Caucasian,0,0,0,9,F,0
Male,28,25 - 45,African-American,0,0,0,0,M,1
Male,37,25 - 45,Other,0,0,0,3,F,1
Male,38,25 - 45,African-American,0,0,0,8,F,0
Male,29,25 - 45,African-American,0,0,0,0,M,0
Male,50,25 - 45,Caucasian,0,0,0,1,F,0
Male,33,25 - 45,Caucasian,0,0,0,3,F,1
Male,49,Less than 25,African-American,0,0,0,1,M,1
Male,51,25 - 45,Caucasian,0,0,0,1,F,0
Male,54,25 - 45,Caucasian,0,0,0,3,F,0
Female,38,25 - 45,African-American,0,0,0,3,F,1
Male,28,25 - 45,Caucasian,0,0,0,1,F,1
Male,34,25 - 45,African-American,0,0,0,0,F,0
Male,21,Less than 25,African-American,0,0,0,0,F,1
Male,23,25 - 45,Hispanic,0,0,0,6,F,1
Male,23,Less than 25,Hispanic,0,0,0,1,F,1
Male,45,25 - 45,Caucasian,0,0,0,3,F,1
Male,23,25 - 45,Caucasian,0,2,1,3,F,1
Male,55,Greater than 45,Caucasian,0,0,0,3,F,0
Male,30,25 - 45,Caucasian,0,0,0,5,F,1
Male,22,Less than 25,African-American,0,0,0,1,F,1
Male,51,25 - 45,Caucasian,0,0,0,1,M,1
